,NWS
2016-05-20,11.040462493896484
2016-05-23,10.923297882080078
2016-05-24,11.01342487335205
2016-05-25,11.184667587280273
2016-05-26,11.031451225280762
2016-05-27,11.085524559020996
2016-05-31,11.121576309204102
2016-06-01,11.166641235351562
2016-06-02,11.22071647644043
2016-06-03,11.112564086914062
2016-06-06,11.283805847167969
2016-06-07,11.022438049316406
2016-06-08,11.022438049316406
2016-06-09,10.93231201171875
2016-06-10,10.67094612121582
2016-06-13,10.725022315979004
2016-06-14,10.616869926452637
2016-06-15,10.806133270263672
2016-06-16,10.56279468536377
2016-06-17,10.472667694091797
2016-06-20,10.607856750488281
2016-06-21,10.688971519470215
2016-06-22,10.869223594665527
2016-06-23,10.995399475097656
2016-06-24,10.364517211914062
2016-06-27,9.859810829162598
2016-06-28,9.931912422180176
2016-06-29,10.382540702819824
2016-06-30,10.517732620239258
2016-07-01,10.607856750488281
2016-07-05,10.49970531463623
2016-07-06,10.526745796203613
2016-07-07,10.616869926452637
2016-07-08,10.851198196411133
2016-07-11,11.040462493896484
2016-07-12,11.355905532836914
2016-07-13,11.48208236694336
2016-07-14,11.563196182250977
2016-07-15,11.536157608032227
2016-07-18,11.65332317352295
2016-07-19,11.698384284973145
2016-07-20,11.743447303771973
2016-07-21,11.626282691955566
2016-07-22,11.743447303771973
2016-07-25,11.770486831665039
2016-07-26,11.93271255493164
2016-07-27,11.860614776611328
2016-07-28,11.860614776611328
2016-07-29,12.112966537475586
2016-08-01,11.99580192565918
2016-08-02,11.842588424682617
2016-08-03,11.81554889678955
2016-08-04,11.896660804748535
2016-08-05,11.96876335144043
2016-08-08,11.93271255493164
2016-08-09,12.410383224487305
2016-08-10,12.37432861328125
2016-08-11,12.518534660339355
2016-08-12,12.653722763061523
2016-08-15,12.77088737487793
2016-08-16,12.761874198913574
2016-08-17,12.779899597167969
2016-08-18,12.752862930297852
2016-08-19,12.716812133789062
2016-08-22,12.824959754943848
2016-08-23,12.815950393676758
2016-08-24,12.806939125061035
2016-08-25,12.824959754943848
2016-08-26,12.924102783203125
2016-08-29,12.960151672363281
2016-08-30,12.933114051818848
2016-08-31,13.005213737487793
2016-09-01,12.897064208984375
2016-09-02,12.842986106872559
2016-09-06,12.653722763061523
2016-09-07,12.698785781860352
2016-09-08,12.77088737487793
2016-09-09,12.383344650268555
2016-09-12,13.164111137390137
2016-09-13,12.93714427947998
2016-09-14,13.018853187561035
2016-09-15,12.864514350891113
2016-09-16,12.710176467895508
2016-09-19,12.710176467895508
2016-09-20,12.773727416992188
2016-09-21,12.964381217956543
2016-09-22,13.191347122192383
2016-09-23,13.136877059936523
2016-09-26,12.882673263549805
2016-09-27,13.000696182250977
2016-09-28,12.955300331115723
2016-09-29,12.828201293945312
2016-09-30,12.909908294677734
2016-10-03,13.554494857788086
2016-10-04,13.336607933044434
2016-10-05,13.772384643554688
2016-10-06,13.69067668914795
2016-10-07,13.182270050048828
2016-10-10,12.93714427947998
2016-10-11,12.710176467895508
2016-10-12,12.483209609985352
2016-10-13,12.573995590209961
2016-10-14,12.483209609985352
2016-10-17,12.528604507446289
2016-10-18,12.619390487670898
2016-10-19,12.710176467895508
2016-10-20,12.528604507446289
2016-10-21,12.437816619873047
2016-10-24,11.983880996704102
2016-10-25,11.802308082580566
2016-10-26,11.938486099243164
2016-10-27,11.43915843963623
2016-10-28,11.348374366760254
2016-10-31,11.257585525512695
2016-11-01,11.257585525512695
2016-11-02,10.985223770141602
2016-11-03,11.03061580657959
2016-11-04,11.03061580657959
2016-11-07,11.348374366760254
2016-11-08,10.985223770141602
2016-11-09,11.21219253540039
2016-11-10,11.21219253540039
2016-11-11,11.21219253540039
2016-11-14,11.348374366760254
2016-11-15,11.21219253540039
2016-11-16,11.21219253540039
2016-11-17,11.21219253540039
2016-11-18,11.076010704040527
2016-11-21,10.939830780029297
2016-11-22,10.894438743591309
2016-11-23,10.985223770141602
2016-11-25,10.985223770141602
2016-11-28,10.985223770141602
2016-11-29,10.803651809692383
2016-11-30,10.849043846130371
2016-12-01,10.894438743591309
2016-12-02,10.939830780029297
2016-12-05,10.939830780029297
2016-12-06,10.939830780029297
2016-12-07,11.03061580657959
2016-12-08,11.076010704040527
2016-12-09,11.257585525512695
2016-12-12,11.166799545288086
2016-12-13,11.121405601501465
2016-12-14,11.076010704040527
2016-12-15,10.939830780029297
2016-12-16,10.894438743591309
2016-12-19,11.03061580657959
2016-12-20,10.849043846130371
2016-12-21,10.939830780029297
2016-12-22,10.939830780029297
2016-12-23,10.939830780029297
2016-12-27,11.121405601501465
2016-12-28,10.939830780029297
2016-12-29,10.939830780029297
2016-12-30,10.71286392211914
2017-01-03,10.939830780029297
2017-01-04,11.121405601501465
2017-01-05,11.121405601501465
2017-01-06,11.121405601501465
2017-01-09,11.257585525512695
2017-01-10,11.348374366760254
2017-01-11,11.393765449523926
2017-01-12,11.302978515625
2017-01-13,11.302978515625
2017-01-17,11.529945373535156
2017-01-18,11.393765449523926
2017-01-19,11.302978515625
2017-01-20,11.21219253540039
2017-01-23,11.257585525512695
2017-01-24,11.43915843963623
2017-01-25,11.529945373535156
2017-01-26,11.393765449523926
2017-01-27,11.484552383422852
2017-01-30,11.529945373535156
2017-01-31,11.484552383422852
2017-02-01,11.529945373535156
2017-02-02,11.43915843963623
2017-02-03,11.43915843963623
2017-02-06,11.393765449523926
2017-02-07,11.393765449523926
2017-02-08,11.302978515625
2017-02-09,11.575339317321777
2017-02-10,12.347029685974121
2017-02-13,12.120061874389648
2017-02-14,12.120061874389648
2017-02-15,12.210848808288574
2017-02-16,12.16545581817627
2017-02-17,12.256242752075195
2017-02-21,12.392420768737793
2017-02-22,12.347029685974121
2017-02-23,12.256242752075195
2017-02-24,12.16545581817627
2017-02-27,12.16545581817627
2017-02-28,11.983880996704102
2017-03-01,12.16545581817627
2017-03-02,12.029274940490723
2017-03-03,12.029274940490723
2017-03-06,12.029274940490723
2017-03-07,11.802308082580566
2017-03-08,11.620735168457031
2017-03-09,11.620735168457031
2017-03-10,11.620735168457031
2017-03-13,11.483480453491211
2017-03-14,11.620732307434082
2017-03-15,11.803736686706543
2017-03-16,11.803736686706543
2017-03-17,11.8494873046875
2017-03-20,11.803736686706543
2017-03-21,11.757986068725586
2017-03-22,11.8494873046875
2017-03-23,11.8494873046875
2017-03-24,11.8494873046875
2017-03-27,11.8494873046875
2017-03-28,12.123993873596191
2017-03-29,12.30699634552002
2017-03-30,12.535752296447754
2017-03-31,12.352747917175293
2017-04-03,12.123993873596191
2017-04-04,12.032489776611328
2017-04-05,11.940988540649414
2017-04-06,11.8494873046875
2017-04-07,11.803736686706543
2017-04-10,11.803736686706543
