,HPQ
2020-05-13,12.05599594116211
2020-05-14,12.441858291625977
2020-05-15,12.741971015930176
2020-05-18,13.822382926940918
2020-05-19,14.345438003540039
2020-05-20,14.834195137023926
2020-05-21,14.73129653930664
2020-05-22,14.57695484161377
2020-05-26,14.628400802612305
2020-05-27,14.679848670959473
2020-05-28,12.870593070983887
2020-05-29,12.982065200805664
2020-06-01,12.973488807678223
2020-06-02,13.539417266845703
2020-06-03,14.4569091796875
2020-06-04,14.1224946975708
2020-06-05,14.928512573242188
2020-06-08,15.580188751220703
2020-06-09,15.152457237243652
2020-06-10,14.624285697937012
2020-06-11,13.559286117553711
2020-06-12,14.096115112304688
2020-06-15,14.606969833374023
2020-06-16,14.935993194580078
2020-06-17,14.563677787780762
2020-06-18,14.650261878967285
2020-06-19,14.529040336608887
2020-06-22,14.658921241760254
2020-06-23,14.728189468383789
2020-06-24,14.026847839355469
2020-06-25,14.174043655395508
2020-06-26,14.381847381591797
2020-06-29,14.832088470458984
2020-06-30,15.091848373413086
2020-07-01,14.719531059265137
2020-07-02,14.780139923095703
2020-07-06,15.11782455444336
2020-07-07,14.399163246154785
2020-07-08,14.503067970275879
2020-07-09,14.208678245544434
2020-07-10,14.710872650146484
2020-07-13,14.788796424865723
2020-07-14,15.403556823730469
2020-07-15,15.403556823730469
2020-07-16,15.438189506530762
2020-07-17,15.195752143859863
2020-07-20,15.282334327697754
2020-07-21,15.135144233703613
2020-07-22,15.351607322692871
2020-07-23,15.290993690490723
2020-07-24,15.152457237243652
2020-07-27,15.420876502990723
2020-07-28,14.459775924682617
2020-07-29,14.788796424865723
2020-07-30,14.927335739135742
2020-07-31,15.221724510192871
2020-08-03,15.386239051818848
2020-08-04,15.490143775939941
2020-08-05,15.559409141540527
2020-08-06,15.819169998168945
2020-08-07,15.992337226867676
2020-08-10,16.433923721313477
2020-08-11,16.07891845703125
2020-08-12,16.27806854248047
2020-08-13,15.914406776428223
2020-08-14,15.741239547729492
2020-08-17,15.54209041595459
2020-08-18,15.79318904876709
2020-08-19,15.706602096557617
2020-08-20,15.715261459350586
2020-08-21,15.78453254699707
2020-08-24,16.148193359375
2020-08-25,15.966362953186035
2020-08-26,15.871116638183594
2020-08-27,16.191482543945312
2020-08-28,17.18721580505371
2020-08-31,16.927461624145508
2020-09-01,16.67636489868164
2020-09-02,17.178558349609375
2020-09-03,16.71099281311035
2020-09-04,16.65038299560547
2020-09-08,16.996435165405273
2020-09-09,17.214900970458984
2020-09-10,16.611940383911133
2020-09-11,16.856618881225586
2020-09-14,16.891569137573242
2020-09-15,16.83040428161621
2020-09-16,16.961477279663086
2020-09-17,16.725536346435547
2020-09-18,16.55950355529785
2020-09-21,16.02645492553711
2020-09-22,16.11384391784668
2020-09-23,16.008975982666016
2020-09-24,15.860424041748047
2020-09-25,15.99150562286377
2020-09-28,16.480859756469727
2020-09-29,16.533288955688477
2020-09-30,16.594457626342773
2020-10-01,16.603200912475586
2020-10-02,16.681846618652344
2020-10-05,16.87409210205078
2020-10-06,16.568241119384766
2020-10-07,16.804182052612305
2020-10-08,16.952741622924805
2020-10-09,16.92652702331543
2020-10-12,17.3284969329834
2020-10-13,17.197418212890625
2020-10-14,17.04012680053711
2020-10-15,17.09255599975586
2020-10-16,17.127511978149414
2020-10-19,16.917783737182617
2020-10-20,16.92652702331543
2020-10-21,16.795446395874023
2020-10-22,16.909042358398438
2020-10-23,16.70806121826172
2020-10-26,15.947808265686035
