,MTCH
2020-05-29,89.04000091552734
2020-06-01,91.7300033569336
2020-06-02,94.36000061035156
2020-06-03,94.01000213623047
2020-06-04,91.37999725341797
2020-06-05,90.08999633789062
2020-06-08,89.51000213623047
2020-06-09,89.69000244140625
2020-06-10,88.44999694824219
2020-06-11,85.68000030517578
2020-06-12,87.25
2020-06-15,88.33999633789062
2020-06-16,92.22000122070312
2020-06-17,94.47000122070312
2020-06-18,98.19999694824219
2020-06-19,95.7300033569336
2020-06-22,95.20999908447266
2020-06-23,98.61000061035156
2020-06-24,98.0199966430664
2020-06-25,98.94999694824219
2020-06-26,101.18000030517578
2020-06-29,106.0
2020-06-30,107.05000305175781
2020-07-01,105.66999816894531
2020-07-02,98.91999816894531
2020-07-06,94.69999694824219
2020-07-07,92.0
2020-07-08,94.19999694824219
2020-07-09,96.31999969482422
2020-07-10,100.38999938964844
2020-07-13,96.91999816894531
2020-07-14,97.93000030517578
2020-07-15,96.43000030517578
2020-07-16,94.45999908447266
2020-07-17,91.75
2020-07-20,97.16999816894531
2020-07-21,93.93000030517578
2020-07-22,93.37000274658203
2020-07-23,91.1500015258789
2020-07-24,90.36000061035156
2020-07-27,91.7699966430664
2020-07-28,98.44000244140625
2020-07-29,102.79000091552734
2020-07-30,102.3499984741211
2020-07-31,102.69999694824219
2020-08-03,110.40499877929688
2020-08-04,107.56999969482422
2020-08-05,120.70999908447266
2020-08-06,113.97000122070312
2020-08-07,115.87999725341797
2020-08-10,115.6500015258789
2020-08-11,115.5
2020-08-12,115.91999816894531
2020-08-13,117.44000244140625
2020-08-14,118.80000305175781
2020-08-17,114.1050033569336
2020-08-18,115.20999908447266
2020-08-19,114.1500015258789
2020-08-20,113.08000183105469
2020-08-21,112.55000305175781
2020-08-24,111.9000015258789
2020-08-25,112.27999877929688
2020-08-26,112.52999877929688
2020-08-27,111.52999877929688
2020-08-28,111.5
2020-08-31,111.68000030517578
2020-09-01,113.41000366210938
2020-09-02,117.48999786376953
2020-09-03,110.54000091552734
2020-09-04,105.94000244140625
2020-09-08,102.05999755859375
2020-09-09,105.55999755859375
2020-09-10,105.45999908447266
2020-09-11,103.6500015258789
2020-09-14,108.26000213623047
2020-09-15,110.9800033569336
2020-09-16,108.30000305175781
2020-09-17,107.55999755859375
2020-09-18,108.41000366210938
2020-09-21,106.8499984741211
2020-09-22,106.51000213623047
2020-09-23,102.88999938964844
2020-09-24,103.43000030517578
2020-09-25,105.75
2020-09-28,108.58999633789062
2020-09-29,109.12000274658203
2020-09-30,110.6500015258789
2020-10-01,116.20999908447266
2020-10-02,111.94000244140625
2020-10-05,114.05000305175781
2020-10-06,114.20999908447266
2020-10-07,114.5
2020-10-08,113.44999694824219
2020-10-09,112.37999725341797
2020-10-12,110.30000305175781
2020-10-13,111.16000366210938
2020-10-14,109.7699966430664
2020-10-15,111.16999816894531
2020-10-16,112.20999908447266
2020-10-19,113.0
2020-10-20,114.86000061035156
2020-10-21,118.05999755859375
2020-10-22,116.72000122070312
2020-10-23,120.30000305175781
2020-10-26,119.26000213623047
2020-10-27,125.77999877929688
2020-10-28,118.5199966430664
2020-10-29,122.12000274658203
2020-10-30,116.77999877929688
2020-11-02,118.9800033569336
2020-11-03,121.62999725341797
