,CMCSA
2019-08-26,38.088661193847656
2019-08-27,38.30831527709961
2019-08-28,38.45769119262695
2019-08-29,38.80914306640625
2019-08-30,38.888214111328125
2019-09-03,38.55434036254883
2019-09-04,39.99529266357422
2019-09-05,40.77727508544922
2019-09-06,40.72455978393555
2019-09-09,40.78605651855469
2019-09-10,40.81242370605469
2019-09-11,40.76849365234375
2019-09-12,41.269309997558594
2019-09-13,41.19023132324219
2019-09-16,40.654273986816406
2019-09-17,41.00571060180664
2019-09-18,41.24296188354492
2019-09-19,41.01449966430664
2019-09-20,40.73334884643555
2019-09-23,40.6103401184082
2019-09-24,40.16224670410156
2019-09-25,40.26767349243164
2019-09-26,39.45054244995117
2019-09-27,39.3714599609375
2019-09-30,39.608699798583984
2019-10-01,39.299739837646484
2019-10-02,38.88484573364258
2019-10-03,38.893672943115234
2019-10-04,39.46746063232422
2019-10-07,39.36152648925781
2019-10-08,38.93781280517578
2019-10-09,39.17616271972656
2019-10-10,39.28208923339844
2019-10-11,40.20896530151367
2019-10-14,39.926490783691406
2019-10-15,40.31488800048828
2019-10-16,40.25310134887695
2019-10-17,40.54439926147461
2019-10-18,40.226619720458984
2019-10-21,40.676822662353516
2019-10-22,40.403160095214844
2019-10-23,40.35902786254883
2019-10-24,39.582218170166016
2019-10-25,40.2972297668457
2019-10-28,40.11186218261719
2019-10-29,40.03240966796875
2019-10-30,39.44980239868164
2019-10-31,39.56455612182617
2019-11-01,39.502769470214844
2019-11-04,38.74360275268555
2019-11-05,39.08788299560547
2019-11-06,39.034908294677734
