,TFC
2016-07-25,26.288265228271484
2016-07-26,26.431180953979492
2016-07-27,26.40259552001953
2016-07-28,26.516929626464844
2016-07-29,26.345441818237305
2016-08-01,26.202526092529297
2016-08-02,25.99530601501465
2016-08-03,26.538368225097656
2016-08-04,26.416885375976562
2016-08-05,27.195751190185547
2016-08-08,27.152873992919922
2016-08-09,27.152873992919922
2016-08-10,26.742341995239258
2016-08-11,26.78555679321289
2016-08-12,26.655912399291992
2016-08-15,27.03043556213379
2016-08-16,27.008831024169922
2016-08-17,27.131271362304688
2016-08-18,27.188884735107422
2016-08-19,27.224905014038086
2016-08-22,27.217700958251953
2016-08-23,27.268115997314453
2016-08-24,27.20329475402832
2016-08-25,27.304128646850586
2016-08-26,27.361753463745117
2016-08-29,27.43377685546875
2016-08-30,27.60662841796875
2016-08-31,27.729063034057617
2016-09-01,27.599424362182617
2016-09-02,27.721858978271484
2016-09-06,27.260906219482422
2016-09-07,27.268115997314453
2016-09-08,27.53460693359375
2016-09-09,27.512996673583984
2016-09-12,27.88031578063965
2016-09-13,27.20329475402832
2016-09-14,26.958410263061523
2016-09-15,27.448179244995117
2016-09-16,27.253711700439453
2016-09-19,27.426565170288086
2016-09-20,27.332937240600586
2016-09-21,27.56340980529785
2016-09-22,27.469783782958984
2016-09-23,27.275312423706055
2016-09-26,26.670324325561523
2016-09-27,26.93681526184082
2016-09-28,27.116859436035156
2016-09-29,26.850379943847656
2016-09-30,27.167285919189453
2016-10-03,27.08805274963379
2016-10-04,27.570619583129883
2016-10-05,27.973947525024414
2016-10-06,28.060373306274414
2016-10-07,28.009946823120117
2016-10-10,28.226024627685547
2016-10-11,27.90913200378418
2016-10-12,27.88031578063965
2016-10-13,27.275312423706055
2016-10-14,27.289714813232422
2016-10-17,26.958410263061523
2016-10-18,27.289714813232422
2016-10-19,27.92353057861328
2016-10-20,28.060373306274414
2016-10-21,27.945140838623047
2016-10-24,28.031558990478516
2016-10-25,28.00275993347168
2016-10-26,28.132404327392578
2016-10-27,28.32686996459961
2016-10-28,28.197221755981445
2016-10-31,28.23322868347168
2016-11-01,28.11077880859375
2016-11-02,27.815494537353516
2016-11-03,27.736263275146484
2016-11-04,27.54901123046875
2016-11-07,28.334068298339844
2016-11-08,28.217933654785156
2016-11-09,29.4735164642334
2016-11-10,30.06138801574707
2016-11-11,30.37346649169922
2016-11-14,31.099239349365234
2016-11-15,31.193588256835938
2016-11-16,31.077470779418945
2016-11-17,31.94112777709961
2016-11-18,32.28951644897461
2016-11-21,32.38385772705078
2016-11-22,32.29676055908203
2016-11-23,32.37660598754883
2016-11-25,32.405635833740234
2016-11-28,31.962909698486328
2016-11-29,32.04275131225586
2016-11-30,32.841094970703125
2016-12-01,33.26929473876953
2016-12-02,32.812076568603516
2016-12-05,33.044315338134766
2016-12-06,33.38542175292969
2016-12-07,33.74105453491211
2016-12-08,34.09667205810547
2016-12-09,34.292633056640625
2016-12-12,34.0168342590332
2016-12-13,34.15473175048828
2016-12-14,33.95152282714844
2016-12-15,34.0821647644043
2016-12-16,33.81362533569336
2016-12-19,34.00959014892578
2016-12-20,34.58294677734375
2016-12-21,34.40150833129883
2016-12-22,34.33618927001953
2016-12-23,34.50310516357422
2016-12-27,34.62648391723633
2016-12-28,34.256351470947266
2016-12-29,33.90797805786133
2016-12-30,34.125709533691406
2017-01-03,34.09667205810547
2017-01-04,34.35795593261719
2017-01-05,33.91523361206055
2017-01-06,34.140228271484375
2017-01-09,33.91523361206055
2017-01-10,33.86442947387695
2017-01-11,33.94426727294922
2017-01-12,33.6321907043457
2017-01-13,33.7628288269043
2017-01-17,33.06608200073242
2017-01-18,33.530574798583984
2017-01-19,32.8701286315918
2017-01-20,32.9644775390625
2017-01-23,32.949954986572266
2017-01-24,33.35640335083008
2017-01-25,34.09667205810547
2017-01-26,34.270870208740234
2017-01-27,34.08941650390625
2017-01-30,33.733787536621094
2017-01-31,33.52332305908203
2017-02-01,33.34913635253906
2017-02-02,33.24753189086914
2017-02-03,33.82815170288086
2017-02-06,33.69750213623047
2017-02-07,33.66846466064453
2017-02-08,33.44932174682617
2017-02-09,33.90223693847656
2017-02-10,34.06293869018555
2017-02-13,34.318607330322266
2017-02-14,34.96875
2017-02-15,35.25364303588867
2017-02-16,35.063716888427734
2017-02-17,35.03449249267578
2017-02-21,35.05641555786133
2017-02-22,35.17328643798828
2017-02-23,35.45087432861328
2017-02-24,35.14406204223633
2017-02-27,35.19521713256836
2017-02-28,35.22442626953125
2017-03-01,36.305564880371094
2017-03-02,35.4727897644043
2017-03-03,35.53122329711914
2017-03-06,35.231727600097656
2017-03-07,35.01258850097656
2017-03-08,35.063716888427734
2017-03-09,35.12215805053711
2017-03-10,34.851871490478516
2017-03-13,34.829952239990234
2017-03-14,34.72037887573242
2017-03-15,34.347835540771484
2017-03-16,34.5596809387207
2017-03-17,34.20903778076172
2017-03-20,33.770751953125
2017-03-21,32.1417350769043
2017-03-22,32.207489013671875
2017-03-23,32.37550735473633
2017-03-24,32.44123840332031
2017-03-27,32.265926361083984
2017-03-28,32.7991828918457
2017-03-29,32.485076904296875
2017-03-30,33.040252685546875
2017-03-31,32.65308380126953
2017-04-03,32.66770935058594
2017-04-04,32.53620147705078
2017-04-05,32.12712860107422
2017-04-06,32.368186950683594
2017-04-07,32.192874908447266
2017-04-10,31.988330841064453
2017-04-11,31.86414909362793
2017-04-12,31.579261779785156
2017-04-13,31.13365936279297
2017-04-17,31.52081298828125
2017-04-18,31.097135543823242
2017-04-19,31.140966415405273
2017-04-20,31.900686264038086
2017-04-21,31.360111236572266
2017-04-24,31.94451141357422
2017-04-25,31.886070251464844
2017-04-26,32.017555236816406
2017-04-27,31.83493423461914
2017-04-28,31.54273796081543
2017-05-01,31.83493423461914
2017-05-02,31.754575729370117
2017-05-03,32.251319885253906
2017-05-04,32.185569763183594
2017-05-05,31.94451141357422
2017-05-08,31.951812744140625
2017-05-09,31.754575729370117
2017-05-10,31.901700973510742
2017-05-11,31.651592254638672
2017-05-12,31.636886596679688
2017-05-15,31.901700973510742
2017-05-16,32.166507720947266
2017-05-17,30.901321411132812
2017-05-18,30.989587783813477
2017-05-19,31.07785415649414
2017-05-22,31.188190460205078
2017-05-23,31.651592254638672
2017-05-24,31.29852867126465
2017-05-25,31.357383728027344
2017-05-26,31.305883407592773
2017-05-30,30.94545555114746
2017-05-31,30.636510848999023
2017-06-01,31.202896118164062
2017-06-02,31.01166343688965
2017-06-05,31.07785415649414
2017-06-06,30.84981918334961
2017-06-07,31.085201263427734
2017-06-08,31.909055709838867
2017-06-09,32.44601821899414
2017-06-12,32.43130874633789
2017-06-13,32.578426361083984
2017-06-14,32.75495910644531
2017-06-15,32.66667938232422
2017-06-16,32.60784149169922
2017-06-19,32.63726806640625
2017-06-20,32.32831954956055
2017-06-21,32.107662200927734
2017-06-22,31.87962532043457
2017-06-23,31.754575729370117
2017-06-26,31.960533142089844
2017-06-27,32.232704162597656
2017-06-28,32.9388427734375
2017-06-29,33.549373626708984
2017-06-30,33.402252197265625
2017-07-03,33.92451477050781
2017-07-05,33.9392204284668
2017-07-06,33.49052429199219
2017-07-07,33.446388244628906
2017-07-10,33.35811996459961
2017-07-11,33.38019943237305
2017-07-12,33.41696548461914
2017-07-13,33.512596130371094
2017-07-14,32.96092987060547
2017-07-17,33.03447341918945
2017-07-18,32.81380844116211
2017-07-19,32.924129486083984
2017-07-20,34.027496337890625
2017-07-21,34.04220199584961
2017-07-24,34.270225524902344
2017-07-25,34.726287841796875
2017-07-26,34.3879280090332
2017-07-27,34.483551025390625
2017-07-28,34.483551025390625
2017-07-31,34.80720138549805
2017-08-01,35.19705581665039
2017-08-02,35.255897521972656
2017-08-03,35.18968963623047
2017-08-04,35.57218551635742
2017-08-07,35.425071716308594
2017-08-08,35.49127197265625
2017-08-09,35.320926666259766
2017-08-10,34.5728874206543
2017-08-11,34.298851013183594
2017-08-14,34.706199645996094
2017-08-15,34.802490234375
2017-08-16,34.67657470703125
2017-08-17,34.1877555847168
2017-08-18,34.15812683105469
2017-08-21,33.98038864135742
2017-08-22,34.1655387878418
2017-08-23,34.18035888671875
2017-08-24,34.18035888671875
2017-08-25,34.18035888671875
2017-08-28,34.172943115234375
2017-08-29,34.12110900878906
