,CHD
2019-02-07,58.42747116088867
2019-02-08,59.13703918457031
2019-02-11,59.92129898071289
2019-02-12,59.89328384399414
2019-02-13,60.518821716308594
2019-02-14,60.292083740234375
2019-02-15,60.61064529418945
2019-02-19,60.863616943359375
2019-02-20,60.84488296508789
2019-02-21,61.97858810424805
2019-02-22,62.10038375854492
2019-02-25,61.182186126708984
2019-02-26,61.4632568359375
2019-02-27,61.59442138671875
2019-02-28,61.650665283203125
2019-03-01,61.444522857666016
2019-03-04,61.73496627807617
2019-03-05,61.49137878417969
2019-03-06,61.23841094970703
2019-03-07,61.49137878417969
2019-03-08,61.51011657714844
2019-03-11,62.25966262817383
2019-03-12,62.21281814575195
2019-03-13,62.718772888183594
2019-03-14,62.70938491821289
2019-03-15,63.14974594116211
2019-03-18,62.64381790161133
2019-03-19,62.194068908691406
2019-03-20,61.669376373291016
2019-03-21,62.55949020385742
2019-03-22,62.86867904663086
2019-03-25,63.721290588378906
2019-03-26,64.43336486816406
2019-03-27,64.97679901123047
2019-03-28,67.41284942626953
2019-03-29,66.73824310302734
2019-04-01,67.43156433105469
2019-04-02,67.46904754638672
2019-04-03,67.59085083007812
2019-04-04,68.0687026977539
2019-04-05,67.75013732910156
2019-04-08,67.79698181152344
2019-04-09,68.40599060058594
2019-04-10,68.60273742675781
2019-04-11,69.05248260498047
2019-04-12,69.23049926757812
2019-04-15,69.11805725097656
2019-04-16,68.9306869506836
2019-04-17,69.00562286376953
2019-04-18,69.1742935180664
2019-04-22,69.0993423461914
2019-04-23,68.80886840820312
2019-04-24,68.65896606445312
2019-04-25,68.77137756347656
2019-04-26,69.44600677490234
2019-04-29,69.13680267333984
2019-04-30,70.22364044189453
2019-05-01,68.99625396728516
2019-05-02,69.95195007324219
2019-05-03,69.652099609375
2019-05-06,69.19302368164062
2019-05-07,68.2841796875
2019-05-08,68.56525421142578
2019-05-09,68.0687026977539
2019-05-10,68.87446594238281
2019-05-13,69.2492446899414
2019-05-14,68.11016845703125
2019-05-15,69.18156433105469
2019-05-16,69.64208221435547
2019-05-17,69.4353256225586
2019-05-20,69.5199203491211
2019-05-21,69.54810333251953
2019-05-22,69.67967224121094
2019-05-23,70.65711212158203
2019-05-24,70.21539306640625
2019-05-28,68.69283294677734
2019-05-29,68.95599365234375
