,MKTX
2017-02-07,177.48336791992188
2017-02-08,175.73043823242188
2017-02-09,176.5365753173828
2017-02-10,175.1211700439453
2017-02-13,177.91455078125
2017-02-14,178.1676788330078
2017-02-15,179.68614196777344
2017-02-16,179.67681884765625
2017-02-17,180.98912048339844
2017-02-21,180.67044067382812
2017-02-22,182.8076629638672
2017-02-23,182.6483154296875
2017-02-24,183.89500427246094
2017-02-27,182.77957153320312
2017-02-28,183.0045166015625
2017-03-01,185.3573455810547
2017-03-02,179.9298858642578
2017-03-03,181.71096801757812
2017-03-06,180.72671508789062
2017-03-07,180.4829864501953
2017-03-08,179.01133728027344
2017-03-09,180.0798797607422
2017-03-10,179.50808715820312
2017-03-13,179.67681884765625
2017-03-14,179.26441955566406
2017-03-15,179.1519012451172
2017-03-16,178.83316040039062
2017-03-17,178.14891052246094
2017-03-20,177.94264221191406
2017-03-21,172.88084411621094
2017-03-22,176.1803741455078
2017-03-23,175.28985595703125
2017-03-24,175.94601440429688
2017-03-27,173.40577697753906
2017-03-28,174.26812744140625
2017-03-29,173.51821899414062
2017-03-30,174.29627990722656
2017-03-31,175.74920654296875
2017-04-03,175.43048095703125
2017-04-04,174.23065185546875
2017-04-05,168.82191467285156
2017-04-06,170.17176818847656
2017-04-07,171.28724670410156
2017-04-10,171.78407287597656
2017-04-11,171.48410034179688
2017-04-12,169.4968719482422
2017-04-13,166.9190673828125
2017-04-17,171.2591552734375
2017-04-18,171.59657287597656
2017-04-19,171.53103637695312
2017-04-20,173.69630432128906
2017-04-21,173.04017639160156
2017-04-24,173.98692321777344
2017-04-25,173.1057586669922
2017-04-26,182.36709594726562
2017-04-27,183.61380004882812
2017-04-28,180.46424865722656
2017-05-01,180.08924865722656
2017-05-02,177.51145935058594
2017-05-03,175.13992309570312
2017-05-04,174.8211669921875
2017-05-05,176.0773162841797
2017-05-08,174.36187744140625
2017-05-09,175.16946411132812
2017-05-10,176.6907196044922
2017-05-11,176.85037231445312
2017-05-12,175.028564453125
2017-05-15,176.9066619873047
2017-05-16,173.46043395996094
2017-05-17,171.22547912597656
2017-05-18,170.953125
2017-05-19,175.03793334960938
2017-05-22,174.09890747070312
2017-05-23,176.5404510498047
2017-05-24,179.9961395263672
2017-05-25,183.63963317871094
2017-05-26,182.3343505859375
2017-05-30,179.55477905273438
2017-05-31,178.9631805419922
2017-06-01,180.26844787597656
2017-06-02,179.92103576660156
2017-06-05,178.88807678222656
2017-06-06,176.53103637695312
2017-06-07,182.87901306152344
2017-06-08,187.1798553466797
2017-06-09,189.63072204589844
2017-06-12,191.8844757080078
2017-06-13,193.5841064453125
2017-06-14,194.15689086914062
2017-06-15,194.7015838623047
2017-06-16,193.1427764892578
2017-06-19,195.25563049316406
2017-06-20,194.7954864501953
2017-06-21,190.1096649169922
2017-06-22,189.4711151123047
2017-06-23,189.1142578125
2017-06-26,188.60719299316406
2017-06-27,185.5928192138672
2017-06-28,189.46168518066406
2017-06-29,191.11439514160156
2017-06-30,188.84194946289062
2017-07-03,190.9923553466797
2017-07-05,193.20851135253906
2017-07-06,181.59251403808594
2017-07-07,182.21226501464844
2017-07-10,183.1044158935547
2017-07-11,181.4610595703125
2017-07-12,181.9399871826172
2017-07-13,182.3343505859375
2017-07-14,178.8035430908203
2017-07-17,178.8411102294922
2017-07-18,180.85064697265625
2017-07-19,182.7569580078125
2017-07-20,182.81329345703125
2017-07-21,183.0386505126953
2017-07-24,184.75711059570312
2017-07-25,187.32066345214844
2017-07-26,192.64508056640625
2017-07-27,192.99253845214844
2017-07-28,195.17111206054688
2017-07-31,190.5228271484375
2017-08-01,191.7717742919922
2017-08-02,193.03948974609375
2017-08-03,192.56996154785156
2017-08-04,193.45260620117188
2017-08-07,189.5837860107422
2017-08-08,185.69918823242188
2017-08-09,187.2229461669922
2017-08-10,183.7991485595703
2017-08-11,181.02447509765625
2017-08-14,181.7769317626953
2017-08-15,181.05270385742188
2017-08-16,181.51358032226562
2017-08-17,180.62002563476562
2017-08-18,177.49732971191406
2017-08-21,180.2061767578125
2017-08-22,181.85215759277344
2017-08-23,182.5576171875
2017-08-24,179.28443908691406
2017-08-25,179.27500915527344
2017-08-28,178.63540649414062
2017-08-29,177.6477813720703
2017-08-30,180.0274658203125
2017-08-31,181.48536682128906
2017-09-01,177.75128173828125
