,TMUS
2022-01-27,104.03438568115234
2022-01-28,106.60507202148438
2022-01-31,106.13410949707031
2022-02-01,107.48812866210938
2022-02-02,107.51757049560547
2022-02-03,118.50677490234375
2022-02-04,118.66375732421875
2022-02-07,119.75288391113281
2022-02-08,123.07906341552734
2022-02-09,125.66938018798828
2022-02-10,122.77490234375
2022-02-11,122.13713836669922
2022-02-14,123.14775085449219
2022-02-15,124.6391372680664
2022-02-16,125.06105041503906
2022-02-17,122.20582580566406
2022-02-18,121.64655303955078
2022-02-22,121.1854019165039
2022-02-23,119.15435028076172
2022-02-24,121.33257293701172
2022-02-25,123.09869384765625
2022-02-28,120.89104461669922
2022-03-01,120.81255340576172
2022-03-02,123.2458724975586
2022-03-03,121.58767700195312
2022-03-04,120.91065979003906
2022-03-07,120.00797271728516
2022-03-08,117.03500366210938
2022-03-09,119.66456604003906
2022-03-10,121.21483612060547
2022-03-11,122.22544860839844
2022-03-14,121.73485565185547
2022-03-15,123.90325164794922
2022-03-16,125.35540771484375
2022-03-17,126.52301025390625
2022-03-18,124.78631591796875
2022-03-21,123.59909057617188
2022-03-22,123.32437896728516
2022-03-23,122.48055267333984
2022-03-24,123.32437896728516
2022-03-25,121.95072174072266
2022-03-28,124.10930633544922
2022-03-29,126.01277923583984
2022-03-30,126.18939971923828
2022-03-31,125.9343032836914
2022-04-01,128.29893493652344
2022-04-04,130.09449768066406
2022-04-05,129.47637939453125
2022-04-06,131.19342041015625
2022-04-07,130.77151489257812
2022-04-08,130.33981323242188
2022-04-11,127.96533203125
2022-04-12,128.9661407470703
2022-04-13,132.31198120117188
2022-04-14,130.45753479003906
2022-04-18,128.29893493652344
2022-04-19,130.33981323242188
2022-04-20,130.20242309570312
2022-04-21,129.61370849609375
2022-04-22,126.20903778076172
2022-04-25,126.3856430053711
2022-04-26,122.60810089111328
2022-04-27,127.396240234375
2022-04-28,129.8001251220703
2022-04-29,120.82235717773438
2022-05-02,124.02099609375
2022-05-03,123.87382507324219
2022-05-04,129.87863159179688
2022-05-05,127.12153625488281
2022-05-06,124.4134750366211
2022-05-09,119.43890380859375
2022-05-10,120.68498992919922
2022-05-11,120.95972442626953
2022-05-12,121.69560241699219
2022-05-13,123.95232391357422
2022-05-16,124.16817474365234
2022-05-17,126.19921875
2022-05-18,122.88282775878906
2022-05-19,123.51078033447266
2022-05-20,123.66777801513672
2022-05-23,127.4453125
2022-05-24,126.78792572021484
2022-05-25,128.9661407470703
2022-05-26,130.24166870117188
2022-05-27,131.58587646484375
2022-05-31,130.78134155273438
2022-06-01,132.0274200439453
2022-06-02,133.24407958984375
2022-06-03,134.03884887695312
2022-06-06,134.58828735351562
2022-06-07,135.9815673828125
2022-06-08,132.66519165039062
2022-06-09,130.5164031982422
2022-06-10,128.05364990234375
2022-06-13,122.27450561523438
2022-06-14,122.54923248291016
2022-06-15,124.13874053955078
2022-06-16,121.9408950805664
2022-06-17,125.1885986328125
2022-06-21,129.1918182373047
2022-06-22,130.66357421875
2022-06-23,133.38145446777344
2022-06-24,134.5
2022-06-27,133.97015380859375
2022-06-28,130.52621459960938
2022-06-29,131.8409881591797
2022-06-30,132.00779724121094
2022-07-01,134.23504638671875
2022-07-05,134.970947265625
2022-07-06,134.42149353027344
2022-07-07,133.7641143798828
2022-07-08,133.16558837890625
2022-07-11,132.1942138671875
2022-07-12,131.90968322753906
2022-07-13,132.38064575195312
2022-07-14,133.10671997070312
2022-07-15,134.78451538085938
2022-07-18,131.93910217285156
2022-07-19,134.93170166015625
2022-07-20,134.86302185058594
