,ODFL
2023-05-10,155.89175415039062
2023-05-11,153.91343688964844
2023-05-12,152.7482452392578
2023-05-15,151.95986938476562
2023-05-16,147.96852111816406
2023-05-17,150.61126708984375
2023-05-18,151.93508911132812
2023-05-19,149.446044921875
2023-05-22,149.81297302246094
2023-05-23,149.39149475097656
2023-05-24,148.98495483398438
2023-05-25,153.7993927001953
2023-05-26,156.5958251953125
2023-05-30,157.46351623535156
2023-05-31,153.92333984375
2023-06-01,157.49822998046875
2023-06-02,158.49978637695312
2023-06-05,155.4901580810547
2023-06-06,152.67523193359375
2023-06-07,156.92987060546875
2023-06-08,157.31710815429688
2023-06-09,152.00997924804688
2023-06-12,151.98516845703125
2023-06-13,154.9440460205078
2023-06-14,159.2235107421875
2023-06-15,163.02137756347656
2023-06-16,161.57669067382812
2023-06-20,159.1688690185547
2023-06-21,162.16749572753906
2023-06-22,164.28237915039062
2023-06-23,162.15753173828125
2023-06-26,166.08453369140625
2023-06-27,178.3618927001953
2023-06-28,183.8328399658203
2023-06-29,186.54348754882812
2023-06-30,183.56475830078125
2023-07-03,182.63140869140625
2023-07-05,182.56192016601562
2023-07-06,181.7328338623047
2023-07-07,183.65907287597656
2023-07-10,186.04702758789062
2023-07-11,187.6158447265625
2023-07-12,186.5484619140625
2023-07-13,187.33287048339844
2023-07-14,187.5463409423828
2023-07-17,190.28179931640625
2023-07-18,195.703125
2023-07-19,196.19956970214844
2023-07-20,197.7683563232422
2023-07-21,195.84707641601562
2023-07-24,193.34991455078125
2023-07-25,196.28399658203125
2023-07-26,208.884033203125
2023-07-27,204.60458374023438
2023-07-28,212.27980041503906
2023-07-31,208.25851440429688
2023-08-01,204.85279846191406
2023-08-02,202.84213256835938
2023-08-03,205.05633544921875
2023-08-04,202.11236572265625
2023-08-07,203.22940063476562
2023-08-08,203.10031127929688
2023-08-09,199.29745483398438
2023-08-10,201.5364990234375
2023-08-11,203.9343719482422
2023-08-14,206.52090454101562
2023-08-15,203.368408203125
2023-08-16,202.10740661621094
2023-08-17,195.688232421875
2023-08-18,195.3506317138672
2023-08-21,200.12652587890625
2023-08-22,201.06484985351562
2023-08-23,204.86270141601562
2023-08-24,202.9017333984375
2023-08-25,203.07052612304688
2023-08-28,206.71949768066406
2023-08-29,212.384033203125
2023-08-30,213.6301727294922
2023-08-31,212.17056274414062
2023-09-01,216.39047241210938
2023-09-05,210.41259765625
2023-09-06,210.6212921142578
2023-09-07,215.0388641357422
2023-09-08,209.32437133789062
2023-09-11,211.70457458496094
2023-09-12,209.62249755859375
2023-09-13,206.58636474609375
2023-09-14,202.23342895507812
2023-09-15,203.5353546142578
2023-09-18,203.6545867919922
2023-09-19,201.88558959960938
2023-09-20,202.68064880371094
2023-09-21,198.82957458496094
2023-09-22,199.09292602539062
2023-09-25,202.99368286132812
2023-09-26,198.2730255126953
2023-09-27,198.71031188964844
2023-09-28,201.77130126953125
2023-09-29,203.3067626953125
2023-10-02,200.35012817382812
2023-10-03,198.70037841796875
2023-10-04,200.33522033691406
2023-10-05,200.39483642578125
2023-10-06,205.4335479736328
2023-10-09,209.78152465820312
2023-10-10,211.24244689941406
2023-10-11,211.56546020507812
2023-10-12,210.72564697265625
2023-10-13,201.28927612304688
2023-10-16,204.93663024902344
2023-10-17,207.28204345703125
2023-10-18,199.689208984375
2023-10-19,197.00094604492188
2023-10-20,195.30149841308594
2023-10-23,192.633056640625
2023-10-24,191.75848388671875
2023-10-25,184.3594970703125
2023-10-26,183.7532501220703
2023-10-27,183.09234619140625
2023-10-30,188.39938354492188
2023-10-31,187.16702270507812
2023-11-01,194.11883544921875
2023-11-02,193.21446228027344
2023-11-03,194.9586181640625
2023-11-06,195.80337524414062
2023-11-07,196.95620727539062
2023-11-08,193.87039184570312
2023-11-09,191.60943603515625
2023-11-10,195.1027374267578
2023-11-13,194.2977294921875
2023-11-14,201.16505432128906
2023-11-15,200.12652587890625
2023-11-16,197.6667938232422
2023-11-17,198.71530151367188
2023-11-20,199.89297485351562
2023-11-21,201.1898956298828
2023-11-22,200.62838745117188
2023-11-24,200.91163635253906
2023-11-27,198.09413146972656
2023-11-28,192.4939422607422
2023-11-29,190.7696533203125
2023-11-30,193.32876586914062
2023-12-01,201.61724853515625
2023-12-04,200.7029266357422
2023-12-05,196.37054443359375
