,SYF
2021-03-15,39.10886764526367
2021-03-16,38.542598724365234
2021-03-17,39.4011344909668
2021-03-18,37.68406295776367
2021-03-19,37.41920471191406
2021-03-22,37.02647018432617
2021-03-23,35.43726348876953
2021-03-24,36.06746673583984
2021-03-25,37.200008392333984
2021-03-26,37.738861083984375
2021-03-29,36.80727005004883
2021-03-30,37.50139999389648
2021-03-31,37.13606643676758
2021-04-01,38.04940032958984
2021-04-05,38.56087493896485
2021-04-06,38.53346633911133
2021-04-07,38.80746841430664
2021-04-08,38.58826446533203
2021-04-09,39.09060287475586
2021-04-12,39.41026306152344
2021-04-13,37.86673355102539
2021-04-14,37.90327453613281
2021-04-15,37.70232772827149
2021-04-16,37.80279541015625
2021-04-19,37.200008392333984
2021-04-20,36.140533447265625
2021-04-21,36.69766998291016
2021-04-22,36.42367172241211
2021-04-23,37.15433883666992
2021-04-26,37.875877380371094
2021-04-27,37.200008392333984
2021-04-28,39.30066680908203
2021-04-29,40.58846664428711
2021-04-30,40.14788818359375
2021-05-03,40.092811584472656
2021-05-04,40.92807388305664
2021-05-05,41.11166000366211
2021-05-06,41.21261978149414
2021-05-07,42.1304931640625
2021-05-10,42.24064254760742
2021-05-11,41.49716567993164
2021-05-12,40.50585174560547
2021-05-13,41.55223083496094
2021-05-14,42.956581115722656
2021-05-17,43.05754089355469
2021-05-18,42.084590911865234
2021-05-19,42.10295486450195
2021-05-20,42.001991271972656
2021-05-21,42.424217224121094
2021-05-24,42.58943557739258
2021-05-25,42.4609260559082
2021-05-26,42.91068649291992
2021-05-27,43.78267288208008
2021-05-28,43.5164909362793
2021-06-01,44.94837188720703
2021-06-02,45.434844970703125
2021-06-03,45.756103515625
2021-06-04,45.70103073120117
2021-06-07,46.306827545166016
2021-06-08,46.62808609008789
2021-06-09,45.95804214477539
2021-06-10,44.96673583984375
2021-06-11,45.31552505493164
2021-06-14,44.64547348022461
2021-06-15,45.9396858215332
2021-06-16,45.44401931762695
2021-06-17,43.6082763671875
2021-06-18,42.35078048706055
2021-06-21,44.05803680419922
2021-06-22,43.96624755859375
2021-06-23,44.35175323486328
2021-06-24,44.97591018676758
2021-06-25,45.710208892822266
2021-06-28,44.507789611816406
2021-06-29,44.05803680419922
2021-06-30,44.53532409667969
2021-07-01,44.85658645629883
2021-07-02,45.02180099487305
2021-07-06,43.9387092590332
2021-07-07,44.02131652832031
2021-07-08,42.87397384643555
2021-07-09,44.728084564208984
2021-07-12,45.434844970703125
2021-07-13,44.64547348022461
2021-07-14,43.59910202026367
2021-07-15,43.801025390625
2021-07-16,42.892333984375
2021-07-19,41.120826721191406
2021-07-20,42.222286224365234
2021-07-21,43.268653869628906
2021-07-22,42.13967514038086
2021-07-23,42.690399169921875
2021-07-26,43.268653869628906
2021-07-27,43.35126876831055
2021-07-28,43.332908630371094
2021-07-29,44.35175323486328
2021-07-30,43.35591506958008
2021-08-02,43.19915771484375
2021-08-03,43.448116302490234
2021-08-04,43.49422454833984
2021-08-05,44.526954650878906
2021-08-06,45.55045318603515
2021-08-09,45.15395736694336
