,DPZ
2017-10-19,172.35691833496094
2017-10-20,172.34768676757812
2017-10-23,169.12501525878906
2017-10-24,170.24549865722656
2017-10-25,172.0142822265625
2017-10-26,171.94944763183594
2017-10-27,171.02337646484375
2017-10-30,168.26373291015625
2017-10-31,169.46759033203125
2017-11-01,164.1428680419922
2017-11-02,164.9207000732422
2017-11-03,164.78179931640625
2017-11-06,160.63316345214844
2017-11-07,157.52159118652344
2017-11-08,156.23435974121094
2017-11-09,160.40158081054688
2017-11-10,160.51268005371094
2017-11-13,160.23487854003906
2017-11-14,162.67042541503906
2017-11-15,162.76303100585938
2017-11-16,164.34654235839844
2017-11-17,165.43930053710938
2017-11-20,164.62442016601562
2017-11-21,163.80015563964844
2017-11-22,163.49456787109375
2017-11-24,164.22621154785156
2017-11-27,161.6146697998047
2017-11-28,159.549560546875
2017-11-29,165.92086791992188
2017-11-30,172.3939666748047
2017-12-01,170.9678497314453
2017-12-04,173.74598693847656
2017-12-05,171.7827606201172
2017-12-06,167.77297973632812
2017-12-07,166.23570251464844
2017-12-08,170.3103485107422
2017-12-11,167.57850646972656
2017-12-12,167.25436401367188
2017-12-13,167.1616973876953
2017-12-14,169.45497131347656
2017-12-15,171.79454040527344
2017-12-18,172.6858673095703
2017-12-19,173.6699676513672
2017-12-20,170.47622680664062
2017-12-21,174.90478515625
2017-12-22,179.06411743164062
2017-12-26,176.74301147460938
2017-12-27,176.92872619628906
2017-12-28,176.38095092773438
2017-12-29,175.4340057373047
2018-01-02,173.55857849121094
2018-01-03,177.94070434570312
2018-01-04,183.1676788330078
2018-01-05,185.9622344970703
2018-01-08,189.03530883789062
2018-01-09,191.9133758544922
2018-01-10,185.7672576904297
2018-01-11,194.82862854003906
2018-01-12,196.03558349609375
2018-01-16,194.30874633789062
2018-01-17,193.00894165039062
2018-01-18,195.8127899169922
2018-01-19,198.2544708251953
2018-01-22,200.80764770507812
2018-01-23,203.8529052734375
2018-01-24,203.06370544433594
2018-01-25,203.63003540039062
2018-01-26,201.26260375976562
2018-01-29,199.9163818359375
2018-01-30,200.49200439453125
2018-01-31,201.32760620117188
2018-02-01,203.01727294921875
2018-02-02,199.0343475341797
2018-02-05,193.12960815429688
2018-02-06,193.53814697265625
2018-02-07,196.18414306640625
2018-02-08,184.35609436035156
2018-02-09,191.33778381347656
2018-02-12,196.7040252685547
2018-02-13,193.11106872558594
2018-02-14,194.76364135742188
2018-02-15,202.11672973632812
2018-02-16,204.93911743164062
2018-02-20,205.63543701171875
2018-02-21,214.0283660888672
2018-02-22,210.7510528564453
2018-02-23,212.46859741210938
2018-02-26,211.69802856445312
2018-02-27,210.2589874267578
2018-02-28,206.48963928222656
2018-03-01,206.8702392578125
2018-03-02,207.13021850585938
2018-03-05,203.88999938964844
2018-03-06,205.5890350341797
2018-03-07,207.0001983642578
2018-03-08,206.83309936523438
2018-03-09,213.77767944335938
2018-03-12,211.3916778564453
2018-03-13,210.1939697265625
2018-03-14,210.94784545898438
2018-03-15,211.09671020507812
2018-03-16,213.86083984375
2018-03-19,211.88780212402344
2018-03-20,215.53607177734375
2018-03-21,212.43690490722656
2018-03-22,210.7058563232422
2018-03-23,210.93850708007812
2018-03-26,215.24752807617188
2018-03-27,215.5267791748047
2018-03-28,217.65802001953125
2018-03-29,217.3695068359375
2018-04-02,214.4471435546875
2018-04-03,217.28573608398438
2018-04-04,215.40576171875
2018-04-05,219.44491577148438
2018-04-06,215.41505432128906
2018-04-09,216.3177947998047
2018-04-10,215.63841247558594
2018-04-11,214.98692321777344
2018-04-12,215.43370056152344
2018-04-13,214.35411071777344
2018-04-16,216.2433624267578
2018-04-17,220.71994018554688
2018-04-18,221.6785430908203
2018-04-19,224.00521850585938
2018-04-20,222.3672332763672
2018-04-23,222.87913513183594
2018-04-24,215.7501220703125
2018-04-25,217.34161376953125
2018-04-26,233.2376251220703
2018-04-27,231.19943237304688
2018-04-30,224.97311401367188
2018-05-01,230.5106964111328
2018-05-02,227.34637451171875
2018-05-03,228.7889404296875
2018-05-04,231.0318603515625
2018-05-07,233.1351776123047
2018-05-08,233.0514373779297
2018-05-09,232.5861358642578
2018-05-10,232.4093017578125
2018-05-11,232.5861358642578
2018-05-14,229.07745361328125
2018-05-15,229.97091674804688
2018-05-16,230.19427490234375
2018-05-17,229.45901489257812
2018-05-18,227.8861846923828
2018-05-21,231.15286254882812
2018-05-22,231.00396728515625
2018-05-23,232.1952667236328
2018-05-24,234.75460815429688
2018-05-25,232.98631286621094
2018-05-29,228.76101684570312
2018-05-30,234.25204467773438
2018-05-31,234.04727172851562
2018-06-01,235.3223114013672
2018-06-04,237.68626403808594
