,CB
2022-06-09,198.32821655273438
2022-06-10,193.91456604003906
2022-06-13,190.0200958251953
2022-06-14,190.33743286132812
2022-06-15,191.62594604492188
2022-06-16,182.6843719482422
2022-06-17,182.82919311523438
2022-06-21,182.95474243164062
2022-06-22,183.01268005371094
2022-06-23,180.54067993164062
2022-06-24,187.84072875976562
2022-06-27,188.0531768798828
2022-06-28,187.724853515625
2022-06-29,187.10687255859375
2022-06-30,189.82025146484375
2022-07-01,191.11415100097656
2022-07-05,186.49855041503906
2022-07-06,187.05857849121094
2022-07-07,187.92764282226562
2022-07-08,186.43093872070312
2022-07-11,186.90408325195312
2022-07-12,185.3011474609375
2022-07-13,183.505126953125
2022-07-14,177.01622009277344
2022-07-15,177.85629272460938
2022-07-18,174.94976806640625
2022-07-19,179.3336639404297
2022-07-20,178.34873962402344
2022-07-21,177.68247985839844
2022-07-22,177.79833984375
2022-07-25,180.77244567871094
2022-07-26,181.8056640625
2022-07-27,180.56964111328125
2022-07-28,179.00537109375
2022-07-29,182.1532745361328
2022-08-01,178.61912536621094
2022-08-02,178.00112915039062
2022-08-03,179.31439208984375
2022-08-04,178.72535705566406
2022-08-05,178.9474639892578
2022-08-08,180.14479064941406
2022-08-09,183.18650817871094
2022-08-10,185.01148986816406
2022-08-11,187.14549255371094
2022-08-12,190.75689697265625
2022-08-15,189.9457550048828
2022-08-16,192.20533752441406
2022-08-17,194.0303192138672
2022-08-18,195.44976806640625
2022-08-19,193.68270874023438
2022-08-22,190.24510192871094
2022-08-23,189.96505737304688
2022-08-24,189.65606689453125
2022-08-25,190.71824645996094
2022-08-26,186.85580444335938
2022-08-29,185.55221557617188
2022-08-30,183.45684814453125
2022-08-31,182.54917907714844
2022-09-01,185.5329132080078
2022-09-02,184.3162384033203
2022-09-06,183.8817138671875
2022-09-07,187.01995849609375
2022-09-08,188.4008026123047
2022-09-09,188.29457092285156
2022-09-12,190.20648193359375
2022-09-13,186.55645751953125
2022-09-14,186.6143798828125
2022-09-15,186.3525848388672
2022-09-16,183.53050231933594
2022-09-19,186.08102416992188
2022-09-20,181.91099548339844
2022-09-21,176.95542907714844
2022-09-22,176.00503540039062
2022-09-23,174.84129333496094
2022-09-26,169.4590301513672
2022-09-27,172.7562713623047
2022-09-28,174.8704071044922
2022-09-29,178.22581481933594
2022-09-30,176.38323974609375
2022-10-03,181.4454803466797
2022-10-04,186.9344482421875
2022-10-05,184.8688201904297
2022-10-06,183.11351013183594
2022-10-07,179.09861755371094
2022-10-10,179.3313751220703
2022-10-11,180.08779907226562
2022-10-12,179.40895080566406
2022-10-13,187.8751220703125
2022-10-14,183.06500244140625
2022-10-17,186.86654663085938
2022-10-18,188.76730346679688
2022-10-19,190.05709838867188
2022-10-20,186.40103149414062
2022-10-21,191.81239318847656
2022-10-24,197.23345947265625
2022-10-25,195.3424072265625
2022-10-26,197.98020935058594
2022-10-27,201.258056640625
2022-10-28,208.01742553710938
2022-10-31,208.39559936523438
2022-11-01,207.02822875976562
2022-11-02,204.1770782470703
2022-11-03,203.30430603027344
2022-11-04,202.83877563476562
2022-11-07,205.68023681640625
2022-11-08,205.99057006835938
2022-11-09,203.76976013183594
2022-11-10,205.5056610107422
2022-11-11,200.02642822265625
2022-11-14,198.90150451660156
2022-11-15,200.38525390625
2022-11-16,201.015625
2022-11-17,202.72239685058594
2022-11-18,203.78916931152344
2022-11-21,204.02194213867188
2022-11-22,206.58213806152344
2022-11-23,207.67796325683594
2022-11-25,209.69512939453125
2022-11-28,208.8902130126953
2022-11-29,210.1315155029297
2022-11-30,212.9535675048828
2022-12-01,211.72198486328125
2022-12-02,212.5365753173828
2022-12-05,208.9193115234375
2022-12-06,211.05282592773438
2022-12-07,211.02371215820312
2022-12-08,212.5559844970703
2022-12-09,210.76187133789062
2022-12-12,210.95582580566406
2022-12-13,210.48065185546875
2022-12-14,210.2672882080078
2022-12-15,207.13259887695312
2022-12-16,206.0714874267578
2022-12-19,206.3440704345703
2022-12-20,209.01148986816406
2022-12-21,212.96389770507812
2022-12-22,211.6302032470703
2022-12-23,213.83030700683594
2022-12-27,215.0471954345703
2022-12-28,213.9958038330078
2022-12-29,216.19595336914062
2022-12-30,214.75515747070312
2023-01-03,214.920654296875
2023-01-04,218.45445251464844
2023-01-05,217.63671875
2023-01-06,222.79629516601562
2023-01-09,217.58802795410156
2023-01-10,218.81466674804688
2023-01-11,218.6588897705078
2023-01-12,219.62269592285156
2023-01-13,221.17056274414062
2023-01-17,218.67837524414062
2023-01-18,214.7259521484375
2023-01-19,213.44090270996094
2023-01-20,214.5896453857422
2023-01-23,217.66590881347656
2023-01-24,222.29981994628906
2023-01-25,223.6822052001953
2023-01-26,224.98667907714844
2023-01-27,221.30682373046875
2023-01-30,220.08023071289062
2023-01-31,221.4626007080078
2023-02-01,207.78485107421875
2023-02-02,204.60150146484375
2023-02-03,204.2802276611328
2023-02-06,208.18399047851562
2023-02-07,209.44955444335938
2023-02-08,209.64425659179688
2023-02-09,207.75564575195312
2023-02-10,209.0017547607422
2023-02-13,209.790283203125
2023-02-14,207.66802978515625
2023-02-15,207.30784606933594
2023-02-16,204.68911743164062
2023-02-17,205.0298309326172
2023-02-21,203.2385711669922
2023-02-22,204.29969787597656
2023-02-23,203.07308959960938
2023-02-24,205.32188415527344
2023-02-27,206.0714874267578
2023-02-28,205.42898559570312
2023-03-01,203.94923400878906
2023-03-02,202.87838745117188
2023-03-03,201.61285400390625
2023-03-06,202.54739379882812
2023-03-07,201.32077026367188
2023-03-08,197.9816436767578
2023-03-09,193.60089111328125
2023-03-10,193.14332580566406
2023-03-13,186.8934326171875
2023-03-14,188.86964416503906
2023-03-15,182.434814453125
2023-03-16,187.6075439453125
2023-03-17,182.65969848632812
2023-03-20,185.38784790039062
2023-03-21,189.9836883544922
2023-03-22,185.82786560058594
2023-03-23,181.88719177246094
2023-03-24,182.41525268554688
2023-03-27,184.73269653320312
2023-03-28,185.35850524902344
2023-03-29,188.97650146484375
2023-03-30,189.13294982910156
2023-03-31,189.87611389160156
2023-04-03,192.3206787109375
2023-04-04,191.1277618408203
2023-04-05,191.64601135253906
2023-04-06,192.43807983398438
2023-04-10,191.68511962890625
2023-04-11,193.68968200683594
2023-04-12,194.81417846679688
2023-04-13,195.68446350097656
2023-04-14,191.44065856933594
2023-04-17,193.81680297851562
2023-04-18,197.2196502685547
2023-04-19,199.96739196777344
2023-04-20,199.43936157226562
2023-04-21,196.73074340820312
2023-04-24,196.12448120117188
2023-04-25,196.720947265625
2023-04-26,193.97323608398438
2023-04-27,194.61863708496094
2023-04-28,197.09254455566406
2023-05-01,197.65969848632812
2023-05-02,196.05604553222656
2023-05-03,193.39633178710938
