,DG
2021-08-09,226.10394287109375
2021-08-10,227.8639678955078
2021-08-11,227.65353393554688
2021-08-12,226.00828552246094
2021-08-13,226.46739196777344
2021-08-16,227.50047302246094
2021-08-17,221.47434997558594
2021-08-18,221.57000732421875
2021-08-19,222.3639373779297
2021-08-20,224.57351684570312
2021-08-23,224.4396209716797
2021-08-24,222.63174438476562
2021-08-25,224.5352783203125
2021-08-26,216.0795440673828
2021-08-27,215.45777893066406
2021-08-30,215.56301879882812
2021-08-31,213.2195281982422
2021-09-01,213.00909423828125
2021-09-02,215.18040466308594
2021-09-03,212.77947998046875
2021-09-07,211.90907287597656
2021-09-08,214.3003692626953
2021-09-09,210.56991577148438
2021-09-10,208.57080078125
2021-09-13,208.14036560058594
2021-09-14,206.88729858398438
2021-09-15,207.53773498535156
2021-09-16,211.92820739746094
2021-09-17,212.45428466796875
2021-09-20,212.14820861816406
2021-09-21,210.00558471679688
2021-09-22,209.49864196777344
2021-09-23,208.86732482910156
2021-09-24,208.24559020996094
2021-09-27,207.3368377685547
2021-09-28,205.84471130371094
2021-09-29,207.53773498535156
2021-09-30,202.917724609375
2021-10-01,200.11509704589844
2021-10-04,197.62313842773438
2021-10-05,197.06723022460938
2021-10-06,198.51449584960938
2021-10-07,202.07034301757812
2021-10-08,201.658203125
2021-10-11,201.0735626220703
2021-10-12,199.6071014404297
2021-10-13,200.69972229003906
2021-10-14,203.95849609375
2021-10-15,203.95849609375
2021-10-18,204.8210906982422
2021-10-19,204.90733337402344
2021-10-20,206.2875213623047
2021-10-21,209.84341430664062
2021-10-22,211.1564483642578
2021-10-25,213.2458953857422
2021-10-26,212.32577514648438
2021-10-27,211.21397399902344
2021-10-28,211.7411346435547
2021-10-29,212.31617736816406
2021-11-01,211.30979919433594
2021-11-02,212.62289428710938
2021-11-03,214.42477416992188
2021-11-04,216.81134033203125
2021-11-05,216.2554168701172
2021-11-08,211.7506866455078
2021-11-09,211.03184509277344
2021-11-10,211.5973358154297
2021-11-11,212.08612060546875
2021-11-12,215.651611328125
2021-11-15,217.5685272216797
2021-11-16,220.76014709472656
2021-11-17,213.61968994140625
2021-11-18,213.10211181640625
2021-11-19,215.22030639648438
2021-11-22,216.5717010498047
2021-11-23,215.7857666015625
2021-11-24,214.14682006835938
2021-11-26,215.09567260742188
2021-11-29,215.71868896484375
2021-11-30,212.10533142089844
2021-12-01,213.53341674804688
2021-12-02,206.84341430664062
2021-12-03,212.7762451171875
2021-12-06,216.15957641601562
2021-12-07,215.17236328125
2021-12-08,212.21075439453125
2021-12-09,213.092529296875
2021-12-10,213.1596221923828
2021-12-13,216.61004638671875
2021-12-14,216.0828857421875
2021-12-15,216.72509765625
2021-12-16,216.28419494628906
2021-12-17,213.25546264648438
2021-12-20,211.2427215576172
2021-12-21,212.5078582763672
2021-12-22,211.07020568847656
2021-12-23,212.1340789794922
2021-12-27,215.35447692871094
2021-12-28,218.8336639404297
2021-12-29,223.8751220703125
2021-12-30,226.03160095214844
2021-12-31,226.03160095214844
2022-01-03,226.09881591796875
2022-01-04,224.38975524902344
2022-01-05,224.48577880859375
2022-01-06,226.40606689453125
2022-01-07,228.77769470214844
2022-01-10,226.89578247070312
2022-01-11,219.54092407226562
2022-01-12,219.492919921875
2022-01-13,214.17361450195312
2022-01-14,208.43185424804688
2022-01-18,204.62001037597656
2022-01-19,211.1779022216797
2022-01-20,203.6502685546875
2022-01-21,201.80673217773438
2022-01-24,207.95179748535156
2022-01-25,203.56382751464844
2022-01-26,196.55467224121094
2022-01-27,197.1595458984375
2022-01-28,196.18983459472656
2022-01-31,200.17446899414062
2022-02-01,200.7889862060547
2022-02-02,198.45578002929688
2022-02-03,197.18838500976562
2022-02-04,194.29827880859375
2022-02-07,192.5988006591797
2022-02-08,194.6919708251953
2022-02-09,197.5916290283203
2022-02-10,194.04864501953125
2022-02-11,192.63720703125
2022-02-14,192.61801147460938
2022-02-15,191.2161407470703
2022-02-16,189.4878692626953
2022-02-17,189.2670440673828
2022-02-18,192.00350952148438
2022-02-22,184.29342651367188
2022-02-23,180.83682250976562
2022-02-24,183.19882202148438
2022-02-25,191.06253051757812
2022-02-28,190.4384307861328
2022-03-01,193.04049682617188
2022-03-02,197.22677612304688
2022-03-03,198.0717315673828
2022-03-04,202.57489013671875
2022-03-07,195.60411071777344
2022-03-08,191.32177734375
2022-03-09,198.9646759033203
2022-03-10,197.87010192871094
2022-03-11,197.36119079589844
2022-03-14,200.37611389160156
2022-03-15,205.71458435058594
2022-03-16,204.02468872070312
2022-03-17,213.09825134277344
2022-03-18,220.48190307617188
2022-03-21,219.3009033203125
2022-03-22,217.05410766601562
2022-03-23,212.72378540039062
2022-03-24,212.0996551513672
2022-03-25,212.64695739746094
2022-03-28,217.28457641601562
2022-03-29,219.41612243652344
2022-03-30,218.40792846679688
2022-03-31,213.76075744628906
2022-04-01,217.28457641601562
2022-04-04,217.7850341796875
2022-04-05,220.7591552734375
2022-04-06,230.0376739501953
2022-04-07,232.62681579589844
2022-04-08,236.5827178955078
2022-04-11,231.74131774902344
2022-04-12,234.6865692138672
2022-04-13,236.1880645751953
2022-04-14,239.44129943847656
2022-04-18,240.79843139648438
2022-04-19,245.78419494628906
2022-04-20,249.32623291015625
2022-04-21,246.236572265625
2022-04-22,239.4798126220703
2022-04-25,239.17181396484375
2022-04-26,235.8126983642578
2022-04-27,234.36892700195312
2022-04-28,237.3334503173828
2022-04-29,228.62281799316406
2022-05-02,227.31381225585938
2022-05-03,228.07420349121094
2022-05-04,232.83859252929688
2022-05-05,224.87867736816406
2022-05-06,224.80165100097656
2022-05-09,222.6938018798828
2022-05-10,218.9689178466797
2022-05-11,219.80628967285156
2022-05-12,223.16543579101562
2022-05-13,223.61781311035156
2022-05-16,225.3887939453125
2022-05-17,219.01705932617188
2022-05-18,194.67538452148438
2022-05-19,193.78028869628906
2022-05-20,180.56515502929688
2022-05-23,187.12939453125
2022-05-24,188.60205078125
2022-05-25,188.01490783691406
2022-05-26,213.80030822753906
2022-05-27,219.81591796875
2022-05-31,212.0774383544922
2022-06-01,210.6144256591797
2022-06-02,216.29318237304688
2022-06-03,218.43951416015625
2022-06-06,223.75254821777344
2022-06-07,225.53318786621094
2022-06-08,224.9652862548828
2022-06-09,228.79605102539062
2022-06-10,224.6091766357422
2022-06-13,222.2703094482422
2022-06-14,221.39442443847656
2022-06-15,223.5408172607422
2022-06-16,223.5215301513672
2022-06-17,222.14517211914062
2022-06-21,230.00880432128906
2022-06-22,231.5006866455078
2022-06-23,234.47479248046875
2022-06-24,238.60389709472656
2022-06-27,237.5067138671875
2022-06-28,234.44595336914062
2022-06-29,237.78579711914062
2022-06-30,236.23619079589844
2022-07-01,237.6445770263672
2022-07-05,241.21383666992188
2022-07-06,244.2332305908203
2022-07-07,245.85386657714844
2022-07-08,243.94384765625
2022-07-11,244.9085235595703
2022-07-12,238.7925262451172
2022-07-13,237.91468811035156
2022-07-14,239.57391357421875
2022-07-15,235.5126953125
2022-07-18,235.5223388671875
2022-07-19,236.67994689941406
2022-07-20,237.5577850341797
2022-07-21,238.2137451171875
2022-07-22,239.05300903320312
2022-07-25,238.96617126464844
2022-07-26,232.85986328125
2022-07-27,235.81173706054688
2022-07-28,236.48699951171875
2022-07-29,239.65109252929688
2022-08-01,243.17210388183594
2022-08-02,241.76368713378906
2022-08-03,243.08531188964844
2022-08-04,242.40037536621094
2022-08-05,244.13677978515625
2022-08-08,246.27833557128906
2022-08-09,244.9856719970703
2022-08-10,245.40049743652344
2022-08-11,242.9695281982422
2022-08-12,244.3489990234375
2022-08-15,244.00173950195312
2022-08-16,247.7060546875
2022-08-17,246.50982666015625
2022-08-18,248.55491638183594
2022-08-19,244.8892059326172
2022-08-22,239.94049072265625
2022-08-23,238.85044860839844
2022-08-24,238.70571899414062
2022-08-25,237.3841552734375
2022-08-26,227.9690399169922
2022-08-29,230.19741821289062
2022-08-30,230.29385375976562
2022-08-31,229.03016662597656
2022-09-01,234.1911163330078
2022-09-02,234.02713012695312
2022-09-06,231.33572387695312
2022-09-07,237.20083618164062
2022-09-08,238.66712951660156
2022-09-09,238.5224151611328
2022-09-12,238.39700317382812
2022-09-13,231.8373260498047
2022-09-14,232.55117797851562
2022-09-15,232.33897399902344
2022-09-16,235.17506408691406
2022-09-19,236.9307403564453
2022-09-20,237.075439453125
2022-09-21,231.78909301757812
2022-09-22,231.71192932128906
2022-09-23,233.0817413330078
2022-09-26,230.03341674804688
2022-09-27,227.51565551757812
2022-09-28,232.49330139160156
2022-09-29,231.0077362060547
2022-09-30,231.38397216796875
2022-10-03,238.31646728515625
2022-10-04,236.9918670654297
2022-10-05,234.66163635253906
2022-10-06,233.66578674316406
2022-10-07,231.56764221191406
2022-10-10,231.67398071289062
2022-10-11,231.6933135986328
2022-10-12,229.80789184570312
2022-10-13,234.13955688476562
2022-10-14,228.76370239257812
2022-10-17,228.57032775878906
2022-10-18,229.72088623046875
2022-10-19,230.47508239746094
2022-10-20,229.3631591796875
2022-10-21,231.4419403076172
2022-10-24,236.86611938476562
2022-10-25,242.16465759277344
2022-10-26,242.2806854248047
2022-10-27,245.14263916015625
2022-10-28,251.81410217285156
2022-10-31,246.60263061523438
2022-11-01,245.72274780273438
2022-11-02,241.4104766845703
2022-11-03,240.9850616455078
2022-11-04,239.8828125
2022-11-07,242.99618530273438
2022-11-08,242.68675231933594
2022-11-09,234.33290100097656
