,WTW
2019-08-07,179.8022003173828
2019-08-08,184.3309783935547
2019-08-09,183.40103149414062
2019-08-12,179.41162109375
2019-08-13,181.33657836914062
2019-08-14,177.00308227539062
2019-08-15,177.11468505859375
2019-08-16,180.9181365966797
2019-08-19,183.6242218017578
2019-08-20,179.82077026367188
2019-08-21,180.1741180419922
2019-08-22,180.68560791015625
2019-08-23,175.9522705078125
2019-08-26,178.54678344726562
2019-08-27,177.85865783691406
2019-08-28,178.8350830078125
2019-08-29,181.80152893066406
2019-08-30,184.0984649658203
2019-09-03,181.95034790039062
2019-09-04,182.75010681152344
2019-09-05,183.838134765625
2019-09-06,183.8939208984375
2019-09-09,181.82940673828125
2019-09-10,176.398681640625
2019-09-11,178.30499267578125
2019-09-12,181.04830932617188
2019-09-13,181.05763244628906
2019-09-16,181.3459014892578
2019-09-17,184.7215576171875
2019-09-18,184.76805114746094
2019-09-19,184.3123779296875
2019-09-20,182.61061096191406
2019-09-23,183.5684051513672
2019-09-24,183.47543334960938
2019-09-25,183.01048278808594
2019-09-26,184.14498901367188
2019-09-27,179.7878875732422
2019-09-30,180.03982543945312
2019-10-01,175.33749389648438
2019-10-02,171.8667755126953
2019-10-03,172.59451293945312
2019-10-04,176.00926208496094
2019-10-07,175.0203094482422
2019-10-08,172.00669860839844
2019-10-09,173.72340393066406
2019-10-10,175.11358642578125
2019-10-11,175.49610900878906
2019-10-14,175.0669403076172
2019-10-15,175.40281677246094
2019-10-16,175.95330810546875
2019-10-17,175.30020141601562
2019-10-18,175.18826293945312
2019-10-21,177.31546020507812
2019-10-22,176.13055419921875
2019-10-23,172.38925170898438
2019-10-24,174.7870330810547
2019-10-25,172.58518981933594
2019-10-28,171.0924072265625
2019-10-29,173.2102508544922
2019-10-30,177.4927215576172
2019-10-31,174.37652587890625
2019-11-01,176.3264923095703
2019-11-04,174.31118774414062
2019-11-05,172.61317443847656
2019-11-06,174.1619415283203
2019-11-07,172.59451293945312
2019-11-08,172.69717407226562
2019-11-11,174.07801818847656
2019-11-12,174.67507934570312
2019-11-13,175.04827880859375
2019-11-14,177.03553771972656
2019-11-15,176.2891845703125
2019-11-18,175.2628936767578
2019-11-19,177.45538330078125
2019-11-20,177.4087677001953
2019-11-21,177.20346069335938
2019-11-22,177.04489135742188
2019-11-25,180.18905639648438
2019-11-26,181.76583862304688
2019-11-27,183.1933135986328
2019-11-29,183.2772979736328
2019-12-02,182.1390380859375
2019-12-03,179.61996459960938
2019-12-04,180.32904052734375
2019-12-05,180.92611694335938
2019-12-06,182.2976531982422
2019-12-09,181.73785400390625
2019-12-10,181.55125427246094
2019-12-11,181.38330078125
2019-12-12,185.1246337890625
2019-12-13,186.6360626220703
2019-12-16,187.69033813476562
2019-12-17,187.74632263183594
2019-12-18,188.19418334960938
2019-12-19,190.1907501220703
2019-12-20,191.86085510253906
2019-12-23,188.07289123535156
2019-12-24,188.4553985595703
2019-12-26,188.48341369628906
2019-12-27,188.24082946777344
2019-12-30,188.68075561523438
2019-12-31,189.01768493652344
2020-01-02,191.20797729492188
2020-01-03,191.25474548339844
2020-01-06,191.48873901367188
2020-01-07,191.09564208984375
2020-01-08,191.31092834472656
2020-01-09,191.88189697265625
2020-01-10,191.88189697265625
2020-01-13,191.88189697265625
2020-01-14,190.94590759277344
2020-01-15,191.01144409179688
2020-01-16,191.1237030029297
2020-01-17,191.87254333496094
2020-01-21,191.9099884033203
2020-01-22,190.7118682861328
2020-01-23,193.4356689453125
2020-01-24,195.63528442382812
2020-01-27,194.15638732910156
2020-01-28,199.36997985839844
2020-01-29,199.05174255371094
2020-01-30,201.00802612304688
2020-01-31,197.7694091796875
2020-02-03,201.34494018554688
2020-02-04,204.5835418701172
2020-02-05,205.97817993164062
2020-02-06,195.53231811523438
2020-02-07,196.79592895507812
2020-02-10,200.97055053710938
2020-02-11,199.3512420654297
2020-02-12,199.10789489746094
2020-02-13,199.18276977539062
2020-02-14,199.99710083007812
2020-02-18,199.079833984375
2020-02-19,198.20932006835938
2020-02-20,196.0939178466797
2020-02-21,195.1017608642578
2020-02-24,192.3873291015625
2020-02-25,189.6728973388672
2020-02-26,191.35772705078125
2020-02-27,182.08189392089844
2020-02-28,177.13973999023438
2020-03-02,186.77127075195312
2020-03-03,184.5435791015625
2020-03-04,193.33270263671875
2020-03-05,188.8585662841797
2020-03-06,186.93040466308594
2020-03-09,172.91836547851562
