,JKHY
2017-06-27,95.95023345947266
2017-06-28,96.50020599365234
2017-06-29,95.05194854736328
2017-06-30,95.2077865600586
2017-07-03,94.60282135009766
2017-07-05,95.03361511230469
2017-07-06,94.06202697753906
2017-07-07,94.96029663085938
2017-07-10,95.17109680175781
2017-07-11,95.24443817138672
2017-07-12,96.47270202636719
2017-07-13,96.15187072753906
2017-07-14,96.42687225341797
2017-07-17,96.72016906738281
2017-07-18,96.42687225341797
2017-07-19,97.29765319824219
2017-07-20,97.57262420654297
2017-07-21,97.33429718017578
2017-07-24,97.33429718017578
2017-07-25,97.60012817382812
2017-07-26,97.79261016845703
2017-07-27,97.79261016845703
2017-07-28,98.15007019042969
2017-07-31,98.37007141113281
2017-08-01,98.42507934570312
2017-08-02,96.87598419189453
2017-08-03,97.06849670410156
2017-08-04,97.18762969970703
2017-08-07,97.72842407226562
2017-08-08,97.69176483154297
2017-08-09,97.49929809570312
2017-08-10,97.22428894042969
2017-08-11,96.92181396484375
2017-08-14,97.48096466064453
2017-08-15,97.62760925292969
2017-08-16,93.1178970336914
2017-08-17,90.48726654052734
2017-08-18,90.23062896728516
2017-08-21,91.0189208984375
2017-08-22,92.02716064453125
2017-08-23,91.9630126953125
2017-08-24,91.27554321289062
2017-08-25,91.73385620117188
2017-08-28,92.10047149658203
2017-08-29,92.65045166015625
2017-08-30,93.09041595458984
2017-08-31,94.47447204589844
2017-09-01,93.99784851074219
2017-09-05,93.31954193115234
2017-09-06,93.02627563476562
2017-09-07,93.59632110595703
2017-09-08,93.7525863647461
2017-09-11,94.2398910522461
2017-09-12,94.36859893798828
2017-09-13,93.87208557128906
2017-09-14,93.79855346679688
2017-09-15,93.5411148071289
2017-09-18,94.15715026855469
2017-09-19,93.99163055419922
2017-09-20,93.39402770996094
2017-09-21,93.80777740478516
2017-09-22,94.01923370361328
2017-09-25,93.31126403808594
2017-09-26,93.02627563476562
2017-09-27,93.5411148071289
2017-09-28,94.35020446777344
2017-09-29,94.50653076171875
2017-10-02,94.55247497558594
2017-10-03,95.27881622314453
2017-10-04,95.54544067382812
2017-10-05,95.4994888305664
2017-10-06,95.9959716796875
2017-10-09,96.82342529296875
2017-10-10,96.83261108398438
2017-10-11,96.42806243896484
2017-10-12,96.70391082763672
2017-10-13,96.63032531738281
2017-10-16,96.51081848144531
2017-10-17,95.94080352783203
2017-10-18,95.76612854003906
2017-10-19,96.97052764892578
2017-10-20,97.25556182861328
2017-10-23,97.82559204101562
2017-10-24,97.49459838867188
2017-10-25,98.3036880493164
2017-10-26,100.0689468383789
2017-10-27,101.54002380371094
2017-10-30,101.63195037841797
2017-10-31,101.25501251220703
2017-11-01,100.91482543945312
2017-11-02,102.02728271484375
2017-11-03,102.61573028564453
2017-11-06,102.79042053222656
2017-11-07,103.48918151855469
2017-11-08,104.68441009521484
2017-11-09,104.77637481689453
2017-11-10,104.52812194824219
2017-11-13,103.75581359863281
2017-11-14,103.98566436767578
2017-11-15,103.28690338134766
2017-11-16,103.14900207519531
2017-11-17,103.04786682128906
2017-11-20,103.37886810302734
2017-11-21,104.21552276611328
2017-11-22,105.01541900634766
2017-11-24,105.33720397949219
2017-11-27,105.69577026367188
2017-11-28,106.03595733642578
2017-11-29,105.00344848632812
2017-11-30,106.3125228881836
