,GOOGL
2018-02-23,56.20076370239258
2018-02-26,56.978450775146484
2018-02-27,55.67367935180664
2018-02-28,54.99663162231445
2018-03-01,53.37700653076172
2018-03-02,54.011207580566406
2018-03-05,54.540283203125
2018-03-06,54.84617614746094
2018-03-07,55.55062484741211
2018-03-08,56.265037536621094
2018-03-09,57.83235168457031
2018-03-12,58.0859375
2018-03-13,56.789634704589844
2018-03-14,57.23701095581055
2018-03-15,57.322696685791016
2018-03-16,56.5161247253418
2018-03-19,54.804832458496094
2018-03-20,54.59210205078125
2018-03-21,54.50242614746094
2018-03-22,52.46730422973633
2018-03-23,51.14210510253906
2018-03-26,52.51413345336914
2018-03-27,50.16514587402344
2018-03-28,50.07746505737305
2018-03-29,51.66969299316406
2018-04-02,50.4486198425293
2018-04-03,50.75002670288086
2018-04-04,51.299537658691406
2018-04-05,51.44551086425781
2018-04-06,50.31510543823242
2018-04-09,50.820274353027344
2018-04-10,51.637813568115234
2018-04-11,51.06787109375
2018-04-12,51.67716598510742
2018-04-13,51.61489486694336
2018-04-16,52.1160774230957
2018-04-17,53.773067474365234
2018-04-18,53.575286865234375
2018-04-19,54.2757453918457
2018-04-20,53.67143630981445
2018-04-23,53.4965705871582
2018-04-24,50.94731521606445
2018-04-25,50.96474838256836
2018-04-26,51.97707748413086
2018-04-27,51.38621520996094
2018-04-30,50.74504852294922
2018-05-01,51.84954071044922
2018-05-02,51.11719512939453
2018-05-03,51.1296501159668
2018-05-04,52.36018753051758
2018-05-07,52.78166198730469
2018-05-08,52.738319396972656
2018-05-09,54.25083541870117
2018-05-10,55.073848724365234
2018-05-11,54.969730377197266
2018-05-14,55.13015365600586
2018-05-15,54.04757308959961
2018-05-16,54.00871276855469
2018-05-17,53.86772537231445
2018-05-18,53.288818359375
2018-05-21,54.004730224609375
2018-05-22,53.57129669189453
2018-05-23,54.10187911987305
2018-05-24,54.07646560668945
2018-05-25,54.00821304321289
2018-05-29,53.210609436035156
2018-05-30,53.67891311645508
2018-05-31,54.80134201049805
2018-06-01,56.545021057128906
2018-06-04,57.443763732910156
2018-06-05,57.34312438964844
2018-06-06,57.14036178588867
2018-06-07,56.5161247253418
2018-06-08,56.43093490600586
2018-06-11,56.838951110839844
2018-06-12,57.2021369934082
2018-06-13,57.004852294921875
2018-06-14,57.79598617553711
2018-06-15,57.7541389465332
2018-06-18,58.965248107910156
2018-06-19,58.72163391113281
2018-06-20,58.989654541015625
2018-06-21,58.260799407958984
2018-06-22,58.253326416015625
2018-06-25,56.75824737548828
2018-06-26,56.426448822021484
2018-06-27,55.64528274536133
2018-06-28,56.13550567626953
2018-06-29,56.25556564331055
2018-07-02,56.89923858642578
2018-07-03,55.61240005493164
2018-07-05,56.85838317871094
2018-07-06,57.54539489746094
2018-07-09,58.1531867980957
2018-07-10,58.14621353149414
2018-07-11,58.3614387512207
2018-07-12,59.84605026245117
2018-07-13,60.003482818603516
2018-07-16,59.609413146972656
2018-07-17,60.43491744995117
2018-07-18,60.42645263671875
2018-07-19,59.73844528198242
2018-07-20,59.67766571044922
2018-07-23,60.331295013427734
2018-07-24,62.68028259277344
2018-07-25,63.566566467285156
2018-07-26,64.04283905029297
