,ED
2019-07-25,71.04142761230469
2019-07-26,71.24771881103516
2019-07-29,71.51179504394531
2019-07-30,70.47205352783203
2019-07-31,70.10896301269531
2019-08-01,70.90940856933594
2019-08-02,71.0744400024414
2019-08-05,70.53805541992188
2019-08-06,71.48702239990234
2019-08-07,71.84186553955078
2019-08-08,72.2297134399414
2019-08-09,72.00691986083984
2019-08-12,72.17195892333984
2019-08-13,72.1969223022461
2019-08-14,71.54777526855469
2019-08-15,72.3800277709961
2019-08-16,72.57141876220703
2019-08-19,73.35374450683594
2019-08-20,73.03746795654297
2019-08-21,73.47026824951172
2019-08-22,73.43695068359375
2019-08-23,72.33008575439453
2019-08-26,73.04582214355469
2019-08-27,73.27051544189453
2019-08-28,73.04582214355469
2019-08-29,73.36205291748047
2019-08-30,73.98624420166016
2019-09-03,75.434326171875
2019-09-04,75.60909271240234
2019-09-05,75.63406372070312
2019-09-06,75.85045623779297
2019-09-09,75.22627258300781
2019-09-10,74.3440933227539
2019-09-11,74.84346008300781
2019-09-12,75.05982971191406
2019-09-13,74.74357604980469
2019-09-16,74.84346008300781
2019-09-17,75.67566680908203
2019-09-18,76.13341522216797
2019-09-19,76.46631622314453
2019-09-20,76.89907836914062
2019-09-23,77.19036102294922
2019-09-24,78.1973876953125
2019-09-25,78.22235107421875
2019-09-26,78.7716293334961
2019-09-27,78.74664306640625
2019-09-30,78.621826171875
2019-10-01,78.31388854980469
2019-10-02,77.123779296875
2019-10-03,77.41506958007812
2019-10-04,78.34716796875
2019-10-07,78.1141357421875
2019-10-08,77.39844512939453
2019-10-09,77.69805145263672
2019-10-10,77.44003295898438
2019-10-11,76.7492904663086
2019-10-14,75.94200897216797
2019-10-15,75.51757049560547
2019-10-16,75.60079956054688
2019-10-17,75.98360443115234
2019-10-18,76.1417465209961
2019-10-21,77.13209533691406
2019-10-22,77.6314697265625
2019-10-23,77.98099517822266
2019-10-24,78.4720230102539
2019-10-25,77.66474914550781
2019-10-28,75.80884552001953
2019-10-29,76.08348083496094
2019-10-30,76.28321838378906
2019-10-31,76.7492904663086
2019-11-01,75.83381652832031
2019-11-04,74.83512115478516
2019-11-05,73.50354766845703
2019-11-06,73.75322723388672
2019-11-07,72.58805847167969
2019-11-08,73.17064666748047
2019-11-11,72.82109832763672
2019-11-12,72.53572845458984
2019-11-13,73.44219970703125
2019-11-14,73.22399139404297
2019-11-15,73.63528442382812
2019-11-18,73.41703033447266
2019-11-19,72.92183685302734
2019-11-20,73.28273010253906
2019-11-21,72.87146759033203
2019-11-22,72.3426742553711
2019-11-25,72.21678161621094
2019-11-26,72.55252075195312
2019-11-27,72.79591369628906
2019-11-29,72.93022155761719
2019-12-02,71.80551147460938
2019-12-03,72.42660522460938
2019-12-04,72.83786010742188
2019-12-05,72.7623519897461
2019-12-06,72.84627532958984
2019-12-09,72.65324401855469
2019-12-10,72.85466766357422
2019-12-11,73.51775360107422
2019-12-12,73.45899200439453
2019-12-13,73.71918487548828
2019-12-16,74.054931640625
2019-12-17,74.30672454833984
2019-12-18,74.70121002197266
2019-12-19,75.28874969482422
2019-12-20,76.06934356689453
2019-12-23,75.35591125488281
2019-12-24,75.2635726928711
2019-12-26,75.2468032836914
2019-12-27,75.49019622802734
2019-12-30,75.70002746582031
2019-12-31,75.93504333496094
2020-01-02,74.58372497558594
2020-01-03,74.39067077636719
2020-01-06,74.14726257324219
2020-01-07,73.58492279052734
2020-01-08,72.99736022949219
2020-01-09,72.92183685302734
2020-01-10,73.4338150024414
