,UDR
2019-06-13,37.9844856262207
2019-06-14,38.058250427246094
2019-06-17,38.304100036621094
2019-06-18,37.95989990234375
2019-06-19,38.11560821533203
2019-06-20,38.15659713745117
2019-06-21,37.43541717529297
2019-06-24,37.29610061645508
2019-06-25,36.96829605102539
2019-06-26,36.18156051635742
2019-06-27,36.53395462036133
2019-06-28,36.788002014160156
2019-07-01,36.96829605102539
2019-07-02,37.410831451416016
2019-07-03,37.910736083984375
2019-07-05,37.69766616821289
2019-07-08,38.082828521728516
2019-07-09,38.514625549316406
2019-07-10,38.73752975463867
2019-07-11,38.39078903198242
2019-07-12,38.1926383972168
2019-07-15,38.23392105102539
2019-07-16,38.341251373291016
2019-07-17,38.167869567871094
2019-07-18,38.250431060791016
2019-07-19,37.50738525390625
2019-07-22,37.40005111694336
2019-07-23,37.79634094238281
2019-07-24,37.68901824951172
2019-07-25,37.90366744995117
2019-07-26,38.052284240722656
2019-07-29,38.44032669067383
2019-07-30,38.47334289550781
2019-07-31,38.027523040771484
2019-08-01,38.035770416259766
2019-08-02,38.1926383972168
2019-08-05,36.98725128173828
2019-08-06,38.250431060791016
2019-08-07,38.23392105102539
2019-08-08,38.58067321777344
2019-08-09,38.8943977355957
2019-08-12,39.19987487792969
2019-08-13,38.44032669067383
2019-08-14,37.862396240234375
2019-08-15,38.44858169555664
2019-08-16,38.787071228027344
2019-08-19,39.42279052734375
2019-08-20,39.19987487792969
2019-08-21,39.373260498046875
2019-08-22,39.77780532836914
2019-08-23,39.216392517089844
2019-08-26,39.41453170776367
2019-08-27,39.307212829589844
2019-08-28,39.42279052734375
2019-08-29,39.711753845214844
2019-08-30,39.77780532836914
2019-09-03,40.0420036315918
2019-09-04,40.207122802734375
2019-09-05,39.918155670166016
2019-09-06,40.39700698852539
2019-09-09,39.98420715332031
2019-09-10,39.497100830078125
2019-09-11,39.47233581542969
2019-09-12,39.65396499633789
2019-09-13,39.298954010009766
2019-09-16,39.76955795288086
2019-09-17,40.050254821777344
2019-09-18,39.885135650634766
2019-09-19,39.819087982177734
2019-09-20,39.55489730834961
2019-09-23,39.703495025634766
2019-09-24,39.67047119140625
2019-09-25,39.67873764038086
2019-09-26,40.00071716308594
2019-09-27,39.901649475097656
2019-09-30,40.025489807128906
2019-10-01,39.87687683105469
2019-10-02,39.76955795288086
2019-10-03,40.13282775878906
2019-10-04,40.47956848144531
2019-10-07,40.471309661865234
2019-10-08,40.36397933959961
2019-10-09,40.324913024902344
2019-10-10,40.35817337036133
2019-10-11,39.91749572753906
2019-10-14,40.33322525024414
2019-10-15,40.366477966308594
2019-10-16,41.02332305908203
2019-10-17,41.08152389526367
2019-10-18,41.40578079223633
2019-10-21,41.72172927856445
2019-10-22,41.33095932006836
2019-10-23,41.16466522216797
2019-10-24,41.10646057128906
2019-10-25,41.08983612060547
2019-10-28,40.782203674316406
2019-10-29,40.890289306640625
2019-10-30,41.87138748168945
2019-10-31,41.77993392944336
2019-11-01,41.34757995605469
2019-11-04,41.222869873046875
2019-11-05,40.324913024902344
2019-11-06,40.44962692260742
2019-11-07,39.48514938354492
2019-11-08,39.38538360595703
2019-11-11,39.50178146362305
2019-11-12,39.10268020629883
2019-11-13,39.65144348144531
2019-11-14,39.95076370239258
2019-11-15,40.275028228759766
2019-11-18,40.482879638671875
2019-11-19,40.6408576965332
2019-11-20,40.557708740234375
2019-11-21,39.78447341918945
2019-11-22,39.551673889160156
2019-11-25,39.52672576904297
2019-11-26,39.87593078613281
2019-11-27,39.93413162231445
2019-11-29,39.95076370239258
2019-12-02,38.89482879638672
2019-12-03,39.17751693725586
2019-12-04,39.47684097290039
2019-12-05,39.751216888427734
2019-12-06,39.81773376464844
2019-12-09,39.78447341918945
2019-12-10,39.684696197509766
2019-12-11,38.91977310180664
2019-12-12,38.562252044677734
2019-12-13,38.46248245239258
2019-12-16,38.51237106323242
2019-12-17,38.005184173583984
2019-12-18,38.15485382080078
2019-12-19,38.395965576171875
2019-12-20,38.51237106323242
2019-12-23,38.12990188598633
2019-12-24,38.28787612915039
2019-12-26,38.412593841552734
2019-12-27,38.52899932861328
2019-12-30,38.52069091796875
