,INVH
2020-04-08,20.389545440673828
2020-04-09,21.50411605834961
2020-04-13,20.929140090942383
2020-04-14,21.40681266784668
2020-04-15,21.06182289123535
2020-04-16,20.194936752319336
2020-04-17,21.070669174194336
2020-04-20,19.673038482666016
2020-04-21,18.71769142150879
2020-04-22,19.531503677368164
2020-04-23,19.098064422607425
2020-04-24,19.266132354736328
2020-04-27,19.973791122436523
2020-04-28,20.16840171813965
2020-04-29,21.14143943786621
2020-04-30,20.9202938079834
2020-05-01,20.23032569885254
2020-05-04,20.159555435180664
2020-05-05,20.796449661254883
2020-05-06,20.389545440673828
2020-05-07,21.769487380981445
2020-05-08,22.05255699157715
2020-05-11,22.39754295349121
2020-05-12,21.46319580078125
2020-05-13,21.32971954345703
2020-05-14,21.374208450317383
2020-05-15,21.445402145385746
2020-05-18,22.61999893188477
2020-05-19,22.45983123779297
2020-05-20,21.988210678100582
2020-05-21,22.450929641723633
2020-05-22,22.64669609069824
2020-05-26,23.251800537109375
2020-05-27,23.376375198364254
2020-05-28,23.314085006713867
2020-05-29,23.4030704498291
2020-06-01,24.835729598999023
2020-06-02,24.550981521606445
2020-06-03,24.755645751953125
2020-06-04,24.67555809020996
2020-06-05,25.50312042236328
2020-06-08,25.98363494873047
2020-06-09,25.32514762878418
2020-06-10,24.5242862701416
2020-06-11,23.42086410522461
2020-06-12,24.62216567993164
2020-06-15,25.245058059692383
2020-06-16,25.68998908996582
2020-06-17,25.271753311157227
2020-06-18,25.227266311645508
2020-06-19,24.773435592651367
2020-06-22,25.04928970336914
2020-06-23,24.88022232055664
2020-06-24,24.26622772216797
2020-06-25,24.74674415588379
2020-06-26,24.23063087463379
2020-06-29,24.106054306030273
2020-06-30,24.49759292602539
2020-07-01,25.271753311157227
2020-07-02,25.120481491088867
2020-07-06,24.97810935974121
2020-07-07,24.435298919677734
2020-07-08,24.533184051513672
2020-07-09,24.355209350585938
2020-07-10,24.515384674072266
2020-07-13,24.097156524658203
2020-07-14,24.26622772216797
2020-07-15,24.550981521606445
2020-07-16,24.373003005981445
2020-07-17,24.933616638183594
2020-07-20,24.666658401489254
2020-07-21,24.61326789855957
2020-07-22,25.271753311157227
2020-07-23,24.87132453918457
2020-07-24,24.49759292602539
2020-07-27,24.924718856811523
2020-07-28,25.378538131713867
2020-07-29,26.117116928100582
2020-07-30,26.535341262817383
2020-07-31,26.535341262817383
2020-08-03,26.392967224121097
2020-08-04,26.401866912841797
2020-08-05,26.17940330505371
2020-08-06,26.099321365356445
2020-08-07,26.873489379882812
2020-08-10,26.722213745117188
2020-08-11,26.257171630859375
2020-08-12,26.695384979248047
2020-08-13,26.09619140625
2020-08-14,25.64008522033691
2020-08-17,26.471803665161133
2020-08-18,26.16773796081543
2020-08-19,25.666915893554688
2020-08-20,25.71163558959961
2020-08-21,26.01569938659668
2020-08-24,26.033592224121097
2020-08-25,25.88155746459961
2020-08-26,25.488059997558594
2020-08-27,25.774234771728516
2020-08-28,25.631147384643555
2020-08-31,25.60431671142578
2020-09-01,25.72951889038086
2020-09-02,26.248226165771484
2020-09-03,25.774234771728516
2020-09-04,25.64008522033691
2020-09-08,25.201873779296875
2020-09-09,25.97992706298828
2020-09-10,25.416507720947266
2020-09-11,25.479116439819336
2020-09-14,26.07830810546875
2020-09-15,25.854726791381836
2020-09-16,25.87261199951172
2020-09-17,25.60431671142578
2020-09-18,25.33601951599121
2020-09-21,24.665283203125
2020-09-22,24.79048728942871
2020-09-23,23.645761489868164
2020-09-24,24.110803604125977
2020-09-25,24.665283203125
2020-09-28,25.523832321166992
2020-09-29,25.04089736938477
2020-09-30,25.03194999694824
2020-10-01,25.72951889038086
2020-10-02,26.212448120117188
2020-10-05,26.4002628326416
2020-10-06,26.3018856048584
2020-10-07,26.140905380249023
2020-10-08,26.71327018737793
2020-10-09,26.498632431030273
2020-10-12,26.56123924255371
2020-10-13,25.827896118164062
2020-10-14,25.47017288208008
2020-10-15,25.443340301513672
2020-10-16,24.98723793029785
2020-10-19,24.745771408081055
2020-10-20,24.996179580688477
2020-10-21,25.13033103942871
2020-10-22,25.74740982055664
2020-10-23,25.997821807861328
2020-10-26,25.61326026916504
2020-10-27,25.085613250732425
2020-10-28,24.43276023864746
2020-10-29,24.504304885864254
2020-10-30,24.379104614257812
2020-11-02,24.736827850341797
2020-11-03,25.04089736938477
2020-11-04,25.774234771728516
