,LNT
2020-08-24,47.65056610107422
2020-08-25,47.30180358886719
2020-08-26,47.11869430541992
2020-08-27,47.08382034301758
2020-08-28,47.362831115722656
2020-08-31,47.21460723876953
2020-09-01,46.630428314208984
2020-09-02,47.65928649902344
2020-09-03,47.05765151977539
2020-09-04,46.46475601196289
2020-09-08,45.90673828125
2020-09-09,46.891998291015625
2020-09-10,45.409732818603516
2020-09-11,45.2179069519043
2020-09-14,45.627716064453125
2020-09-15,46.00263977050781
2020-09-16,46.26422119140625
2020-09-17,45.49692153930664
2020-09-18,44.450618743896484
2020-09-21,43.44791030883789
2020-09-22,43.60484313964844
2020-09-23,43.44791030883789
2020-09-24,43.53510284423828
2020-09-25,44.77322769165039
2020-09-28,44.895294189453125
2020-09-29,44.537811279296875
2020-09-30,45.03479766845703
2020-10-01,45.627716064453125
2020-10-02,46.290374755859375
2020-10-05,46.4821891784668
2020-10-06,47.423866271972656
2020-10-07,47.1535758972168
2020-10-08,48.11268997192383
2020-10-09,47.729042053222656
2020-10-12,47.71160125732422
2020-10-13,47.1535758972168
2020-10-14,47.127410888671875
2020-10-15,47.56338119506836
2020-10-16,47.85982894897461
2020-10-19,47.71160125732422
2020-10-20,48.07780838012695
2020-10-21,48.51376724243164
2020-10-22,49.2287483215332
2020-10-23,49.41184616088867
2020-10-26,49.551361083984375
2020-10-27,49.8390998840332
2020-10-28,48.40914535522461
2020-10-29,48.786651611328125
2020-10-30,48.53205490112305
2020-11-02,49.76993942260742
2020-11-03,49.550453186035156
2020-11-04,48.5847282409668
2020-11-05,48.180877685546875
2020-11-06,47.90873336791992
2020-11-09,49.717254638671875
2020-11-10,50.00697326660156
2020-11-11,50.41081619262695
2020-11-12,49.27830505371094
2020-11-13,49.339759826660156
2020-11-16,49.550453186035156
2020-11-17,48.049190521240234
2020-11-18,46.58305358886719
2020-11-19,46.0650749206543
2020-11-20,46.41623306274414
2020-11-23,46.31088638305664
2020-11-24,46.855201721191406
2020-11-25,46.97811508178711
2020-11-27,46.31967544555664
2020-11-30,46.179195404052734
2020-12-01,46.855201721191406
