,LRCX
2022-05-09,38.4561653137207
2022-05-10,39.485626220703125
2022-05-11,38.46047592163086
2022-05-12,39.598289489746094
2022-05-13,42.3065185546875
2022-05-16,41.4937858581543
2022-05-17,44.05667495727539
2022-05-18,41.064632415771484
2022-05-19,40.60452651977539
2022-05-20,40.775665283203125
2022-05-23,41.5651741027832
2022-05-24,40.5047607421875
2022-05-25,41.93326187133789
2022-05-26,43.79351043701172
2022-05-27,45.66922378540039
2022-05-31,44.724056243896484
2022-06-01,43.49937438964844
2022-06-02,45.00528335571289
2022-06-03,44.203739166259766
2022-06-06,44.39982223510742
2022-06-07,45.017330169677734
2022-06-08,44.04463195800781
2022-06-09,42.4380989074707
2022-06-10,40.80060958862305
2022-06-13,38.45014953613281
2022-06-14,40.024356842041016
2022-06-15,40.36874008178711
2022-06-16,37.22389221191406
2022-06-17,37.327110290527344
2022-06-21,38.53558349609375
2022-06-22,37.87617111206055
2022-06-23,37.738243103027344
2022-06-24,40.061729431152344
2022-06-27,40.02613830566406
2022-06-28,39.000099182128906
2022-06-29,38.00253677368164
2022-06-30,37.922447204589844
2022-07-01,35.13532638549805
2022-07-05,34.5960578918457
2022-07-06,34.85590362548828
2022-07-07,36.9195442199707
2022-07-08,36.94090270996094
2022-07-11,35.80986022949219
2022-07-12,36.117767333984375
2022-07-13,36.66415023803711
2022-07-14,37.31465148925781
2022-07-15,38.0096549987793
2022-07-18,37.6563720703125
2022-07-19,39.772518157958984
2022-07-20,41.3885498046875
2022-07-21,42.370094299316406
2022-07-22,41.28976821899414
2022-07-25,40.707786560058594
2022-07-26,39.79832458496094
2022-07-27,41.616355895996094
2022-07-28,43.154075622558594
2022-07-29,44.53963088989258
2022-08-01,44.743404388427734
2022-08-02,44.73006820678711
2022-08-03,46.69137954711914
2022-08-04,47.32853317260742
2022-08-05,46.27135467529297
2022-08-08,45.343196868896484
2022-08-09,41.77119827270508
2022-08-10,44.04485321044922
2022-08-11,44.26821517944336
2022-08-12,46.14854431152344
2022-08-15,46.03285598754883
2022-08-16,45.41617202758789
2022-08-17,44.27711868286133
2022-08-18,44.77456283569336
2022-08-19,42.42882537841797
2022-08-22,40.718467712402344
2022-08-23,41.28799057006836
2022-08-24,41.20255661010742
2022-08-25,42.553409576416016
2022-08-26,40.339378356933594
2022-08-29,39.558937072753906
2022-08-30,39.393428802490234
2022-08-31,38.96894454956055
2022-09-01,38.44658660888672
2022-09-02,38.28373336791992
2022-09-06,37.97672653198242
2022-09-07,38.443031311035156
2022-09-08,39.08018493652344
2022-09-09,40.11423110961914
2022-09-12,39.8045539855957
2022-09-13,37.562747955322266
2022-09-14,37.677085876464844
2022-09-15,36.933841705322266
2022-09-16,36.556854248046875
2022-09-19,36.556854248046875
2022-09-20,36.036930084228516
2022-09-21,35.61260223388672
2022-09-22,34.55668640136719
2022-09-23,33.99656295776367
2022-09-26,33.18185043334961
2022-09-27,33.6517448425293
2022-09-28,34.09394454956055
2022-09-29,33.10234451293945
2022-09-30,32.69588088989258
2022-10-03,34.81128692626953
2022-10-04,35.78948211669922
2022-10-05,35.725162506103516
2022-10-06,35.518798828125
2022-10-07,33.48557662963867
2022-10-10,31.330873489379883
2022-10-11,29.21636199951172
2022-10-12,28.942108154296875
2022-10-13,30.427717208862305
2022-10-14,28.13543128967285
2022-10-17,28.177417755126953
2022-10-18,28.77058982849121
2022-10-19,29.487035751342773
2022-10-20,31.790943145751953
2022-10-21,32.989784240722656
2022-10-24,33.4069709777832
2022-10-25,33.93403244018555
2022-10-26,34.44681167602539
2022-10-27,34.760372161865234
2022-10-28,36.23257064819336
2022-10-31,36.160213470458984
2022-11-01,36.86862564086914
2022-11-02,35.33299255371094
2022-11-03,35.145389556884766
2022-11-04,37.478763580322266
2022-11-07,38.85718536376953
2022-11-08,39.74067687988281
2022-11-09,38.657958984375
2022-11-10,43.36314010620117
2022-11-11,44.73976135253906
2022-11-14,42.94237518310547
2022-11-15,43.83928298950195
2022-11-16,40.68046569824219
2022-11-17,41.19681167602539
2022-11-18,40.79838562011719
2022-11-21,40.21324920654297
2022-11-22,40.701908111572266
2022-11-23,41.21824264526367
2022-11-25,40.49018478393555
2022-11-28,39.59507369995117
2022-11-29,39.489654541015625
2022-11-30,42.19912338256836
2022-12-01,41.373680114746094
2022-12-02,40.88503646850586
2022-12-05,40.4321174621582
2022-12-06,39.58256149291992
2022-12-07,39.68886184692383
2022-12-08,40.64651870727539
2022-12-09,40.21772003173828
2022-12-12,41.47731018066406
2022-12-13,44.157737731933594
2022-12-14,43.443328857421875
2022-12-15,41.385459899902344
2022-12-16,41.18690872192383
2022-12-19,40.70167541503906
2022-12-20,40.57827377319336
2022-12-21,41.55339050292969
2022-12-22,37.95724105834961
2022-12-23,38.236507415771484
2022-12-27,37.61859893798828
2022-12-28,37.371795654296875
2022-12-29,39.02421569824219
2022-12-30,38.99544906616211
2023-01-03,38.43876647949219
2023-01-04,39.19585037231445
2023-01-05,38.69484329223633
2023-01-06,41.312164306640625
2023-01-09,41.97647476196289
2023-01-10,42.54985046386719
2023-01-11,43.07776641845703
2023-01-12,43.610328674316406
2023-01-13,43.94711685180664
2023-01-17,43.69846725463867
2023-01-18,43.31806564331055
2023-01-19,42.11193084716797
