,SWKS
2022-04-11,112.57498168945312
2022-04-12,112.01647186279297
2022-04-13,113.90607452392578
2022-04-14,109.5870132446289
2022-04-18,111.01116943359375
2022-04-19,113.56166076660156
2022-04-20,112.45396423339844
2022-04-21,109.95933532714844
2022-04-22,107.13890838623047
2022-04-25,109.72663879394531
2022-04-26,104.6163558959961
2022-04-27,104.30917358398438
2022-04-28,109.51253509521484
2022-04-29,105.46340942382812
2022-05-02,110.31306457519531
2022-05-03,111.20664978027344
2022-05-04,105.67749786376953
2022-05-05,100.00874328613281
2022-05-06,98.39838409423828
2022-05-09,95.10323333740234
2022-05-10,95.65243530273438
2022-05-11,92.45037078857422
2022-05-12,93.03678894042969
2022-05-13,96.32262420654297
2022-05-16,94.93568420410156
2022-05-17,99.45952606201172
2022-05-18,94.74951934814453
2022-05-19,94.24687194824219
2022-05-20,95.8758316040039
2022-05-23,95.71671295166016
2022-05-24,93.47986602783203
2022-05-25,95.1832504272461
2022-05-26,97.84127044677734
2022-05-27,101.74406433105469
2022-05-31,101.893798828125
2022-06-01,100.39632415771484
2022-06-02,103.73758697509766
2022-06-03,99.87222290039062
2022-06-06,99.9938735961914
2022-06-07,101.67854309082031
2022-06-08,99.8254165649414
2022-06-09,96.8398208618164
2022-06-10,93.82615661621094
2022-06-13,87.1998291015625
2022-06-14,86.81610870361328
2022-06-15,88.55692291259766
2022-06-16,83.99897766113281
2022-06-17,84.38270568847656
2022-06-21,87.22789764404297
2022-06-22,86.42301940917969
2022-06-23,88.22933959960938
2022-06-24,91.74842834472656
2022-06-27,91.80455780029297
2022-06-28,90.05439758300781
2022-06-29,87.85498809814453
2022-06-30,86.70380401611328
