,WBA
2018-11-09,60.72773361206055
2018-11-12,60.30023956298828
2018-11-13,60.381309509277344
2018-11-14,60.086463928222656
2018-11-15,60.654022216796875
2018-11-16,60.82353591918945
2018-11-19,60.381309509277344
2018-11-20,58.811336517333984
2018-11-21,58.78921127319336
2018-11-23,59.56313705444336
2018-11-26,60.21914291381836
2018-11-27,61.56061553955078
2018-11-28,62.38612365722656
2018-11-29,62.54092788696289
2018-11-30,62.408267974853516
2018-12-03,63.16007614135742
2018-12-04,61.0446662902832
2018-12-06,61.133121490478516
2018-12-07,59.843238830566406
2018-12-10,59.82112503051758
2018-12-11,60.30023956298828
2018-12-12,60.764583587646484
2018-12-13,60.67613220214844
2018-12-14,58.037410736083984
2018-12-17,56.179969787597656
2018-12-18,55.63452911376953
2018-12-19,54.02033996582031
2018-12-20,51.307884216308594
2018-12-21,49.57575607299805
2018-12-24,48.10160827636719
2018-12-26,49.91481399536133
2018-12-27,50.38655090332031
2018-12-28,50.15805435180664
2018-12-31,50.36442947387695
2019-01-02,50.150691986083984
2019-01-03,49.62736129760742
2019-01-04,51.27841567993164
2019-01-07,51.57323455810547
2019-01-08,52.60514450073242
2019-01-09,53.23902893066406
2019-01-10,53.42330551147461
2019-01-11,52.85574722290039
2019-01-14,52.074459075927734
2019-01-15,52.914710998535156
2019-01-16,53.06951141357422
2019-01-17,53.06212615966797
2019-01-18,53.386444091796875
2019-01-22,52.767295837402344
2019-01-23,52.85574722290039
2019-01-24,52.568302154541016
2019-01-25,52.98842239379883
2019-01-28,52.75993347167969
2019-01-29,52.70096206665039
2019-01-30,52.782039642333984
2019-01-31,53.261146545410156
2019-02-01,52.98105239868164
2019-02-04,52.67149353027344
2019-02-05,52.5609130859375
2019-02-06,52.67885971069336
2019-02-07,52.47983932495117
2019-02-08,51.68381118774414
2019-02-11,51.9417724609375
2019-02-12,52.74518585205078
2019-02-13,53.386444091796875
2019-02-14,53.475440979003906
2019-02-15,54.45431900024414
2019-02-19,55.19590759277344
2019-02-20,53.24555206298828
2019-02-21,52.259239196777344
2019-02-22,52.22956848144531
2019-02-25,52.882164001464844
2019-02-26,53.00824737548828
2019-02-27,52.926658630371094
2019-02-28,52.793182373046875
2019-03-01,49.39674758911133
2019-03-04,48.009979248046875
2019-03-05,47.016265869140625
2019-03-06,45.31062698364258
2019-03-07,44.33916091918945
2019-03-08,44.42073059082031
2019-03-11,44.9991569519043
2019-03-12,45.23646926879883
2019-03-13,45.903892517089844
2019-03-14,45.84455871582031
2019-03-15,46.445247650146484
2019-03-18,46.77895736694336
2019-03-19,47.290653228759766
2019-03-20,46.563899993896484
2019-03-21,47.164581298828125
2019-03-22,46.2820930480957
2019-03-25,45.74815368652344
2019-03-26,45.91871643066406
2019-03-27,46.14860534667969
2019-03-28,46.35626220703125
2019-03-29,46.919857025146484
2019-04-01,47.083011627197266
2019-04-02,41.05394744873047
2019-04-03,40.668331146240234
2019-04-04,40.1566276550293
2019-04-05,40.55707931518555
2019-04-08,40.83147048950195
2019-04-09,40.41618347167969
2019-04-10,40.4235954284668
2019-04-11,39.63011169433594
2019-04-12,39.637535095214844
2019-04-15,40.22338104248047
2019-04-16,40.668331146240234
2019-04-17,40.89080047607422
2019-04-18,40.512596130371094
2019-04-22,40.11955642700195
2019-04-23,39.466957092285156
2019-04-24,39.6523551940918
2019-04-25,39.06650924682617
2019-04-26,39.19258499145508
2019-04-29,39.71910095214844
2019-04-30,39.72651290893555
2019-05-01,39.80808639526367
2019-05-02,39.88966369628906
2019-05-03,40.10472869873047
2019-05-06,39.9860725402832
2019-05-07,39.259315490722656
2019-05-08,39.67461013793945
2019-05-09,39.71910095214844
2019-05-10,39.61527633666992
2019-05-13,38.65121841430664
2019-05-14,38.99235916137695
2019-05-15,39.11101150512695
2019-05-16,38.933021545410156
2019-05-17,39.09008026123047
2019-05-20,39.08259201049805
2019-05-21,39.456520080566406
2019-05-22,39.59112548828125
2019-05-23,38.59648895263672
2019-05-24,38.716148376464844
2019-05-28,38.67875671386719
2019-05-29,38.23752975463867
2019-05-30,37.80377197265625
2019-05-31,36.89887619018555
2019-06-03,37.32515335083008
2019-06-04,38.514225006103516
2019-06-05,37.9907341003418
2019-06-06,38.12534713745117
2019-06-07,38.86572265625
2019-06-10,39.105037689208984
2019-06-11,39.5462646484375
2019-06-12,38.97789001464844
2019-06-13,39.55373764038086
2019-06-14,39.31443786621094
2019-06-17,39.49391555786133
2019-06-18,39.48643493652344
