,GOOG
2019-12-12,67.27178955078125
2019-12-13,67.15023040771484
2019-12-16,67.81483459472656
2019-12-17,67.51341247558594
2019-12-18,67.38886260986328
2019-12-19,67.55925750732422
2019-12-20,67.2379150390625
2019-12-23,67.2005386352539
2019-12-24,66.93749237060547
2019-12-26,67.77647399902344
2019-12-27,67.35249328613281
2019-12-30,66.56781005859375
2019-12-31,66.61165618896484
2020-01-02,68.12372589111328
2020-01-03,67.78942108154297
2020-01-06,69.46092224121094
2020-01-07,69.4175796508789
2020-01-08,69.96461486816406
2020-01-09,70.7373275756836
2020-01-10,71.2305679321289
2020-01-13,71.70386505126953
2020-01-14,71.28785705566406
2020-01-15,71.70236206054688
2020-01-16,72.32512664794922
2020-01-17,73.7544937133789
2020-01-21,73.95427703857422
2020-01-22,74.03150177001953
2020-01-23,74.06636810302734
2020-01-24,73.07294464111328
2020-01-27,71.43831634521484
2020-01-28,72.36798095703125
2020-01-29,72.6703872680664
2020-01-30,72.53138732910156
2020-01-31,71.45475769042969
2020-02-03,74.03099822998047
2020-02-04,72.0944595336914
2020-02-05,72.15225219726562
2020-02-06,73.5472412109375
2020-02-07,73.69670104980469
2020-02-10,75.16393280029297
2020-02-11,75.1694107055664
2020-02-12,75.64170837402344
2020-02-13,75.46186065673828
2020-02-14,75.76477813720703
2020-02-18,75.71146392822266
2020-02-19,76.06121063232422
2020-02-20,75.63573455810547
2020-02-21,73.9896469116211
2020-02-24,70.82501220703125
2020-02-25,69.1739501953125
2020-02-26,69.40960693359375
2020-02-27,65.66854858398438
2020-02-28,66.72674560546875
2020-03-02,69.20683288574219
2020-03-03,66.82937622070312
2020-03-04,69.07779693603516
2020-03-05,65.71588134765625
2020-03-06,64.68807220458984
2020-03-09,60.56039810180664
2020-03-10,63.7902946472168
2020-03-11,60.55292892456055
2020-03-12,55.545921325683594
2020-03-13,60.76815414428711
2020-03-16,54.02239227294922
2020-03-17,55.78954315185547
2020-03-18,54.64365768432617
2020-03-19,55.564849853515625
2020-03-20,53.42404556274414
2020-03-23,52.64185333251953
2020-03-24,56.51991653442383
2020-03-25,54.92714309692383
2020-03-26,57.87953567504883
2020-03-27,55.336669921875
2020-03-30,57.135704040527344
2020-03-31,57.932342529296875
2020-04-01,55.08307647705078
2020-04-02,55.84135437011719
2020-04-03,54.69746780395508
2020-04-06,59.13352966308594
2020-04-07,59.113101959228516
2020-04-08,60.29734802246094
2020-04-09,60.35563278198242
2020-04-13,60.66004180908203
2020-04-14,63.23428726196289
2020-04-15,62.89750289916992
2020-04-16,62.947322845458984
2020-04-17,63.93278503417969
