,STLD
2019-08-06,25.965314865112305
2019-08-07,25.813627243041992
2019-08-08,26.152685165405273
2019-08-09,25.15334129333496
2019-08-12,24.430593490600586
2019-08-13,24.876726150512695
2019-08-14,23.788148880004883
2019-08-15,23.663236618041992
2019-08-16,24.359209060668945
2019-08-19,25.224720001220703
2019-08-20,24.885650634765625
2019-08-21,24.81427001953125
2019-08-22,24.50197410583496
2019-08-23,23.681074142456055
2019-08-26,23.752464294433594
2019-08-27,23.110013961791992
2019-08-28,23.690004348754883
2019-08-29,24.02906608581543
2019-08-30,24.091524124145508
2019-09-03,23.788148880004883
2019-09-04,24.153989791870117
2019-09-05,25.02842140197754
2019-09-06,24.43951416015625
2019-09-09,25.849313735961914
2019-09-10,27.46434211730957
2019-09-11,28.392311096191406
2019-09-12,28.472614288330078
2019-09-13,28.213851928710938
2019-09-16,28.36553955078125
2019-09-17,27.624950408935547
2019-09-18,27.232345581054688
2019-09-19,27.366188049316406
2019-09-20,27.080659866333008
2019-09-23,27.196653366088867
2019-09-24,26.3579158782959
2019-09-25,27.05389404296875
2019-09-26,25.9742374420166
2019-09-27,26.433076858520508
2019-09-30,26.81094741821289
2019-10-01,26.109193801879883
2019-10-02,25.245479583740234
2019-10-03,25.425418853759766
2019-10-04,25.794296264648438
2019-10-07,25.461402893066406
2019-10-08,24.84961700439453
2019-10-09,25.317453384399414
2019-10-10,26.253137588500977
2019-10-11,27.33277130126953
2019-10-14,26.666994094848633
2019-10-15,27.062868118286133
2019-10-16,25.94724464416504
2019-10-17,25.83028221130371
2019-10-18,25.83028221130371
2019-10-21,25.749311447143555
2019-10-22,26.963897705078125
2019-10-23,26.81094741821289
2019-10-24,27.251800537109375
2019-10-25,27.575693130493164
2019-10-28,27.845605850219727
2019-10-29,27.764633178710938
2019-10-30,27.683652877807617
2019-10-31,27.31478500366211
2019-11-01,28.430404663085938
2019-11-04,28.421403884887695
2019-11-05,28.277456283569336
2019-11-06,27.74663734436035
2019-11-07,28.44839859008789
2019-11-08,28.44839859008789
2019-11-11,28.988216400146484
2019-11-12,29.01520538330078
2019-11-13,28.205482482910156
2019-11-14,28.18748664855957
2019-11-15,28.628337860107422
2019-11-18,28.69131851196289
2019-11-19,28.304447174072266
2019-11-20,28.340435028076172
2019-11-21,28.601346969604492
2019-11-22,29.33009910583496
2019-11-25,30.004873275756836
2019-11-26,30.310771942138672
2019-11-27,30.56268310546875
2019-11-29,30.346752166748047
2019-12-02,30.724632263183594
2019-12-03,30.37374496459961
2019-12-04,30.62566375732422
2019-12-05,30.976539611816406
2019-12-06,31.579336166381836
2019-12-09,31.552349090576172
2019-12-10,31.38140869140625
2019-12-11,31.255455017089844
2019-12-12,31.552349090576172
2019-12-13,31.20146942138672
2019-12-16,30.56268310546875
2019-12-17,31.390409469604492
2019-12-18,31.345417022705078
2019-12-19,31.12049674987793
2019-12-20,31.426395416259766
2019-12-23,30.949552536010742
2019-12-24,31.156482696533203
2019-12-26,31.21046257019043
2019-12-27,31.066516876220703
2019-12-30,30.858129501342773
2019-12-31,30.840017318725586
2020-01-02,30.622570037841797
2020-01-03,30.0789852142334
2020-01-06,29.988378524780273
2020-01-07,30.64975929260254
2020-01-08,30.676939010620117
2020-01-09,30.387022018432617
