,DHR
2017-11-15,79.40620422363281
2017-11-16,80.4028549194336
2017-11-17,80.16230010986328
2017-11-20,80.48876953125
2017-11-21,80.9183578491211
2017-11-22,80.55751037597656
2017-11-24,80.7809066772461
2017-11-27,80.80667114257812
2017-11-28,81.03865814208984
2017-11-29,80.71216583251953
2017-11-30,81.0730209350586
2017-12-01,80.60906219482422
2017-12-04,79.74986267089844
2017-12-05,79.68115234375
2017-12-06,79.50072479248047
2017-12-07,79.62959289550781
2017-12-08,80.05919647216797
2017-12-11,80.08494567871094
2017-12-12,80.52313995361328
2017-12-13,80.89259338378906
2017-12-14,79.77565002441406
2017-12-15,80.76371765136719
2017-12-18,81.0730209350586
2017-12-19,81.0902099609375
2017-12-20,81.29641723632812
2017-12-21,80.60906219482422
2017-12-22,80.29975891113281
2017-12-26,80.1794662475586
2017-12-27,80.38565826416016
2017-12-28,80.5061264038086
2017-12-29,79.86937713623047
2018-01-02,79.54241943359375
2018-01-03,80.60079193115234
2018-01-04,80.98799896240234
2018-01-05,81.49567413330078
2018-01-08,81.96035766601562
2018-01-09,84.8515396118164
2018-01-10,84.5331802368164
2018-01-11,84.83434295654297
2018-01-12,85.522705078125
2018-01-16,85.59154510498047
2018-01-17,85.69480895996094
2018-01-18,85.82386779785156
2018-01-19,86.52946472167969
2018-01-22,86.02178192138672
2018-01-23,86.00456237792969
2018-01-24,87.23506927490234
2018-01-25,88.37089538574219
2018-01-26,89.31742095947266
2018-01-29,89.22277069091797
2018-01-30,87.42437744140625
2018-01-31,87.14900207519531
2018-02-01,87.64811706542969
2018-02-02,87.92344665527344
2018-02-05,83.2080307006836
2018-02-06,83.50918579101562
2018-02-07,81.96035766601562
2018-02-08,79.3014907836914
2018-02-09,81.28057861328125
2018-02-12,82.09803771972656
2018-02-13,81.72801971435547
2018-02-14,82.69176483154297
2018-02-15,83.8705825805664
2018-02-16,83.93083190917969
2018-02-20,83.33710479736328
2018-02-21,83.767333984375
2018-02-22,83.77596282958984
2018-02-23,85.47109985351562
2018-02-26,86.76181030273438
2018-02-27,85.6776123046875
2018-02-28,84.13733673095703
2018-03-01,82.59710693359375
2018-03-02,82.79497528076172
2018-03-05,83.96526336669922
2018-03-06,84.11154174804688
2018-03-07,86.75320434570312
2018-03-08,87.4329833984375
2018-03-09,89.26580047607422
2018-03-12,88.97322845458984
2018-03-13,88.45694732666016
2018-03-14,87.92344665527344
2018-03-15,87.9578628540039
2018-03-16,87.70831298828125
2018-03-19,86.3143310546875
2018-03-20,86.52946472167969
2018-03-21,85.88411712646484
2018-03-22,83.8878173828125
2018-03-23,82.55406951904297
2018-03-26,84.46434783935547
2018-03-27,83.68128967285156
2018-03-28,83.1900405883789
2018-03-29,84.38804626464844
2018-04-02,82.82803344726562
2018-04-03,84.66384887695312
2018-04-04,85.37923431396484
2018-04-05,85.51713562011719
2018-04-06,83.31068420410156
2018-04-09,84.12090301513672
2018-04-10,85.77571105957031
2018-04-11,84.8276138305664
2018-04-12,85.32752227783203
2018-04-13,85.53435516357422
2018-04-16,86.55140686035156
2018-04-17,87.64601135253906
2018-04-18,88.25794219970703
2018-04-19,87.48226928710938
2018-04-20,87.3443603515625
2018-04-23,87.22367095947266
2018-04-24,86.2756118774414
2018-04-25,86.61172485351562
2018-04-26,87.72358703613281
2018-04-27,87.60289764404297
2018-04-30,86.46522521972656
2018-05-01,86.95649719238281
2018-05-02,85.8101806640625
2018-05-03,85.32752227783203
2018-05-04,86.36177825927734
2018-05-07,85.8274154663086
2018-05-08,85.48267364501953
2018-05-09,85.79296112060547
2018-05-10,87.19782257080078
2018-05-11,87.74943542480469
2018-05-14,88.49066925048828
2018-05-15,86.3962631225586
2018-05-16,86.79273223876953
2018-05-17,86.86167907714844
2018-05-18,87.26677703857422
2018-05-21,88.12005615234375
2018-05-22,87.4046859741211
2018-05-23,88.18900299072266
2018-05-24,88.16315460205078
2018-05-25,88.0252456665039
2018-05-29,86.66343688964844
2018-05-30,87.26677703857422
2018-05-31,85.5688247680664
2018-06-01,86.69791412353516
2018-06-04,87.80116271972656
2018-06-05,87.99077606201172
2018-06-06,88.60272216796875
2018-06-07,88.3441390991211
2018-06-08,88.77510070800781
2018-06-11,88.98197174072266
2018-06-12,88.91300964355469
2018-06-13,88.44757843017578
2018-06-14,88.46483612060547
2018-06-15,88.18038177490234
2018-06-18,87.28402709960938
2018-06-19,86.21525573730469
2018-06-20,85.44817352294922
2018-06-21,84.38804626464844
2018-06-22,85.58609008789062
2018-06-25,85.20684051513672
2018-06-26,85.4309310913086
2018-06-27,84.59490203857422
2018-06-28,85.13878631591797
2018-06-29,85.19058990478516
2018-07-02,84.71578216552734
2018-07-03,85.0093002319336
2018-07-05,85.34597778320312
2018-07-06,85.75173950195312
2018-07-09,85.89849090576172
2018-07-10,86.4682846069336
2018-07-11,85.09563446044922
2018-07-12,86.0020980834961
2018-07-13,85.6395263671875
2018-07-16,84.75030517578125
2018-07-17,85.96753692626953
2018-07-18,85.27692413330078
2018-07-19,89.09272003173828
2018-07-20,87.44378662109375
2018-07-23,89.04092407226562
2018-07-24,89.39485931396484
