,ETN
2018-12-06,64.43753051757812
2018-12-07,62.6439208984375
2018-12-10,62.71426773071289
2018-12-11,62.353782653808594
2018-12-12,62.52083969116211
2018-12-13,62.2482795715332
2018-12-14,62.054866790771484
2018-12-17,60.8239631652832
2018-12-18,60.5601692199707
2018-12-19,59.7952766418457
2018-12-20,59.003990173339844
2018-12-21,58.353363037109375
2018-12-24,57.02574920654297
2018-12-26,59.60184097290039
2018-12-27,60.42831039428711
2018-12-28,59.997501373291016
2018-12-31,60.36676788330078
2019-01-02,60.32282257080078
2019-01-03,58.58196258544922
2019-01-04,60.25246047973633
2019-01-07,60.42831039428711
2019-01-08,59.94474792480469
2019-01-09,60.71844482421875
2019-01-10,61.71196365356445
2019-01-11,61.73835372924805
2019-01-14,61.87902069091797
2019-01-15,61.43939971923828
2019-01-16,61.632816314697266
2019-01-17,62.39775085449219
2019-01-18,63.18904113769531
2019-01-22,61.931758880615234
2019-01-23,61.676795959472656
2019-01-24,61.685585021972656
2019-01-25,62.48568344116211
2019-01-28,60.762413024902344
2019-01-29,62.52083969116211
2019-01-30,64.07705688476562
2019-01-31,67.03998565673828
2019-02-01,67.24222564697266
2019-02-04,67.78731536865234
2019-02-05,67.831298828125
2019-02-06,67.64665222167969
2019-02-07,67.13671875
2019-02-08,66.67074584960938
2019-02-11,66.4948959350586
2019-02-12,67.40924835205078
2019-02-13,68.2884750366211
2019-02-14,67.87523651123047
2019-02-15,69.22044372558594
2019-02-19,69.2820053100586
2019-02-20,70.09086608886719
2019-02-21,70.06449890136719
2019-02-22,71.0316162109375
2019-02-25,71.14591979980469
2019-02-26,70.7678451538086
2019-02-27,70.89973449707031
2019-02-28,70.13482666015625
2019-03-01,70.53927612304688
2019-03-04,71.48002624511719
2019-03-05,71.04041290283203
2019-03-06,71.17230224609375
2019-03-07,70.89733123779297
2019-03-08,70.40946197509766
2019-03-11,71.2343978881836
2019-03-12,71.27872467041016
2019-03-13,71.48275756835938
2019-03-14,71.8375244140625
2019-03-15,71.473876953125
2019-03-18,72.82209014892578
2019-03-19,72.92853546142578
2019-03-20,72.0504150390625
2019-03-21,72.74225616455078
2019-03-22,70.09015655517578
2019-03-25,70.03694915771484
2019-03-26,70.53364562988281
2019-03-27,70.40060424804688
2019-03-28,70.83524322509766
2019-03-29,71.45610809326172
2019-04-01,72.94629669189453
2019-04-02,73.30107116699219
2019-04-03,73.50508880615234
