,NI
2017-08-22,21.16106414794922
2017-08-23,21.231761932373047
2017-08-24,21.16106414794922
2017-08-25,21.294597625732422
2017-08-28,21.278888702392578
2017-08-29,21.19248390197754
2017-08-30,21.137502670288086
2017-08-31,21.1060848236084
2017-09-01,21.09822654724121
2017-09-05,21.1060848236084
2017-09-06,21.043241500854492
2017-09-07,21.200342178344727
2017-09-08,21.294597625732422
2017-09-11,21.388856887817383
2017-09-12,21.043241500854492
2017-09-13,20.95684051513672
2017-09-14,21.14535903930664
2017-09-15,21.200342178344727
2017-09-18,20.84687614440918
2017-09-19,20.736900329589844
2017-09-20,20.571949005126953
2017-09-21,20.516965866088867
2017-09-22,20.179208755493164
2017-09-25,20.352012634277344
2017-09-26,20.477689743041992
2017-09-27,19.96712303161621
2017-09-28,20.02996063232422
2017-09-29,20.10065460205078
2017-10-02,20.037817001342773
2017-10-03,19.927846908569336
2017-10-04,20.19491195678711
2017-10-05,20.202768325805664
2017-10-06,20.202768325805664
2017-10-09,20.352012634277344
2017-10-10,20.697628021240234
2017-10-11,20.75261116027832
2017-10-12,20.870433807373047
2017-10-13,20.894001007080078
2017-10-16,20.713342666625977
2017-10-17,20.776182174682617
2017-10-18,20.76046371459961
2017-10-19,21.01967430114746
2017-10-20,20.94113540649414
2017-10-23,21.06680679321289
2017-10-24,20.948984146118164
2017-10-25,20.84687614440918
2017-10-26,20.791887283325195
2017-10-27,20.76831817626953
2017-10-30,20.7564640045166
2017-10-31,20.851350784301758
2017-11-01,21.01739501953125
2017-11-02,21.302061080932617
2017-11-03,21.610441207885742
2017-11-06,21.51555824279785
2017-11-07,21.721139907836914
2017-11-08,21.760677337646484
2017-11-09,21.760677337646484
2017-11-10,21.507652282714844
2017-11-13,21.6025333404541
2017-11-14,21.808124542236328
2017-11-15,21.539276123046875
2017-11-16,21.6025333404541
2017-11-17,21.41276741027832
2017-11-20,21.420665740966797
2017-11-21,21.523460388183594
2017-11-22,21.381134033203125
2017-11-24,21.381134033203125
2017-11-27,21.428573608398438
2017-11-28,21.507652282714844
2017-11-29,21.483930587768555
2017-11-30,21.76858901977539
2017-12-01,21.610441207885742
2017-12-04,21.37322235107422
2017-12-05,21.191356658935547
2017-12-06,21.349502563476562
2017-12-07,21.37322235107422
2017-12-08,21.4601993560791
2017-12-11,21.4918270111084
2017-12-12,20.867158889770508
2017-12-13,20.898788452148438
2017-12-14,20.93832778930664
2017-12-15,20.962047576904297
2017-12-18,20.542964935302734
2017-12-19,20.00527572631836
2017-12-20,19.736427307128906
2017-12-21,19.499210357666016
2017-12-22,19.98946189880371
2017-12-26,19.81550407409668
2017-12-27,19.95783233642578
2017-12-28,20.210857391357422
2017-12-29,20.2978458404541
2018-01-02,20.052717208862305
2018-01-03,19.926204681396484
2018-01-04,19.839223861694336
2018-01-05,19.602006912231445
2018-01-08,19.768056869506836
2018-01-09,19.530841827392578
2018-01-10,19.080127716064453
2018-01-11,19.080127716064453
2018-01-12,19.032686233520508
