,DHI
2017-05-26,30.590896606445312
2017-05-30,30.42458724975586
2017-05-31,30.202844619750977
2017-06-01,30.581649780273438
2017-06-02,31.219158172607422
2017-06-05,30.7571964263916
2017-06-06,30.683284759521484
2017-06-07,31.136001586914062
2017-06-08,30.98817253112793
2017-06-09,31.06208610534668
2017-06-12,30.84958839416504
2017-06-13,31.394697189331055
2017-06-14,31.755023956298828
2017-06-15,31.246870040893555
2017-06-16,31.089811325073242
2017-06-19,31.274585723876953
2017-06-20,31.57025146484375
2017-06-21,31.385459899902344
2017-06-22,30.923503875732422
2017-06-23,31.302310943603516
2017-06-26,31.366992950439453
2017-06-27,31.200674057006836
2017-06-28,31.662635803222656
2017-06-29,31.219158172607422
2017-06-30,31.939815521240234
2017-07-03,31.74578857421875
2017-07-05,31.9952449798584
2017-07-06,31.86589813232422
2017-07-07,33.066993713378906
2017-07-10,34.34199905395508
2017-07-11,34.16645050048828
2017-07-12,33.7968864440918
2017-07-13,33.722965240478516
2017-07-14,33.90774917602539
2017-07-17,33.889278411865234
2017-07-18,33.63981246948242
2017-07-19,33.852325439453125
2017-07-20,33.56591033935547
2017-07-21,33.82460403442383
2017-07-24,33.778404235839844
2017-07-25,34.1849250793457
2017-07-26,33.528953552246094
2017-07-27,33.32569122314453
2017-07-28,33.12242889404297
2017-07-31,32.97459411621094
2017-08-01,33.334922790527344
2017-08-02,33.67677307128906
2017-08-03,33.56591033935547
2017-08-04,33.80613327026367
2017-08-07,33.73200988769531
2017-08-08,33.58377456665039
2017-08-09,33.694950103759766
2017-08-10,33.250247955322266
2017-08-11,33.43555450439453
2017-08-14,33.92656707763672
2017-08-15,34.074790954589844
2017-08-16,34.12111282348633
2017-08-17,33.39847946166992
2017-08-18,33.064964294433594
2017-08-21,33.14834976196289
2017-08-22,32.95378112792969
2017-08-23,32.83335876464844
2017-08-24,32.77777099609375
2017-08-25,33.14834976196289
2017-08-28,32.712921142578125
2017-08-29,32.68510818481445
2017-08-30,32.83335876464844
