,EBAY
2016-08-18,27.576858520507812
2016-08-19,27.676254272460938
2016-08-22,27.66721534729004
2016-08-23,27.712392807006836
2016-08-24,28.236461639404297
2016-08-25,28.317785263061523
2016-08-26,28.290672302246094
2016-08-29,28.37199592590332
2016-08-30,28.706317901611328
2016-08-31,29.058706283569336
2016-09-01,29.03160285949707
2016-09-02,29.167133331298828
2016-09-06,29.28459930419922
2016-09-07,29.37495231628418
2016-09-08,29.546630859375
2016-09-09,28.814746856689453
2016-09-12,29.356887817382812
2016-09-13,28.832822799682617
2016-09-14,28.73342514038086
2016-09-15,28.896060943603516
2016-09-16,28.706317901611328
2016-09-19,28.525606155395508
2016-09-20,28.335847854614258
2016-09-21,28.887025833129883
2016-09-22,29.167133331298828
2016-09-23,28.977386474609375
2016-09-26,28.615962982177734
2016-09-27,28.859922409057617
2016-09-28,28.778606414794922
2016-09-29,29.185209274291992
2016-09-30,29.72735023498535
2016-10-03,29.411096572875977
2016-10-04,29.42013931274414
2016-10-05,29.04967498779297
2016-10-06,29.03160285949707
2016-10-07,28.570785522460938
2016-10-10,28.868959426879883
2016-10-11,28.426212310791016
2016-10-12,28.462350845336914
2016-10-13,28.47138786315918
2016-10-14,28.814746856689453
2016-10-17,28.742460250854492
2016-10-18,28.58885383605957
2016-10-19,29.383989334106445
2016-10-20,26.221506118774414
2016-10-21,26.257652282714844
2016-10-24,26.4022216796875
2016-10-25,26.248615264892578
2016-10-26,26.040796279907227
2016-10-27,26.03175926208496
2016-10-28,25.842012405395508
2016-10-31,25.76068687438965
2016-11-01,25.64322853088379
2016-11-02,25.534801483154297
2016-11-03,25.354087829589844
2016-11-04,25.25469398498535
2016-11-07,25.516725540161133
2016-11-08,25.32697868347168
2016-11-09,25.56190299987793
2016-11-10,25.444435119628906
2016-11-11,25.87815284729004
2016-11-14,25.200477600097656
2016-11-15,25.74261474609375
2016-11-16,25.598045349121094
2016-11-17,26.085975646972656
2016-11-18,25.92333221435547
2016-11-21,26.203439712524414
2016-11-22,26.257652282714844
2016-11-23,26.113080978393555
2016-11-25,26.158260345458984
2016-11-28,25.814899444580078
2016-11-29,25.76068687438965
2016-11-30,25.128192901611328
2016-12-01,24.748693466186523
2016-12-02,25.679367065429688
2016-12-05,25.616117477416992
2016-12-06,25.4896183013916
2016-12-07,26.122116088867188
2016-12-08,26.58293914794922
2016-12-09,27.079893112182617
2016-12-12,27.2967529296875
2016-12-13,26.944360733032227
2016-12-14,26.944360733032227
2016-12-15,26.863039016723633
2016-12-16,26.754615783691406
2016-12-19,26.54679298400879
2016-12-20,26.43836212158203
2016-12-21,26.52872657775879
2016-12-22,26.691362380981445
2016-12-23,26.917253494262695
2016-12-27,27.323856353759766
2016-12-28,27.11604118347168
2016-12-29,27.088930130004883
2016-12-30,26.8268985748291
2017-01-03,26.962432861328125
2017-01-04,26.890148162841797
2017-01-05,27.11604118347168
2017-01-06,28.05574607849121
2017-01-09,27.78467559814453
2017-01-10,27.332897186279297
2017-01-11,27.477468490600586
2017-01-12,27.423255920410156
2017-01-13,27.369041442871094
2017-01-17,27.369041442871094
2017-01-18,27.459392547607422
2017-01-19,27.757570266723633
2017-01-20,27.685291290283203
2017-01-23,27.350971221923828
2017-01-24,27.09796905517578
2017-01-25,27.31482696533203
2017-01-26,28.679210662841797
2017-01-27,29.37495231628418
2017-01-30,29.067739486694336
2017-01-31,28.760534286499023
2017-02-01,29.076778411865234
2017-02-02,28.887025833129883
2017-02-03,28.977386474609375
2017-02-06,28.94124412536621
2017-02-07,29.302671432495117
2017-02-08,30.043596267700195
2017-02-09,29.926124572753906
2017-02-10,30.386951446533203
2017-02-13,30.531524658203125
2017-02-14,30.386951446533203
2017-02-15,30.730302810668945
2017-02-16,30.305633544921875
2017-02-17,30.50441551208496
2017-02-21,30.648983001708984
2017-02-22,30.55862808227539
2017-02-23,30.35983657836914
2017-02-24,30.775489807128906
2017-02-27,30.974267959594727
2017-02-28,30.630908966064453
2017-03-01,30.96522331237793
2017-03-02,30.63995361328125
2017-03-03,30.48633575439453
2017-03-06,30.3959903717041
2017-03-07,30.242380142211914
2017-03-08,30.106842041015625
2017-03-09,29.980342864990234
2017-03-10,29.935165405273438
2017-03-13,29.646028518676758
2017-03-14,29.69120979309082
2017-03-15,29.71830940246582
2017-03-16,29.90806007385254
2017-03-17,30.450197219848633
2017-03-20,30.54959487915039
2017-03-21,29.989376068115234
2017-03-22,30.296594619750977
2017-03-23,30.287559509277344
2017-03-24,30.179128646850586
2017-03-27,30.206233978271484
2017-03-28,30.296594619750977
2017-03-29,30.405025482177734
2017-03-30,30.450197219848633
2017-03-31,30.332731246948242
2017-04-03,30.50441551208496
2017-04-04,30.84777069091797
2017-04-05,30.54959487915039
2017-04-06,30.865842819213867
2017-04-07,30.63995361328125
2017-04-10,30.775489807128906
2017-04-11,30.712238311767578
2017-04-12,30.96522331237793
2017-04-13,31.019445419311523
2017-04-17,31.11882781982422
2017-04-18,30.739341735839844
2017-04-19,30.58573341369629
2017-04-20,29.393022537231445
2017-04-21,29.076778411865234
2017-04-24,28.95931625366211
2017-04-25,29.646028518676758
2017-04-26,29.826736450195312
2017-04-27,29.871917724609375
2017-04-28,30.18815803527832
2017-05-01,30.097808837890625
2017-05-02,30.27852439880371
2017-05-03,30.052627563476562
2017-05-04,30.27852439880371
2017-05-05,30.26949119567871
2017-05-08,30.034557342529297
2017-05-09,30.46827507019043
2017-05-10,30.61284065246582
2017-05-11,30.829700469970703
2017-05-12,30.784521102905273
2017-05-15,30.883907318115234
2017-05-16,31.453153610229492
2017-05-17,30.341768264770508
2017-05-18,30.477304458618164
2017-05-19,30.56766128540039
2017-05-22,30.59477424621582
2017-05-23,31.272449493408203
2017-05-24,31.462202072143555
2017-05-25,31.82361602783203
2017-05-26,31.534482955932617
2017-05-30,31.281478881835938
2017-05-31,30.992340087890625
2017-06-01,31.43509292602539
2017-06-02,31.913978576660156
2017-06-05,32.121795654296875
2017-06-06,32.04951858520508
2017-06-07,32.320587158203125
2017-06-08,32.65489959716797
2017-06-09,31.57061767578125
2017-06-12,30.85679817199707
2017-06-13,31.136917114257812
2017-06-14,31.173051834106445
2017-06-15,30.80259132385254
2017-06-16,30.685129165649414
2017-06-19,31.534482955932617
2017-06-20,31.561586380004883
2017-06-21,31.588695526123047
2017-06-22,31.733264923095703
2017-06-23,32.139862060546875
2017-06-26,31.706148147583008
2017-06-27,31.543521881103516
2017-06-28,31.904937744140625
2017-06-29,31.182090759277344
2017-06-30,31.55254364013672
2017-07-03,31.263402938842773
2017-07-05,31.371843338012695
2017-07-06,30.748371124267578
2017-07-07,30.929092407226562
2017-07-10,31.66098403930664
2017-07-11,31.7965145111084
2017-07-12,32.55550765991211
2017-07-13,32.98018264770508
2017-07-14,33.50425720214844
2017-07-17,33.477149963378906
2017-07-18,33.25125503540039
2017-07-19,33.50425720214844
2017-07-20,33.59462356567383
2017-07-21,33.07957077026367
2017-07-24,32.87175750732422
2017-07-25,32.81754684448242
2017-07-26,33.46811294555664
2017-07-27,32.6820068359375
2017-07-28,32.474185943603516
2017-07-31,32.28443908691406
2017-08-01,32.44708251953125
2017-08-02,32.43804931640625
2017-08-03,32.26636505126953
2017-08-04,32.18504333496094
2017-08-07,32.6277961730957
2017-08-08,32.85368728637695
2017-08-09,32.6006965637207
2017-08-10,31.615798950195312
2017-08-11,31.670005798339844
2017-08-14,31.805551528930664
2017-08-15,31.85073471069336
2017-08-16,31.950130462646484
2017-08-17,31.489295959472656
2017-08-18,31.426050186157227
2017-08-21,30.938129425048828
2017-08-22,31.453153610229492
2017-08-23,31.52544403076172
2017-08-24,31.516407012939453
2017-08-25,31.335695266723633
2017-08-28,31.453153610229492
2017-08-29,31.805551528930664
