,DRI
2021-05-17,123.43887329101562
2021-05-18,123.9893798828125
2021-05-19,124.27350616455078
2021-05-20,125.30348205566406
2021-05-21,124.98384094238281
2021-05-24,125.51659393310547
2021-05-25,124.69081115722656
2021-05-26,125.72970581054688
2021-05-27,125.9605484008789
2021-05-28,127.17700958251953
2021-06-01,121.93827056884766
2021-06-02,121.26348114013672
2021-06-03,119.38106536865234
2021-06-04,119.11466979980469
2021-06-07,121.9027328491211
2021-06-08,124.98384094238281
2021-06-09,123.12808990478516
2021-06-10,121.55647277832031
2021-06-11,123.51879119873047
2021-06-14,122.08922576904297
2021-06-15,121.38778686523438
2021-06-16,121.16577911376953
2021-06-17,117.12574005126953
2021-06-18,115.51860809326172
2021-06-21,118.4753646850586
2021-06-22,120.40217590332031
2021-06-23,120.26898956298828
2021-06-24,124.17585754394531
2021-06-25,127.95840454101562
2021-06-28,125.92505645751953
2021-06-29,127.67425537109375
2021-06-30,129.627685546875
2021-07-01,131.56333923339844
2021-07-02,131.52786254882812
2021-07-06,132.19378662109375
2021-07-07,132.11386108398438
2021-07-08,128.76829528808594
2021-07-09,132.90997314453125
2021-07-12,134.13551330566406
2021-07-13,131.85443115234375
2021-07-14,131.81863403320312
2021-07-15,129.53759765625
2021-07-16,126.79136657714844
2021-07-19,120.60120391845703
2021-07-20,126.90763854980469
2021-07-21,129.70755004882812
2021-07-22,128.99192810058594
2021-07-23,129.2781524658203
2021-07-26,131.80970764160156
2021-07-27,133.741943359375
2021-07-28,132.570068359375
2021-07-29,134.38592529296875
2021-07-30,130.49472045898438
2021-08-02,132.13174438476562
2021-08-03,131.3445587158203
2021-08-04,130.95989990234375
2021-08-05,129.23345947265625
2021-08-06,129.439208984375
2021-08-09,123.65154266357422
2021-08-10,125.43168640136719
2021-08-11,126.20993041992188
2021-08-12,126.98814392089844
2021-08-13,127.0150146484375
2021-08-16,125.43168640136719
2021-08-17,122.70335388183594
2021-08-18,122.5602035522461
2021-08-19,122.33657836914062
2021-08-20,124.61763763427734
2021-08-23,127.26547241210938
2021-08-24,130.4857940673828
2021-08-25,134.3233642578125
2021-08-26,132.81158447265625
2021-08-27,136.93540954589844
2021-08-30,134.04608154296875
2021-08-31,134.76165771484375
2021-09-01,135.22683715820312
2021-09-02,134.68116760253906
2021-09-03,132.4359130859375
2021-09-07,131.9886016845703
2021-09-08,131.7381591796875
2021-09-09,132.5521697998047
2021-09-10,132.98153686523438
2021-09-13,133.8313751220703
2021-09-14,132.9457550048828
2021-09-15,133.29464721679688
2021-09-16,134.4486083984375
2021-09-17,133.6703338623047
2021-09-20,133.00840759277344
2021-09-21,131.05831909179688
2021-09-22,134.4664764404297
2021-09-23,142.6782989501953
2021-09-24,141.9626922607422
2021-09-27,142.95559692382812
2021-09-28,139.43115234375
2021-09-29,137.4721221923828
2021-09-30,135.49522399902344
2021-10-01,139.5116729736328
2021-10-04,139.1180419921875
2021-10-05,140.23623657226562
2021-10-06,140.74610900878906
2021-10-07,140.34974670410156
2021-10-08,139.25074768066406
2021-10-11,137.82740783691406
2021-10-12,137.09774780273438
2021-10-13,134.73757934570312
2021-10-14,135.64739990234375
2021-10-15,134.35919189453125
2021-10-18,134.0439453125
2021-10-19,131.9720001220703
2021-10-20,128.990234375
2021-10-21,131.17929077148438
2021-10-22,130.98109436035156
2021-10-25,129.25149536132812
2021-10-26,131.28741455078125
2021-10-27,129.2965087890625
2021-10-28,130.57569885253906
2021-10-29,129.84603881835938
2021-11-01,133.34127807617188
2021-11-02,129.4046173095703
2021-11-03,130.77386474609375
2021-11-04,131.59365844726562
2021-11-05,139.16062927246094
2021-11-08,138.1697540283203
2021-11-09,140.1785888671875
2021-11-10,136.64730834960938
2021-11-11,136.11582946777344
2021-11-12,135.35012817382812
2021-11-15,133.03497314453125
2021-11-16,132.08009338378906
2021-11-17,132.42242431640625
2021-11-18,131.4495086669922
2021-11-19,128.96322631835938
2021-11-22,132.32334899902344
2021-11-23,133.68359375
2021-11-24,133.66554260253906
2021-11-26,126.61205291748047
2021-11-29,127.69303894042969
2021-11-30,124.26986694335938
2021-12-01,123.10779571533203
2021-12-02,128.8641357421875
2021-12-03,128.23353576660156
2021-12-06,132.09811401367188
2021-12-07,133.4313507080078
2021-12-08,135.70144653320312
2021-12-09,134.67449951171875
2021-12-10,136.75540161132812
2021-12-13,133.13406372070312
2021-12-14,134.34120178222656
2021-12-15,134.25106811523438
2021-12-16,132.53955078125
2021-12-17,125.96343994140625
2021-12-20,124.36896514892578
2021-12-21,128.73800659179688
2021-12-22,130.7378692626953
2021-12-23,134.07994079589844
2021-12-27,135.33209228515625
2021-12-28,134.557373046875
2021-12-29,134.24208068847656
2021-12-30,134.52134704589844
2021-12-31,135.70144653320312
2022-01-03,134.02589416503906
2022-01-04,136.56625366210938
2022-01-05,135.0618438720703
2022-01-06,132.80078125
2022-01-07,132.2017364501953
2022-01-10,133.39979553222656
2022-01-11,131.69346618652344
2022-01-12,130.2866973876953
2022-01-13,131.31228637695312
2022-01-14,129.78753662109375
2022-01-18,126.49291229248047
2022-01-19,125.75775909423828
2022-01-20,123.46153259277344
2022-01-21,122.3270034790039
2022-01-24,123.96975708007812
2022-01-25,124.79569244384766
2022-01-26,124.2965316772461
2022-01-27,122.8534164428711
2022-01-28,125.72145080566406
2022-01-31,126.94668579101562
2022-02-01,126.95580291748047
2022-02-02,127.83617401123047
2022-02-03,125.78498077392578
2022-02-04,125.12239837646484
2022-02-07,127.14636993408203
2022-02-08,127.9723129272461
2022-02-09,133.1365966796875
2022-02-10,133.2818145751953
2022-02-11,131.05816650390625
2022-02-14,130.16868591308594
2022-02-15,134.044189453125
2022-02-16,135.10610961914062
2022-02-17,129.65139770507812
2022-02-18,131.36676025390625
2022-02-22,130.6043701171875
2022-02-23,126.20249938964844
2022-02-24,128.4896697998047
2022-02-25,131.67532348632812
2022-02-28,131.8024139404297
2022-03-01,126.9648666381836
2022-03-02,127.49127960205078
2022-03-03,120.8385238647461
2022-03-04,119.84017181396484
2022-03-07,106.90679931640625
2022-03-08,111.37220764160156
2022-03-09,116.68169403076172
2022-03-10,118.324462890625
2022-03-11,117.0810546875
2022-03-14,112.71546173095703
2022-03-15,112.8879165649414
2022-03-16,117.6982192993164
2022-03-17,118.38800048828125
2022-03-18,121.28325653076172
2022-03-21,119.05961608886719
2022-03-22,119.80386352539062
2022-03-23,118.84181213378906
2022-03-24,120.16691589355469
2022-03-25,117.80711364746094
2022-03-28,118.27909088134766
2022-03-29,121.94581604003906
2022-03-30,119.49528503417969
2022-03-31,120.66608428955078
2022-04-01,118.05219268798828
2022-04-04,119.1594467163086
2022-04-05,117.55300903320312
2022-04-06,116.6181640625
2022-04-07,115.345703125
2022-04-08,115.73934173583984
2022-04-11,115.84003448486328
2022-04-12,119.50180053710938
2022-04-13,120.45387268066406
2022-04-14,120.3348617553711
2022-04-18,121.42423248291016
2022-04-19,123.95085906982422
2022-04-20,125.03106689453125
2022-04-21,126.35845947265625
2022-04-22,122.71502685546875
2022-04-25,126.45002746582031
2022-04-26,120.38062286376953
2022-04-27,119.6574478149414
2022-04-28,122.57769012451172
2022-04-29,120.5911865234375
2022-05-02,121.5707015991211
2022-05-03,119.60250854492188
2022-05-04,120.36231994628906
2022-05-05,116.7280044555664
2022-05-06,119.0990219116211
2022-05-09,114.53096008300781
2022-05-10,116.16960144042969
2022-05-11,111.23536682128906
2022-05-12,113.67959594726562
2022-05-13,117.24067687988281
2022-05-16,115.69355773925781
2022-05-17,118.10118865966797
2022-05-18,109.37703704833984
2022-05-19,106.80461883544922
2022-05-20,106.42015075683594
2022-05-23,106.56661224365234
2022-05-24,105.0652847290039
2022-05-25,109.96290588378906
2022-05-26,114.51264190673828
2022-05-27,115.38230895996094
2022-05-31,114.43025970458984
2022-06-01,113.45073699951172
2022-06-02,116.15128326416016
2022-06-03,115.14430236816406
2022-06-06,115.27246856689453
2022-06-07,114.34786987304688
2022-06-08,113.8626708984375
2022-06-09,113.0204849243164
2022-06-10,109.79813385009766
2022-06-13,104.6167221069336
2022-06-14,104.38786315917969
2022-06-15,106.69477844238281
2022-06-16,102.38304138183594
2022-06-17,104.54348754882812
2022-06-21,104.08575439453125
2022-06-22,105.38570404052734
2022-06-23,105.8250961303711
2022-06-24,109.67911529541016
2022-06-27,111.6198501586914
2022-06-28,105.36738586425781
2022-06-29,104.24137878417969
2022-06-30,103.55480194091797
2022-07-01,104.68079376220703
2022-07-05,108.48905944824219
2022-07-06,106.84123992919922
2022-07-07,108.48780059814453
2022-07-08,108.02527618408203
2022-07-11,106.78575134277344
2022-07-12,107.14651489257812
2022-07-13,107.5812759399414
2022-07-14,107.45176696777344
2022-07-15,108.3120346069336
2022-07-18,107.70152282714844
2022-07-19,111.17965698242188
2022-07-20,112.75221252441406
2022-07-21,112.56720733642578
2022-07-22,112.252685546875
2022-07-25,109.87535095214844
2022-07-26,106.4804916381836
2022-07-27,112.36370086669922
2022-07-28,117.09060668945312
2022-07-29,115.15729522705078
2022-08-01,115.3978042602539
2022-08-02,114.83352661132812
2022-08-03,117.3588638305664
2022-08-04,116.35057067871094
2022-08-05,114.31549835205078
2022-08-08,115.94356536865234
2022-08-09,116.35982513427734
2022-08-10,120.1432113647461
2022-08-11,120.46697235107422
2022-08-12,122.0210189819336
2022-08-15,122.29854583740234
2022-08-16,124.27811431884766
2022-08-17,122.75180053710938
2022-08-18,122.446533203125
2022-08-19,119.39395141601562
2022-08-22,117.6086196899414
2022-08-23,117.45137023925781
2022-08-24,118.10813903808594
2022-08-25,120.85548400878906
2022-08-26,115.60130310058594
2022-08-29,115.35154724121094
2022-08-30,114.1304931640625
2022-08-31,114.43576049804688
2022-09-01,116.48932647705078
2022-09-02,115.78630065917969
2022-09-06,113.97325897216797
2022-09-07,118.45040130615234
2022-09-08,120.67972564697266
2022-09-09,121.21623229980469
2022-09-12,123.70458221435547
2022-09-13,119.0609359741211
2022-09-14,120.53173828125
2022-09-15,120.65198516845703
2022-09-16,119.95819854736328
2022-09-19,122.59453582763672
2022-09-20,122.79804992675781
2022-09-21,121.4382553100586
2022-09-22,116.0453109741211
