,PG
2020-01-21,111.4498291015625
2020-01-22,111.64427947998047
2020-01-23,111.1339111328125
2020-01-24,111.26726531982422
2020-01-27,111.75630187988281
2020-01-28,112.05860900878906
2020-01-29,111.19615173339844
2020-01-30,111.98750305175781
2020-01-31,110.80492401123047
2020-02-03,111.24059295654297
2020-02-04,111.72962951660156
2020-02-05,112.75214385986328
2020-02-06,113.04556274414062
2020-02-07,112.10307312011719
2020-02-10,112.18310546875
2020-02-11,110.39591979980469
2020-02-12,109.7646255493164
2020-02-13,111.10721588134766
2020-02-14,112.15641784667969
2020-02-18,111.0272216796875
2020-02-19,111.53401947021484
2020-02-20,112.54765319824219
2020-02-21,112.65434265136719
2020-02-24,109.63126373291016
2020-02-25,107.96857452392578
2020-02-26,106.83935546875
2020-02-27,100.91765594482422
2020-02-28,100.67759704589844
2020-03-02,106.30586242675781
2020-03-03,105.06996154785156
2020-03-04,110.69824981689453
2020-03-05,108.1463851928711
2020-03-06,108.17306518554688
2020-03-09,103.19385528564453
2020-03-10,107.18611145019531
2020-03-11,99.21939849853516
2020-03-12,90.5502700805664
2020-03-13,101.4244613647461
2020-03-16,96.47193908691406
2020-03-17,105.13218688964844
2020-03-18,104.42976379394531
2020-03-19,98.54366302490234
2020-03-20,91.07485961914062
2020-03-23,86.86921691894531
2020-03-24,91.82173156738281
2020-03-25,89.73225402832031
2020-03-26,95.4760971069336
2020-03-27,97.9568099975586
2020-03-30,102.25138854980469
2020-03-31,97.80565643310547
2020-04-01,97.20995330810547
2020-04-02,101.71790313720703
2020-04-03,102.32249450683594
2020-04-06,104.74987030029297
2020-04-07,100.26859283447266
2020-04-08,102.34029388427734
2020-04-09,101.94906616210938
2020-04-13,103.0960464477539
2020-04-14,107.55067443847656
2020-04-15,107.78185272216797
2020-04-16,108.03079223632812
2020-04-17,110.86717224121094
2020-04-20,107.2305679321289
2020-04-21,106.41255187988281
2020-04-22,106.1635971069336
2020-04-23,106.87159729003906
2020-04-24,106.3166732788086
2020-04-27,105.12621307373047
2020-04-28,104.6249771118164
2020-04-29,104.7950439453125
2020-04-30,105.50216674804688
2020-05-01,104.56233215332031
2020-05-04,103.62248992919922
2020-05-05,103.83731079101562
2020-05-06,101.23265075683594
2020-05-07,100.40023040771484
2020-05-08,103.7835922241211
2020-05-11,103.21076965332031
2020-05-12,102.5304946899414
2020-05-13,101.96660614013672
2020-05-14,101.8681411743164
2020-05-15,102.58419799804688
2020-05-18,104.01632690429688
2020-05-19,100.64192199707031
2020-05-20,101.39376831054688
2020-05-21,99.90795135498047
2020-05-22,100.78511810302734
2020-05-26,100.27493286132812
2020-05-27,101.93975067138672
2020-05-28,103.8820571899414
2020-05-29,103.75675201416016
2020-06-01,104.94718170166016
2020-06-02,105.6722183227539
2020-06-03,106.09290313720703
2020-06-04,103.87313842773438
2020-06-05,105.91388702392578
2020-06-08,106.5583267211914
2020-06-09,105.92282104492188
2020-06-10,106.71944427490234
2020-06-11,104.0610580444336
2020-06-12,103.4882583618164
2020-06-15,104.44596099853516
2020-06-16,105.73486328125
2020-06-17,105.55584716796875
2020-06-18,106.76420593261719
2020-06-19,106.44196319580078
2020-06-22,105.3947525024414
2020-06-23,105.37683868408203
2020-06-24,104.20429229736328
2020-06-25,105.52005004882812
2020-06-26,103.13916015625
2020-06-29,105.3141860961914
2020-06-30,107.02376556396484
2020-07-01,107.39075469970703
2020-07-02,108.19632720947266
2020-07-06,108.86761474609375
2020-07-07,109.39571380615234
2020-07-08,109.99539947509766
2020-07-09,109.62842559814453
2020-07-10,110.89048767089844
2020-07-13,111.0337142944336
2020-07-14,111.96456909179688
2020-07-15,111.43648529052734
2020-07-16,111.669189453125
2020-07-17,112.44790649414062
2020-07-20,112.09881591796875
2020-07-21,111.94666290283203
2020-07-22,112.90438079833984
2020-07-23,113.63487243652344
2020-07-24,113.45471954345703
2020-07-27,113.77898406982422
2020-07-28,115.18411254882812
2020-07-29,115.5714340209961
2020-07-30,118.37266540527344
2020-07-31,118.10245513916016
2020-08-03,118.25554656982422
2020-08-04,120.5073471069336
2020-08-05,120.19213104248047
2020-08-06,119.53461456298828
2020-08-07,120.29122924804688
2020-08-10,120.7865982055664
2020-08-11,120.00298309326172
2020-08-12,122.01158142089844
2020-08-13,122.29981231689453
2020-08-14,121.68733215332031
2020-08-17,122.047607421875
2020-08-18,122.95733642578125
2020-08-19,122.29077911376953
2020-08-20,123.2635726928711
2020-08-21,123.79500579833984
2020-08-24,124.75874328613281
2020-08-25,125.25418853759766
2020-08-26,124.65068054199219
2020-08-27,124.4885482788086
2020-08-28,124.99297332763672
2020-08-31,124.5966567993164
2020-09-01,124.46154022216797
2020-09-02,126.56022644042969
2020-09-03,124.5335464477539
2020-09-04,124.26338195800781
2020-09-08,122.44392395019531
2020-09-09,124.43450927734375
2020-09-10,123.12844848632812
2020-09-11,124.42552185058594
2020-09-14,124.86688232421875
2020-09-15,124.86688232421875
2020-09-16,124.0291748046875
2020-09-17,123.86708068847656
2020-09-18,123.73193359375
2020-09-21,123.13749694824219
2020-09-22,124.26338195800781
2020-09-23,122.77719116210938
2020-09-24,123.32664489746094
2020-09-25,123.95712280273438
2020-09-28,124.30840301513672
2020-09-29,123.63286590576172
2020-09-30,125.19112396240234
2020-10-01,125.41629791259766
2020-10-02,124.40747833251953
2020-10-05,125.5514144897461
2020-10-06,125.74958801269531
2020-10-07,126.73133850097656
2020-10-08,127.58704376220703
2020-10-09,128.73095703125
2020-10-12,130.14512634277344
2020-10-13,129.89288330078125
2020-10-14,129.73977661132812
2020-10-15,129.55062866210938
2020-10-16,130.0550079345703
2020-10-19,127.82121276855469
2020-10-20,128.33462524414062
2020-10-21,129.0281982421875
2020-10-22,128.11431884765625
2020-10-23,128.9566650390625
2020-10-26,127.97846221923828
2020-10-27,128.9385223388672
2020-10-28,124.681640625
2020-10-29,124.60011291503906
2020-10-30,124.1744384765625
2020-11-02,125.44243621826172
2020-11-03,127.90599060058594
2020-11-04,127.38069152832031
2020-11-05,128.9566650390625
2020-11-06,129.7264862060547
2020-11-09,124.98052978515625
2020-11-10,127.03646087646484
2020-11-11,128.67587280273438
2020-11-12,128.74830627441406
2020-11-13,130.67750549316406
2020-11-16,129.00192260742188
2020-11-17,128.50379943847656
2020-11-18,126.52930450439453
2020-11-19,126.37533569335938
2020-11-20,126.16703033447266
2020-11-23,125.67794036865234
2020-11-24,125.27033996582031
2020-11-25,125.60545349121094
2020-11-27,125.54206085205078
2020-11-30,125.77757263183594
2020-12-01,126.23041534423828
2020-12-02,125.31564331054688
2020-12-03,124.39178466796875
2020-12-04,124.50955963134766
2020-12-07,124.69975280761719
2020-12-08,125.03488159179688
2020-12-09,123.54950714111328
2020-12-10,122.73432922363281
2020-12-11,123.6400146484375
2020-12-14,123.04231262207031
2020-12-15,123.76687622070312
2020-12-16,124.32841491699219
2020-12-17,125.21600341796875
2020-12-18,125.9315414428711
2020-12-21,124.55484008789062
2020-12-22,123.67625427246094
2020-12-23,123.48607635498047
2020-12-24,124.7359848022461
2020-12-28,125.60545349121094
