,CF
2017-03-08,24.23118782043457
2017-03-09,24.00212287902832
2017-03-10,24.06757164001465
2017-03-13,24.06757164001465
2017-03-14,23.462202072143555
2017-03-15,23.601272583007812
2017-03-16,23.48674201965332
2017-03-17,23.961227416992188
2017-03-20,24.861101150512695
2017-03-21,24.165739059448242
2017-03-22,23.912141799926758
2017-03-23,24.043027877807617
2017-03-24,23.87124252319336
2017-03-27,23.92032241821289
2017-03-28,24.738384246826172
2017-03-29,25.24559211730957
2017-03-30,24.2720890045166
2017-03-31,24.010303497314453
2017-04-03,23.249502182006836
2017-04-04,23.912141799926758
2017-04-05,23.56036949157715
2017-04-06,24.263906478881836
2017-04-07,24.14120101928711
2017-04-10,24.427522659301758
2017-04-11,24.25572967529297
2017-04-12,23.413118362426758
2017-04-13,23.249502182006836
2017-04-17,22.50506019592285
2017-04-18,22.153291702270508
2017-04-19,21.760622024536133
2017-04-20,21.7442569732666
2017-04-21,21.2697811126709
2017-04-24,21.605188369750977
2017-04-25,22.365995407104492
2017-04-26,22.30054473876953
2017-04-27,22.43961524963379
2017-04-28,21.87514877319336
2017-05-01,21.866966247558594
2017-05-02,21.57246208190918
2017-05-03,20.868927001953125
2017-05-04,22.145109176635742
2017-05-05,23.249502182006836
2017-05-08,22.70958137512207
2017-05-09,22.431434631347656
2017-05-10,22.595048904418945
2017-05-11,22.495807647705078
2017-05-12,22.148441314697266
2017-05-15,22.942411422729492
2017-05-16,23.215333938598633
2017-05-17,22.71083641052246
2017-05-18,22.669483184814453
2017-05-19,23.620594024658203
2017-05-22,23.39729118347168
2017-05-23,23.943140029907227
2017-05-24,23.521347045898438
2017-05-25,23.231876373291016
2017-05-26,23.26496124267578
2017-05-30,23.0830078125
2017-05-31,22.247695922851562
2017-06-01,22.35520362854004
2017-06-02,21.83416175842285
2017-06-05,21.73491668701172
2017-06-06,21.58604621887207
2017-06-07,21.685293197631836
2017-06-08,22.140174865722656
2017-06-09,22.537158966064453
2017-06-12,22.628137588500977
2017-06-13,23.554428100585938
2017-06-14,22.636404037475586
2017-06-15,22.12363052368164
2017-06-16,22.810087203979492
2017-06-19,23.355937957763672
2017-06-20,22.47926139831543
2017-06-21,22.082284927368164
2017-06-22,22.611591339111328
2017-06-23,22.70256805419922
2017-06-26,22.669483184814453
2017-06-27,22.22287940979004
2017-06-28,22.47099494934082
2017-06-29,22.686023712158203
2017-06-30,23.124357223510742
2017-07-03,24.166440963745117
2017-07-05,23.75292205810547
2017-07-06,22.810087203979492
2017-07-07,23.066471099853516
2017-07-10,24.579971313476562
2017-07-11,24.348400115966797
2017-07-12,23.9183349609375
2017-07-13,24.406291961669922
2017-07-14,24.389751434326172
2017-07-17,24.20780372619629
2017-07-18,24.34012794494629
2017-07-19,25.481462478637695
2017-07-20,25.746116638183594
2017-07-21,25.7543888092041
2017-07-24,24.993497848510742
2017-07-25,24.952150344848633
2017-07-26,23.88525390625
2017-07-27,23.827363967895508
2017-07-28,23.97622299194336
2017-07-31,24.273967742919922
2017-08-01,24.166440963745117
2017-08-02,23.75292205810547
2017-08-03,25.398754119873047
2017-08-04,26.63933563232422
2017-08-07,26.407758712768555
2017-08-08,26.043853759765625
2017-08-09,26.366405487060547
2017-08-10,25.440113067626953
2017-08-11,25.481863021850586
2017-08-14,25.239654541015625
2017-08-15,25.306476593017578
2017-08-16,25.231307983398438
2017-08-17,24.35434913635254
2017-08-18,24.245777130126953
2017-08-21,24.37105941772461
2017-08-22,24.421165466308594
2017-08-23,24.16225814819336
2017-08-24,24.245777130126953
2017-08-25,24.204011917114258
2017-08-28,24.245777130126953
