,IP
2017-01-17,35.74411392211914
2017-01-18,35.7711067199707
2017-01-19,35.53502655029297
2017-01-20,36.216304779052734
2017-01-23,36.634525299072266
2017-01-24,37.70704650878906
2017-01-25,39.116851806640625
2017-01-26,38.793060302734375
2017-01-27,38.67838668823242
2017-01-30,38.374839782714844
2017-01-31,38.17923355102539
2017-02-01,38.11177062988281
2017-02-02,35.98695373535156
2017-02-03,35.757606506347656
2017-02-06,34.80651092529297
2017-02-07,35.16401290893555
2017-02-08,35.818321228027344
2017-02-09,35.18424606323242
2017-02-10,35.67667007446289
2017-02-13,35.848846435546875
2017-02-14,35.98493957519531
2017-02-15,35.903282165527344
2017-02-16,36.32518005371094
2017-02-17,35.48817443847656
2017-02-21,35.903282165527344
2017-02-22,35.4065055847168
2017-02-23,35.535804748535156
2017-02-24,35.80800247192383
2017-02-27,35.99173355102539
2017-02-28,35.8624382019043
2017-03-01,36.52253341674805
2017-03-02,36.55655288696289
2017-03-03,36.747093200683594
2017-03-06,35.61064910888672
2017-03-07,35.0322380065918
2017-03-08,35.073055267333984
2017-03-09,34.521854400634766
2017-03-10,34.501434326171875
2017-03-13,34.49463653564453
2017-03-14,34.48783493041992
2017-03-15,34.95057678222656
2017-03-16,35.01862335205078
2017-03-17,34.95057678222656
2017-03-20,35.535804748535156
2017-03-21,34.65114974975586
2017-03-22,34.82127380371094
2017-03-23,34.91654586791992
2017-03-24,34.576297760009766
2017-03-27,34.20882034301758
2017-03-28,34.65795135498047
2017-03-29,34.52865982055664
2017-03-30,34.80086135864258
2017-03-31,34.55587387084961
2017-04-03,34.154380798339844
2017-04-04,34.501434326171875
2017-04-05,34.41977310180664
2017-04-06,34.67155838012695
2017-04-07,34.37214279174805
2017-04-10,34.33131408691406
2017-04-11,34.2020263671875
2017-04-12,34.05229568481445
2017-04-13,33.78010177612305
2017-04-17,34.34492111206055
2017-04-18,35.01182556152344
2017-04-19,35.61064910888672
2017-04-20,36.0802001953125
2017-04-21,35.91688919067383
2017-04-24,36.209503173828125
2017-04-25,36.536136627197266
2017-04-26,36.794734954833984
2017-04-27,37.37316131591797
2017-04-28,36.726680755615234
2017-05-01,36.59738540649414
2017-05-02,36.536136627197266
2017-05-03,36.25713348388672
2017-05-04,36.168663024902344
2017-05-05,36.36601638793945
2017-05-08,36.02576446533203
2017-05-09,35.753578186035156
2017-05-10,36.11424255371094
2017-05-11,35.760372161865234
2017-05-12,35.583438873291016
2017-05-15,36.107421875
2017-05-16,35.98493957519531
2017-05-17,35.15472412109375
2017-05-18,34.58310317993164
2017-05-19,34.78044509887695
2017-05-22,35.16153335571289
2017-05-23,35.36568069458008
2017-05-24,35.82090759277344
2017-05-25,35.81404113769531
2017-05-26,35.99256896972656
2017-05-30,36.58305358886719
2017-05-31,36.30841064453125
2017-06-01,36.99503707885742
2017-06-02,37.34519958496094
2017-06-05,37.173553466796875
2017-06-06,36.974422454833984
2017-06-07,37.07741928100586
2017-06-08,36.850833892822266
2017-06-09,37.688514709472656
2017-06-12,37.825836181640625
2017-06-13,38.35453414916992
2017-06-14,38.375125885009766
2017-06-15,38.3202018737793
2017-06-16,38.80083465576172
2017-06-19,39.09607696533203
2017-06-20,38.92441940307617
2017-06-21,38.594844818115234
2017-06-22,38.75277328491211
2017-06-23,39.034271240234375
2017-06-26,38.95188522338867
2017-06-27,38.57424545288086
2017-06-28,38.436927795410156
2017-06-29,38.23093032836914
2017-06-30,38.8694953918457
2017-07-03,39.12354278564453
2017-07-05,38.965614318847656
2017-07-06,38.5399169921875
2017-07-07,38.7047119140625
2017-07-10,39.30206298828125
2017-07-11,39.164730072021484
2017-07-12,39.281463623046875
2017-07-13,39.9268913269043
2017-07-14,39.9268913269043
2017-07-17,39.94062042236328
2017-07-18,39.569847106933594
2017-07-19,39.48744201660156
2017-07-20,39.08234405517578
2017-07-21,38.890098571777344
2017-07-24,38.965614318847656
2017-07-25,39.0686149597168
2017-07-26,38.718441009521484
2017-07-27,39.47372055053711
2017-07-28,37.585514068603516
2017-07-31,37.750308990478516
2017-08-01,37.990631103515625
2017-08-02,37.44132995605469
2017-08-03,36.84397506713867
2017-08-04,37.02935791015625
2017-08-07,37.283409118652344
2017-08-08,37.070552825927734
2017-08-09,36.672306060791016
2017-08-10,35.84837341308594
2017-08-11,36.432369232177734
2017-08-14,37.15976333618164
2017-08-15,37.014286041259766
2017-08-16,37.686275482177734
2017-08-17,37.36759948730469
2017-08-18,37.61006546020508
2017-08-21,36.841102600097656
2017-08-22,37.23597717285156
2017-08-23,37.1805534362793
2017-08-24,37.33295440673828
2017-08-25,37.81788635253906
2017-08-28,37.31218719482422
2017-08-29,36.85495376586914
2017-08-30,37.31218719482422
