,CMS
2021-03-16,52.407066345214844
2021-03-17,51.949241638183594
2021-03-18,52.092872619628906
2021-03-19,52.380130767822266
2021-03-22,52.514793395996094
2021-03-23,54.33708953857422
2021-03-24,54.65128707885742
2021-03-25,54.84878158569336
2021-03-26,54.696170806884766
2021-03-29,55.584877014160156
2021-03-30,54.77696228027344
2021-03-31,54.95649719238281
2021-04-01,54.77696228027344
2021-04-05,55.18989944458008
2021-04-06,55.39636993408203
2021-04-07,54.88468551635742
2021-04-08,54.399932861328125
2021-04-09,54.274253845214844
2021-04-12,54.54356384277344
2021-04-13,55.351478576660156
2021-04-14,55.81827926635742
2021-04-15,56.9134635925293
2021-04-16,57.523887634277344
2021-04-19,57.55979537963867
2021-04-20,58.59213638305664
2021-04-21,58.107391357421875
2021-04-22,57.90989685058594
2021-04-23,57.56877517700195
2021-04-26,57.40719223022461
2021-04-27,56.84164810180664
2021-04-28,56.599273681640625
2021-04-29,57.40719223022461
2021-04-30,57.80217742919922
2021-05-03,58.37668991088867
2021-05-04,58.52930450439453
2021-05-05,57.631614685058594
2021-05-06,58.23264694213867
2021-05-07,57.83497619628906
2021-05-10,58.66648483276367
2021-05-11,57.41920852661133
2021-05-12,56.45214080810547
2021-05-13,57.41920852661133
2021-05-14,57.3921012878418
2021-05-17,56.922115325927734
2021-05-18,57.21133804321289
2021-05-19,57.139034271240234
2021-05-20,57.609012603759766
2021-05-21,57.97957992553711
2021-05-24,57.636131286621094
2021-05-25,57.166141510009766
2021-05-26,56.8950080871582
2021-05-27,56.30752944946289
2021-05-28,56.705204010009766
2021-06-01,56.316566467285156
2021-06-02,56.41598129272461
2021-06-03,56.64193344116211
2021-06-04,56.596736907958984
2021-06-07,56.75943374633789
2021-06-08,54.52701950073242
2021-06-09,54.16548538208008
2021-06-10,54.44567108154297
2021-06-11,54.834312438964844
2021-06-14,54.499900817871094
2021-06-15,54.680667877197266
2021-06-16,53.93049240112305
2021-06-17,53.785892486572266
2021-06-18,52.52958679199219
2021-06-21,52.900150299072266
2021-06-22,52.97246170043945
2021-06-23,52.90919494628906
2021-06-24,53.415321350097656
2021-06-25,54.346248626708984
2021-06-28,54.237796783447266
2021-06-29,53.189369201660156
2021-06-30,53.39725112915039
2021-07-01,54.292022705078125
2021-07-02,54.14740753173828
2021-07-06,54.05703353881836
2021-07-07,54.36433029174805
2021-07-08,54.472782135009766
2021-07-09,54.50893783569336
2021-07-12,54.55412673950195
2021-07-13,54.228759765625
2021-07-14,54.66259002685547
2021-07-15,55.593509674072266
2021-07-16,56.04542541503906
2021-07-19,55.53927993774414
2021-07-20,55.98215103149414
2021-07-21,55.168724060058594
2021-07-22,55.34043884277344
2021-07-23,56.10868835449219
2021-07-26,56.018306732177734
2021-07-27,57.139034271240234
2021-07-28,56.2713737487793
2021-07-29,56.35272216796875
2021-07-30,55.846588134765625
2021-08-02,56.632896423339844
2021-08-03,57.157108306884766
2021-08-04,57.1751823425293
2021-08-05,57.52557373046875
2021-08-06,57.58015823364258
2021-08-09,57.571067810058594
2021-08-10,57.27984619140625
2021-08-11,57.50735855102539
2021-08-12,57.334449768066406
2021-08-13,57.75308609008789
2021-08-16,58.1262092590332
2021-08-17,58.490230560302734
2021-08-18,58.080711364746094
2021-08-19,58.253623962402344
2021-08-20,58.98168182373047
2021-08-23,58.3082275390625
2021-08-24,57.82588577270508
2021-08-25,57.91688919067383
2021-08-26,58.09891128540039
2021-08-27,58.39013671875
2021-08-30,58.68135452270508
2021-08-31,58.362831115722656
2021-09-01,59.20008850097656
2021-09-02,59.7097282409668
2021-09-03,59.118186950683594
2021-09-07,57.80768585205078
2021-09-08,58.899776458740234
2021-09-09,58.64494705200195
2021-09-10,57.88958740234375
2021-09-13,57.334449768066406
2021-09-14,57.498260498046875
2021-09-15,57.152435302734375
2021-09-16,56.861209869384766
2021-09-17,56.114952087402344
2021-09-20,56.2696647644043
2021-09-21,56.114952087402344
2021-09-22,55.96023941040039
2021-09-23,55.20487976074219
2021-09-24,55.29588317871094
2021-09-27,54.11279296875
2021-09-28,53.5667610168457
2021-09-29,54.46773147583008
2021-09-30,54.358516693115234
2021-10-01,54.358516693115234
2021-10-04,55.39600372314453
2021-10-05,54.94095993041992
2021-10-06,55.71453094482422
2021-10-07,55.12297821044922
2021-10-08,54.740753173828125
2021-10-11,54.01268768310547
2021-10-12,54.36762619018555
2021-10-13,55.177581787109375
2021-10-14,55.45970153808594
2021-10-15,54.877262115478516
2021-10-18,54.19470977783203
2021-10-19,54.82264709472656
2021-10-20,55.32319641113281
2021-10-21,55.33229446411133
2021-10-22,55.568912506103516
2021-10-25,54.831748962402344
2021-10-26,55.1502799987793
2021-10-27,54.92276382446289
2021-10-28,55.259490966796875
2021-10-29,54.92276382446289
2021-11-01,54.86815643310547
2021-11-02,55.004669189453125
2021-11-03,54.740753173828125
2021-11-04,55.02034378051758
2021-11-05,55.47869110107422
2021-11-08,54.60782241821289
2021-11-09,55.06618118286133
2021-11-10,55.81787109375
2021-11-11,55.075347900390625
2021-11-12,55.00200271606445
2021-11-15,56.07454299926758
2021-11-16,55.487850189208984
2021-11-17,55.863704681396484
2021-11-18,55.41452407836914
2021-11-19,55.8270378112793
2021-11-22,56.505393981933594
2021-11-23,56.202884674072266
2021-11-24,55.955379486083984
2021-11-26,55.12117385864258
2021-11-29,56.037879943847656
2021-11-30,53.94779968261719
2021-12-01,54.085304260253906
2021-12-02,54.59865951538086
2021-12-03,55.69869613647461
2021-12-06,56.44122314453125
2021-12-07,56.86290740966797
2021-12-08,56.72539520263672
2021-12-09,56.97291564941406
2021-12-10,57.32125473022461
2021-12-13,58.43046188354492
2021-12-14,58.182960510253906
2021-12-15,59.47549819946289
2021-12-16,59.961360931396484
2021-12-17,58.83381271362305
2021-12-20,59.14549255371094
2021-12-21,58.421302795410156
2021-12-22,58.40296173095703
2021-12-23,58.228797912597656
2021-12-27,58.586299896240234
2021-12-28,59.163818359375
2021-12-29,59.759681701660156
2021-12-30,59.677181243896484
2021-12-31,59.631343841552734
2022-01-03,59.319664001464844
2022-01-04,59.21881866455078
2022-01-05,59.95219039916992
2022-01-06,59.273834228515625
2022-01-07,59.65884017944336
2022-01-10,59.38383483886719
2022-01-11,58.549625396728516
2022-01-12,58.778804779052734
2022-01-13,59.00798797607422
2022-01-14,58.439632415771484
2022-01-18,57.917110443115234
2022-01-19,58.155452728271484
2022-01-20,58.237953186035156
2022-01-21,58.43046188354492
2022-01-24,57.38542175292969
2022-01-25,57.35792541503906
2022-01-26,57.15625
2022-01-27,57.92627716064453
2022-01-28,58.522132873535156
2022-01-31,59.017154693603516
2022-02-01,58.05461502075195
2022-02-02,58.64130783081055
2022-02-03,59.2646598815918
2022-02-04,59.292171478271484
2022-02-07,59.512168884277344
2022-02-08,59.53050994873047
2022-02-09,59.420501708984375
2022-02-10,57.68478775024414
2022-02-11,58.257198333740234
2022-02-14,57.60169219970703
2022-02-15,57.1031379699707
2022-02-16,57.16777038574219
2022-02-17,57.610931396484375
2022-02-18,57.71248245239258
2022-02-22,57.8786735534668
2022-02-23,57.250858306884766
2022-02-24,57.21392059326172
2022-02-25,59.21739196777344
2022-02-28,59.09736251831055
2022-03-01,58.746524810791016
2022-03-02,59.53129959106445
2022-03-03,60.269893646240234
2022-03-04,61.857879638671875
2022-03-07,61.83943557739258
2022-03-08,60.860782623291016
2022-03-09,60.21449661254883
2022-03-10,60.98079299926758
2022-03-11,60.897705078125
2022-03-14,61.091583251953125
2022-03-15,62.08869552612305
2022-03-16,61.36855697631836
2022-03-17,61.69169998168945
2022-03-18,61.11927795410156
2022-03-21,61.848655700683594
2022-03-22,61.86712646484375
2022-03-23,62.448768615722656
2022-03-24,62.827301025390625
2022-03-25,63.63052749633789
2022-03-28,63.815189361572266
2022-03-29,64.08293151855469
2022-03-30,64.61841583251953
2022-03-31,64.57225036621094
2022-04-01,65.64321899414062
2022-04-04,65.1723403930664
2022-04-05,65.65245056152344
2022-04-06,67.9144058227539
2022-04-07,66.8065185546875
2022-04-08,66.94501495361328
2022-04-11,66.69572448730469
2022-04-12,67.24043273925781
2022-04-13,66.38182830810547
2022-04-14,66.05868530273438
2022-04-18,65.95712280273438
2022-04-19,66.7603530883789
2022-04-20,67.43431091308594
2022-04-21,67.24967956542969
2022-04-22,66.25257110595703
2022-04-25,65.1723403930664
2022-04-26,64.97846984863281
2022-04-27,64.82151794433594
2022-04-28,65.43087768554688
2022-04-29,63.418182373046875
2022-05-02,62.59648513793945
2022-05-03,62.31026840209961
2022-05-04,63.5566520690918
2022-05-05,62.72015380859375
2022-05-06,62.97111129760742
2022-05-09,64.30024719238281
2022-05-10,63.46371841430664
2022-05-11,63.74256896972656
2022-05-12,63.74256896972656
