,TPL
2017-09-07,118.00343322753906
2017-09-08,115.91204833984375
2017-09-11,116.18655395507812
2017-09-12,112.71383666992188
2017-09-13,113.57903289794922
2017-09-14,116.20442962646484
2017-09-15,116.33871459960938
2017-09-18,116.4311752319336
2017-09-19,116.74444580078125
2017-09-20,119.73085021972656
2017-09-21,120.53040313720703
2017-09-22,119.25051879882812
2017-09-25,119.11627960205078
2017-09-26,118.75824737548828
2017-09-27,121.72378540039062
2017-09-28,122.1295394897461
2017-09-29,120.56024932861328
2017-10-02,122.38609313964844
2017-10-03,120.80787658691406
2017-10-04,121.95648956298828
2017-10-05,122.48753356933594
2017-10-06,120.88843536376953
2017-10-09,121.45526885986328
2017-10-10,123.2184829711914
2017-10-11,122.61882781982422
2017-10-12,126.21087646484375
2017-10-13,126.95071411132812
2017-10-16,126.80157470703125
2017-10-17,122.6993637084961
2017-10-18,123.51386260986328
2017-10-19,121.72675323486328
2017-10-20,122.39205932617188
2017-10-23,119.17593383789062
2017-10-24,117.80952453613281
2017-10-25,117.49032592773438
2017-10-26,116.36255645751953
2017-10-27,118.23320007324219
2017-10-30,118.04820251464844
2017-10-31,121.49107360839844
2017-11-01,121.92667388916016
2017-11-02,121.23152160644531
2017-11-03,123.32588958740234
2017-11-06,124.54012298583984
2017-11-07,122.90524291992188
2017-11-08,124.00015258789062
2017-11-09,122.6247787475586
2017-11-10,123.12897491455078
2017-11-13,122.4129638671875
2017-11-14,121.36873626708984
2017-11-15,122.10565948486328
2017-11-16,120.81084442138672
2017-11-17,122.04895782470703
2017-11-20,121.64619445800781
2017-11-21,122.31151580810547
2017-11-22,122.31151580810547
2017-11-24,122.40994262695312
2017-11-27,122.17129516601562
2017-11-28,121.42245483398438
2017-11-29,120.49760437011719
2017-11-30,121.65218353271484
2017-12-01,120.83172607421875
2017-12-04,121.15989685058594
2017-12-05,120.1365966796875
2017-12-06,119.08344268798828
2017-12-07,119.15803527832031
2017-12-08,118.88356018066406
2017-12-11,119.33702087402344
2017-12-12,119.33702087402344
2017-12-13,118.89847564697266
2017-12-14,119.17294311523438
2017-12-15,118.44499969482422
2017-12-18,119.41162872314453
2017-12-19,122.16531372070312
2017-12-20,123.25129699707031
2017-12-21,124.81160736083984
2017-12-22,129.18235778808594
2017-12-26,132.21946716308594
2017-12-27,134.2720947265625
2017-12-28,131.42884826660156
2017-12-29,133.2487335205078
2018-01-02,137.41363525390625
2018-01-03,135.1700439453125
2018-01-04,135.34011840820312
2018-01-05,134.58831787109375
2018-01-08,143.57736206054688
2018-01-09,149.64569091796875
2018-01-10,149.8097686767578
2018-01-11,161.63900756835938
2018-01-12,157.53985595703125
2018-01-16,154.5712890625
2018-01-17,159.6103057861328
2018-01-18,164.65525817871094
2018-01-19,167.05397033691406
2018-01-22,166.8033447265625
2018-01-23,161.41232299804688
2018-01-24,157.45028686523438
2018-01-25,159.61326599121094
2018-01-26,158.3483428955078
2018-01-29,164.31814575195312
2018-01-30,160.97372436523438
2018-01-31,160.22491455078125
2018-02-01,157.85906982421875
2018-02-02,155.18887329101562
2018-02-05,149.4398193359375
2018-02-06,149.50843811035156
2018-02-07,155.79153442382812
2018-02-08,148.62533569335938
2018-02-09,147.19032287597656
2018-02-12,144.86920166015625
2018-02-13,146.19383239746094
2018-02-14,148.30612182617188
2018-02-15,149.21609497070312
2018-02-16,150.88375854492188
2018-02-20,151.47752380371094
2018-02-21,150.97030639648438
2018-02-22,152.75143432617188
2018-02-23,156.80886840820312
2018-02-26,158.71826171875
2018-02-27,160.70518493652344
2018-02-28,160.83050537109375
2018-03-01,154.24313354492188
2018-03-02,155.1560821533203
2018-03-05,156.51950073242188
2018-03-06,157.4890594482422
2018-03-07,157.3070831298828
2018-03-08,157.50250244140625
2018-03-09,157.1327362060547
2018-03-12,158.59085083007812
2018-03-13,154.84475708007812
2018-03-14,155.32281494140625
2018-03-15,157.66485595703125
2018-03-16,158.578857421875
2018-03-19,154.83575439453125
2018-03-20,156.0022430419922
2018-03-21,155.7647705078125
2018-03-22,153.9337921142578
2018-03-23,150.68370056152344
2018-03-26,151.4503936767578
2018-03-27,148.84373474121094
2018-03-28,149.9682159423828
2018-03-29,151.9554901123047
2018-04-02,152.88150024414062
2018-04-03,153.9698944091797
2018-04-04,155.43402099609375
2018-04-05,156.87115478515625
2018-04-06,153.63311767578125
2018-04-09,156.74192810058594
2018-04-10,156.630615234375
2018-04-11,157.8452911376953
2018-04-12,160.7886505126953
2018-04-13,162.35206604003906
2018-04-16,162.95335388183594
2018-04-17,160.85182189941406
2018-04-18,163.76808166503906
2018-04-19,164.2130584716797
2018-04-20,165.0579376220703
2018-04-23,164.00563049316406
2018-04-24,160.98106384277344
2018-04-25,162.92625427246094
2018-04-26,162.95335388183594
2018-04-27,163.14576721191406
2018-04-30,163.81922912597656
2018-05-01,177.619140625
2018-05-02,186.476318359375
2018-05-03,188.70716857910156
2018-05-04,188.84854125976562
2018-05-07,195.6672821044922
2018-05-08,193.58375549316406
2018-05-09,194.49172973632812
2018-05-10,197.35691833496094
2018-05-11,194.16098022460938
2018-05-14,186.38015747070312
2018-05-15,186.86117553710938
2018-05-16,195.92283630371094
2018-05-17,207.47689819335938
2018-05-18,205.429443359375
2018-05-21,211.0726776123047
2018-05-22,206.48170471191406
2018-05-23,208.0360870361328
2018-05-24,209.2236785888672
2018-05-25,205.7060546875
2018-05-29,204.14266967773438
2018-05-30,208.32774353027344
2018-05-31,212.47073364257812
2018-06-01,215.27880859375
2018-06-04,211.88748168945312
2018-06-05,207.84368896484375
2018-06-06,205.88340759277344
2018-06-07,210.7149200439453
2018-06-08,213.15919494628906
2018-06-11,210.6577911376953
2018-06-12,210.75698852539062
2018-06-13,210.4443359375
2018-06-14,208.5171356201172
2018-06-15,203.89010620117188
2018-06-18,207.39273071289062
2018-06-19,212.21218872070312
2018-06-20,211.9987335205078
2018-06-21,210.87425231933594
2018-06-22,212.00469970703125
2018-06-25,210.23687744140625
2018-06-26,213.76351928710938
2018-06-27,210.99151611328125
2018-06-28,209.68968200683594
2018-06-29,209.0583038330078
2018-07-02,208.9380340576172
2018-07-03,208.79977416992188
2018-07-05,214.93605041503906
2018-07-06,216.454345703125
2018-07-09,220.51315307617188
2018-07-10,225.93992614746094
2018-07-11,235.71109008789062
2018-07-12,238.867919921875
2018-07-13,238.08631896972656
2018-07-16,237.3135528564453
2018-07-17,234.46641540527344
2018-07-18,231.9228973388672
2018-07-19,230.1490478515625
2018-07-20,232.98719787597656
2018-07-23,232.3468780517578
2018-07-24,234.0575408935547
2018-07-25,232.674560546875
2018-07-26,225.48890686035156
2018-07-27,222.48243713378906
2018-07-30,220.58828735351562
2018-07-31,222.50648498535156
2018-08-01,237.81565856933594
2018-08-02,241.54071044921875
2018-08-03,240.1667938232422
2018-08-06,241.75421142578125
2018-08-07,243.930908203125
2018-08-08,242.31344604492188
2018-08-09,242.91473388671875
2018-08-10,242.0248565673828
2018-08-13,240.28102111816406
2018-08-14,234.5987091064453
2018-08-15,235.13986206054688
2018-08-16,237.21437072753906
2018-08-17,238.61538696289062
2018-08-20,242.0248565673828
2018-08-21,240.52151489257812
2018-08-22,240.82215881347656
2018-08-23,245.13958740234375
2018-08-24,254.6521759033203
2018-08-27,257.53240966796875
2018-08-28,247.7582550048828
2018-08-29,245.03131103515625
2018-08-30,249.20738220214844
2018-08-31,250.9270782470703
2018-09-04,257.62860107421875
