,HES
2017-07-18,38.43212890625
2017-07-19,39.83256530761719
2017-07-20,39.0437126159668
2017-07-21,38.52077102661133
2017-07-24,39.114620208740234
2017-07-25,40.21369934082031
2017-07-26,38.52963638305664
2017-07-27,38.981658935546875
2017-07-28,39.70848846435547
2017-07-31,39.478031158447266
2017-08-01,38.25486373901367
2017-08-02,38.99940872192383
2017-08-03,38.29917907714844
2017-08-04,39.309627532958984
2017-08-07,37.98896789550781
2017-08-08,37.7762451171875
2017-08-09,37.54579162597656
2017-08-10,36.996253967285156
2017-08-11,36.632843017578125
2017-08-14,35.932621002197266
2017-08-15,36.07444381713867
2017-08-16,34.82469940185547
2017-08-17,34.009246826171875
2017-08-18,34.080169677734375
2017-08-21,33.76106643676758
2017-08-22,34.21310806274414
2017-08-23,34.38151168823242
2017-08-24,34.00038146972656
2017-08-25,34.12446975708008
2017-08-28,33.94719696044922
2017-08-29,33.79652404785156
2017-08-30,34.06243133544922
2017-08-31,34.47901916503906
2017-09-01,34.96650695800781
2017-09-05,35.50718307495117
2017-09-06,36.37580871582031
2017-09-07,36.632843017578125
2017-09-08,35.693321228027344
2017-09-11,36.269432067871094
2017-09-12,36.71261978149414
2017-09-13,37.3419189453125
2017-09-14,37.448280334472656
2017-09-15,37.59986114501953
2017-09-18,37.87627410888672
2017-09-19,38.099178314208984
2017-09-20,38.75006103515625
2017-09-21,38.901634216308594
2017-09-22,39.67735290527344
2017-09-25,41.10394287109375
2017-09-26,41.30010986328125
2017-09-27,41.852909088134766
2017-09-28,41.49626922607422
2017-09-29,41.80833053588867
2017-10-02,41.27335739135742
2017-10-03,40.7383918762207
2017-10-04,40.35498046875
2017-10-05,40.57789611816406
2017-10-06,39.757598876953125
2017-10-09,39.52577590942383
2017-10-10,39.507938385009766
2017-10-11,39.52577590942383
2017-10-12,39.40987014770508
2017-10-13,40.11424255371094
2017-10-16,41.05044174194336
2017-10-17,40.9791259765625
2017-10-18,40.89888000488281
2017-10-19,40.16773986816406
2017-10-20,40.1499137878418
2017-10-23,40.31040573120117
2017-10-24,39.285037994384766
2017-10-25,37.635520935058594
2017-10-26,36.80631637573242
2017-10-27,38.82139205932617
2017-10-30,38.928375244140625
2017-10-31,39.37419509887695
2017-11-01,39.4990234375
2017-11-02,39.597103118896484
2017-11-03,40.5333137512207
2017-11-06,43.00309753417969
2017-11-07,42.75344467163086
2017-11-08,41.977745056152344
2017-11-09,42.378971099853516
2017-11-10,42.00448989868164
2017-11-13,41.54085159301758
2017-11-14,40.042911529541016
2017-11-15,38.93730545043945
2017-11-16,39.31178665161133
2017-11-17,39.721923828125
2017-11-20,38.83922576904297
2017-11-21,38.40232467651367
2017-11-22,38.741146087646484
2017-11-24,39.58818817138672
2017-11-27,38.42906951904297
2017-11-28,38.678733825683594
2017-11-29,39.95375061035156
2017-11-30,40.90778732299805
2017-12-01,41.98666763305664
2017-12-04,41.523014068603516
2017-12-05,41.27335739135742
2017-12-06,39.82892990112305
2017-12-07,39.766510009765625
2017-12-08,40.560062408447266
2017-12-11,40.80079650878906
2017-12-12,40.48872375488281
2017-12-13,39.32069778442383
2017-12-14,38.04566955566406
2017-12-15,38.92461013793945
2017-12-18,39.10399627685547
2017-12-19,38.88874053955078
2017-12-20,39.45378494262695
2017-12-21,41.56145095825195
2017-12-22,42.16236114501953
2017-12-26,43.46284103393555
2017-12-27,43.17583465576172
2017-12-28,43.373138427734375
2017-12-29,42.57491683959961
2018-01-02,42.91572952270508
2018-01-03,44.3058967590332
2018-01-04,45.37318801879883
2018-01-05,46.78129196166992
2018-01-08,47.07725524902344
2018-01-09,47.050357818603516
2018-01-10,47.53466033935547
2018-01-11,49.07730484008789
2018-01-12,48.915863037109375
2018-01-16,48.01898956298828
