,GEN
2021-03-30,19.46456527709961
2021-03-31,19.612163543701172
2021-04-01,19.75975799560547
2021-04-05,20.38705825805664
2021-04-06,20.24867820739746
2021-04-07,20.06418228149414
2021-04-08,20.377826690673828
2021-04-09,20.230236053466797
2021-04-12,20.479305267333984
2021-04-13,19.870458602905273
2021-04-14,19.492238998413086
2021-04-15,19.796655654907227
2021-04-16,19.944257736206055
2021-04-19,20.110307693481445
2021-04-20,20.128755569458008
2021-04-21,20.304031372070312
2021-04-22,20.294809341430664
2021-04-23,20.525428771972656
2021-04-26,20.857524871826172
2021-04-27,20.73760223388672
2021-04-28,20.423954010009766
2021-04-29,20.294809341430664
2021-04-30,19.93503761291504
2021-05-03,19.944257736206055
2021-05-04,19.796655654907227
2021-05-05,19.593711853027344
2021-05-06,19.206262588500977
2021-05-07,19.46456527709961
2021-05-10,19.446117401123047
2021-05-11,21.54016876220703
2021-05-12,23.089954376220703
2021-05-13,23.40359878540039
2021-05-14,24.067794799804688
2021-05-17,24.086246490478516
2021-05-18,24.436792373657227
2021-05-19,24.3353214263916
2021-05-20,24.612064361572266
2021-05-21,24.64896583557129
2021-05-24,25.36850929260254
2021-05-25,25.119434356689453
2021-05-26,25.488431930541992
2021-05-27,25.506881713867188
2021-05-28,25.516109466552734
2021-06-01,25.7282772064209
2021-06-02,26.28177261352539
2021-06-03,25.885099411010742
2021-06-04,26.244873046875
2021-06-07,26.226425170898438
2021-06-08,26.184730529785156
2021-06-09,26.4997615814209
2021-06-10,26.564617156982422
2021-06-11,26.490493774414062
2021-06-14,26.360774993896484
2021-06-15,25.943819046020508
2021-06-16,25.721445083618164
2021-06-17,25.499069213867188
2021-06-18,24.850475311279297
2021-06-21,25.360084533691406
2021-06-22,25.12844467163086
2021-06-23,25.230365753173828
2021-06-24,25.3508243560791
2021-06-25,24.99872398376465
2021-06-28,25.0543212890625
2021-06-29,25.378618240356445
2021-06-30,25.221099853515625
2021-07-01,25.193302154541016
2021-07-02,25.20256805419922
2021-07-06,25.69365119934082
2021-07-07,25.795570373535156
2021-07-08,25.211833953857422
2021-07-09,25.628793716430664
2021-07-12,25.295223236083984
2021-07-13,25.20256805419922
2021-07-14,24.93386459350586
2021-07-15,23.960973739624023
2021-07-16,24.099956512451172
2021-07-19,24.127758026123047
2021-07-20,23.914644241333008
2021-07-21,23.710798263549805
2021-07-22,23.821985244750977
2021-07-23,23.88684844970703
2021-07-26,23.794193267822266
2021-07-27,23.608875274658203
2021-07-28,23.41429901123047
2021-07-29,22.812034606933594
2021-07-30,22.99734115600586
2021-08-02,22.793500900268555
2021-08-03,22.700843811035156
2021-08-04,22.441402435302734
2021-08-05,22.228296279907227
2021-08-06,22.228296279907227
2021-08-09,22.135639190673828
2021-08-10,22.37654685974121
2021-08-11,24.322330474853516
2021-08-12,24.174081802368164
2021-08-13,24.359397888183594
2021-08-16,23.979503631591797
2021-08-17,24.05362892150879
2021-08-18,23.821985244750977
2021-08-19,23.93317413330078
2021-08-20,23.975078582763672
2021-08-23,24.179906845092773
2021-08-24,24.626827239990234
2021-08-25,24.859590530395508
2021-08-26,24.868900299072266
2021-08-27,24.934078216552734
2021-08-30,24.943389892578125
2021-08-31,24.729238510131836
2021-09-01,24.906143188476562
2021-09-02,25.27857208251953
2021-09-03,25.399614334106445
2021-09-07,25.250640869140625
2021-09-08,25.529964447021484
2021-09-09,25.492719650268555
2021-09-10,25.380992889404297
2021-09-13,24.77579689025879
2021-09-14,24.37543296813965
2021-09-15,24.44060707092285
2021-09-16,24.13335418701172
2021-09-17,23.919208526611328
2021-09-20,23.49091339111328
2021-09-21,23.258150100708008
2021-09-22,23.220909118652344
2021-09-23,23.975078582763672
2021-09-24,24.040252685546875
2021-09-27,24.03093910217285
2021-09-28,23.872657775878906
2021-09-29,23.78885841369629
2021-09-30,23.556089401245117
2021-10-01,23.798168182373047
2021-10-04,23.314014434814453
2021-10-05,23.509536743164062
2021-10-06,23.509536743164062
2021-10-07,23.956453323364258
2021-10-08,23.900590896606445
2021-10-11,23.826101303100586
2021-10-12,23.630578994750977
2021-10-13,23.351259231567383
2021-10-14,23.546783447265625
2021-10-15,23.556089401245117
2021-10-18,23.947141647338867
2021-10-19,24.040252685546875
2021-10-20,24.328882217407227
2021-10-21,24.477853775024414
2021-10-22,24.8316593170166
2021-10-25,24.8316593170166
2021-10-26,24.533716201782227
2021-10-27,24.03093910217285
2021-10-28,24.189220428466797
2021-10-29,23.695755004882812
2021-11-01,23.60264778137207
2021-11-02,23.49091339111328
2021-11-03,23.621265411376953
2021-11-04,23.230220794677734
2021-11-05,23.062625885009766
2021-11-08,24.096111297607422
2021-11-09,23.379194259643555
2021-11-10,23.258150100708008
2021-11-11,23.304704666137695
2021-11-12,23.77023696899414
2021-11-15,23.41642951965332
2021-11-16,23.481603622436523
2021-11-17,23.230220794677734
2021-11-18,23.071935653686523
2021-11-19,23.394784927368164
2021-11-22,23.15147590637207
2021-11-23,23.16083335876465
2021-11-24,23.581939697265625
2021-11-26,23.385427474975586
2021-11-29,23.684879302978516
2021-11-30,23.254413604736328
2021-12-01,22.290552139282227
2021-12-02,22.543210983276367
2021-12-03,22.580644607543945
