,AMAT
2020-02-21,61.5297966003418
2020-02-24,58.47581481933594
2020-02-25,56.3504638671875
2020-02-26,57.25995635986328
2020-02-27,54.569759368896484
2020-02-28,55.64200973510742
2020-03-02,57.59503173828125
2020-03-03,55.565425872802734
2020-03-04,57.93968200683594
2020-03-05,56.608951568603516
2020-03-06,55.326072692871094
2020-03-09,49.84995651245117
2020-03-10,53.775142669677734
2020-03-11,50.252052307128906
2020-03-12,43.18669509887695
2020-03-13,48.72026824951172
2020-03-16,38.801963806152344
2020-03-17,42.947364807128906
2020-03-18,37.509525299072266
2020-03-19,38.47645950317383
2020-03-20,36.370262145996094
2020-03-23,38.45732498168945
2020-03-24,43.215423583984375
2020-03-25,42.82289505004883
2020-03-26,47.102325439453125
2020-03-27,43.12926483154297
2020-03-30,45.283329010009766
2020-03-31,43.866424560546875
2020-04-01,41.45387268066406
2020-04-02,41.396427154541016
2020-04-03,40.47736358642578
2020-04-06,44.18235397338867
2020-04-07,45.53224563598633
2020-04-08,49.26595687866211
2020-04-09,47.47569274902344
2020-04-13,47.75334167480469
2020-04-14,50.23289108276367
2020-04-15,48.22243881225586
2020-04-16,50.003135681152344
2020-04-17,50.93177032470703
2020-04-20,48.47135925292969
2020-04-21,46.2694206237793
2020-04-22,49.88825607299805
2020-04-23,48.729835510253906
2020-04-24,49.53403091430664
2020-04-27,48.85430145263672
2020-04-28,48.270301818847656
2020-04-29,52.023170471191406
2020-04-30,47.56185531616211
2020-05-01,44.89080810546875
2020-05-04,45.551395416259766
2020-05-05,46.767242431640625
2020-05-06,48.346900939941406
2020-05-07,49.064918518066406
2020-05-08,51.51576614379883
2020-05-11,51.70724105834961
2020-05-12,50.098876953125
2020-05-13,49.294681549072266
2020-05-14,52.109344482421875
2020-05-15,49.82123565673828
2020-05-18,52.04231643676758
2020-05-19,53.1049919128418
2020-05-20,54.67171096801758
2020-05-21,52.88391876220703
2020-05-22,52.27837371826172
2020-05-26,52.99925994873047
2020-05-27,54.21034622192383
2020-05-28,52.54751205444336
2020-05-29,53.9988899230957
2020-06-01,53.52791213989258
2020-06-02,53.6240234375
2020-06-03,55.565608978271484
2020-06-04,55.873172760009766
2020-06-05,57.85320281982422
2020-06-08,57.574466705322266
2020-06-09,57.4687385559082
2020-06-10,57.53601837158203
2020-06-11,53.2587890625
2020-06-12,54.35451889038086
2020-06-15,54.83510971069336
2020-06-16,56.26726150512695
2020-06-17,57.67058181762695
2020-06-18,58.035831451416016
2020-06-19,58.58369064331055
2020-06-22,58.89126968383789
2020-06-23,58.47796630859375
2020-06-24,57.641746520996094
2020-06-25,57.6513557434082
2020-06-26,56.11347961425781
2020-06-29,56.76707458496094
2020-06-30,58.10310745239258
2020-07-01,57.363006591796875
2020-07-02,58.631752014160156
2020-07-06,60.996253967285156
2020-07-07,59.765953063964844
2020-07-08,60.333045959472656
2020-07-09,61.025089263916016
2020-07-10,60.16002655029297
2020-07-13,59.12195587158203
2020-07-14,60.11196517944336
2020-07-15,59.689048767089844
2020-07-16,59.91973876953125
2020-07-17,59.881282806396484
2020-07-20,61.255767822265625
2020-07-21,61.332664489746094
2020-07-22,61.726749420166016
2020-07-23,61.1596565246582
2020-07-24,58.266510009765625
2020-07-27,60.563716888427734
2020-07-28,59.881282806396484
2020-07-29,60.794403076171875
