,BKR
2018-06-29,27.227310180664062
2018-07-02,27.153118133544922
2018-07-03,27.44162940979004
2018-07-05,27.408655166625977
2018-07-06,27.754867553710938
2018-07-09,28.389598846435547
2018-07-10,28.249462127685547
2018-07-11,27.13663673400879
2018-07-12,27.012985229492188
2018-07-13,26.8975830078125
2018-07-16,26.65028190612793
2018-07-17,26.90581703186035
2018-07-18,26.831632614135742
2018-07-19,26.1969051361084
2018-07-20,26.37825584411621
2018-07-23,26.79041862487793
2018-07-24,27.194334030151367
2018-07-25,27.42514419555664
2018-07-26,28.043386459350586
2018-07-27,28.628650665283203
2018-07-30,28.59568214416504
2018-07-31,28.5049991607666
2018-08-01,28.249462127685547
2018-08-02,27.977436065673828
2018-08-03,27.927976608276367
2018-08-06,28.76878547668457
2018-08-07,28.999597549438477
2018-08-08,28.892427444458008
2018-08-09,28.579191207885742
2018-08-10,28.645139694213867
2018-08-13,28.272260665893555
2018-08-14,28.114831924438477
2018-08-15,26.35816764831543
2018-08-16,26.16758918762207
2018-08-17,25.69527816772461
2018-08-20,26.523883819580078
2018-08-21,26.755901336669922
2018-08-22,26.94648551940918
2018-08-23,26.772476196289062
2018-08-24,27.16192626953125
2018-08-27,27.576223373413086
2018-08-28,27.68394660949707
2018-08-29,28.17282485961914
2018-08-30,28.156253814697266
2018-08-31,27.319360733032227
2018-09-04,26.83047866821289
2018-09-05,26.24216079711914
2018-09-06,25.6787052154541
2018-09-07,26.035011291503906
2018-09-10,26.457603454589844
2018-09-11,27.004487991333008
2018-09-12,26.84705352783203
2018-09-13,26.747615814208984
2018-09-14,26.151018142700195
2018-09-17,26.192447662353516
2018-09-18,26.722759246826172
2018-09-19,27.236501693725586
2018-09-20,26.896764755249023
2018-09-21,27.26136016845703
2018-09-24,27.21164321899414
2018-09-25,27.733667373657227
2018-09-26,28.023677825927734
2018-09-27,28.031965255737305
2018-09-28,28.031965255737305
2018-10-01,27.327648162841797
2018-10-02,26.722759246826172
2018-10-03,26.54046058654785
2018-10-04,26.805620193481445
2018-10-05,26.432741165161133
2018-10-08,26.42445945739746
2018-10-09,27.037630081176758
2018-10-10,26.449316024780273
2018-10-11,25.405261993408203
2018-10-12,25.562702178955078
2018-10-15,25.43012237548828
2018-10-16,25.554414749145508
2018-10-17,25.51297950744629
2018-10-18,25.239540100097656
2018-10-19,24.80866050720215
2018-10-22,24.850093841552734
2018-10-23,23.93033218383789
2018-10-24,22.69569969177246
2018-10-25,22.82827377319336
2018-10-26,22.67084312438965
2018-10-29,22.032814025878906
2018-10-30,22.587980270385742
2018-10-31,22.115676879882812
2018-11-01,21.452777862548828
2018-11-02,21.601932525634766
2018-11-05,22.24825096130371
2018-11-06,22.5051212310791
2018-11-07,22.413969039916992
2018-11-08,22.165388107299805
2018-11-09,21.13791275024414
2018-11-12,19.58839988708496
2018-11-13,19.720977783203125
2018-11-14,19.18238067626953
2018-11-15,19.441265106201172
2018-11-16,19.516422271728516
2018-11-19,19.207439422607422
2018-11-20,18.714725494384766
2018-11-21,18.80658721923828
2018-11-23,18.756481170654297
2018-11-26,18.923498153686523
2018-11-27,18.689666748046875
2018-11-28,19.157331466674805
2018-11-29,19.299293518066406
2018-11-30,19.057113647460938
2018-12-03,19.41621208190918
2018-12-04,18.48924446105957
2018-12-06,17.929719924926758
2018-12-07,18.088394165039062
2018-12-10,17.76270294189453
2018-12-11,17.77940559387207
2018-12-12,18.013229370117188
2018-12-13,18.397382736206055
2018-12-14,17.91301918029785
2018-12-17,18.054988861083984
2018-12-18,17.720943450927734
2018-12-19,17.570629119873047
2018-12-20,17.386905670166016
2018-12-21,17.428659439086914
2018-12-24,17.102970123291016
2018-12-26,17.971477508544922
2018-12-27,17.938074111938477
2018-12-28,17.9046688079834
2018-12-31,17.954774856567383
2019-01-02,17.578977584838867
2019-01-03,17.462064743041992
2019-01-04,18.338924407958984
2019-01-07,18.831640243530273
2019-01-08,19.382810592651367
2019-01-09,19.349403381347656
2019-01-10,19.499725341796875
2019-01-11,19.290945053100586
2019-01-14,19.407861709594727
2019-01-15,19.224138259887695
2019-01-16,19.332700729370117
2019-01-17,19.75025749206543
2019-01-18,20.14275360107422
2019-01-22,19.850465774536133
2019-01-23,19.190738677978516
2019-01-24,19.2408390045166
2019-01-25,19.616636276245117
2019-01-28,19.190738677978516
2019-01-29,19.34105110168457
2019-01-30,19.9924373626709
2019-01-31,19.683446884155273
2019-02-01,20.491315841674805
2019-02-04,20.68486976623535
2019-02-05,21.063554763793945
2019-02-06,20.937326431274414
2019-02-07,20.524978637695312
2019-02-08,20.71011734008789
