,A
2019-08-13,65.20924377441406
2019-08-14,63.23291015625
2019-08-15,67.08915710449219
2019-08-16,68.52560424804688
2019-08-19,69.1715316772461
2019-08-20,68.5641860961914
2019-08-21,69.6053695678711
2019-08-22,69.16189575195312
2019-08-23,67.05060577392578
2019-08-26,67.13735961914062
2019-08-27,66.98310852050781
2019-08-28,67.42659759521484
2019-08-29,68.15926361083984
2019-08-30,68.55453491210938
2019-09-03,67.87969207763672
2019-09-04,68.31353759765625
2019-09-05,70.87793731689453
2019-09-06,71.61062622070312
2019-09-09,71.51419830322266
2019-09-10,72.08300018310547
2019-09-11,74.2232437133789
2019-09-12,74.78238677978516
2019-09-13,75.10054016113281
2019-09-16,74.37748718261719
2019-09-17,73.65442657470703
2019-09-18,74.78238677978516
2019-09-19,75.26441955566406
2019-09-20,75.16800689697266
2019-09-23,75.2547836303711
2019-09-24,73.2398910522461
2019-09-25,73.58695220947266
2019-09-26,73.7701187133789
2019-09-27,73.6447982788086
2019-09-30,74.03512573242188
2019-10-01,72.30573272705078
2019-10-02,70.8661880493164
2019-10-03,71.36858367919922
2019-10-04,73.31050109863281
2019-10-07,72.55692291259766
2019-10-08,70.03529357910156
2019-10-09,70.98211669921875
2019-10-10,71.4941635131836
2019-10-11,72.7501449584961
2019-10-14,72.63420867919922
