,PNC
2018-12-21,89.79498291015625
2018-12-24,88.36133575439453
2018-12-26,92.49308013916016
2018-12-27,93.22599792480469
2018-12-28,92.9199447631836
2018-12-31,94.16026306152344
2019-01-02,95.69053649902344
2019-01-03,95.25563049316406
2019-01-04,97.63963317871094
2019-01-07,97.42217254638672
2019-01-08,97.5751953125
2019-01-09,97.30135345458984
2019-01-10,96.31072998046875
2019-01-11,96.68926239013672
2019-01-14,97.09197235107422
2019-01-15,97.5510482788086
2019-01-16,98.39530181884766
2019-01-17,98.94731140136719
2019-01-18,101.67485809326172
2019-01-22,101.13097381591797
2019-01-23,100.97672271728516
2019-01-24,100.50590515136719
2019-01-25,101.406982421875
2019-01-28,101.36637878417969
2019-01-29,100.92801666259766
2019-01-30,100.38412475585938
2019-01-31,99.58048248291016
2019-02-01,99.62918853759766
2019-02-04,101.17154693603516
2019-02-05,99.86461639404297
2019-02-06,99.53178405761719
2019-02-07,99.7184829711914
2019-02-08,98.41962432861328
2019-02-11,98.68753051757812
2019-02-12,99.97013854980469
2019-02-13,98.61447143554688
2019-02-14,97.90821075439453
2019-02-15,100.78191375732422
2019-02-19,101.43132781982422
2019-02-20,102.70581817626953
2019-02-21,101.39886474609375
2019-02-22,100.78191375732422
2019-02-25,100.40849304199219
2019-02-26,100.01885223388672
2019-02-27,102.056396484375
2019-02-28,102.29991912841797
2019-03-01,102.7869873046875
2019-03-04,102.55156707763672
2019-03-05,103.76112365722656
2019-03-06,103.45265197753906
2019-03-07,102.27557373046875
2019-03-08,102.85194396972656
2019-03-11,104.36183166503906
2019-03-12,103.67182922363281
2019-03-13,104.66218566894531
2019-03-14,105.20608520507812
2019-03-15,105.41716003417969
2019-03-18,107.05692291259766
2019-03-19,105.10867309570312
2019-03-20,101.84532928466797
2019-03-21,99.7671890258789
2019-03-22,96.74737548828125
2019-03-25,96.74737548828125
2019-03-26,98.59822845458984
2019-03-27,98.44400024414062
2019-03-28,99.73472595214844
2019-03-29,99.5723648071289
2019-04-01,103.02242279052734
2019-04-02,102.90065002441406
2019-04-03,102.94123077392578
2019-04-04,104.2481918334961
2019-04-05,103.83419799804688
2019-04-08,104.10205078125
2019-04-09,102.93310546875
2019-04-10,103.33088684082031
2019-04-11,104.49170684814453
2019-04-12,107.72258758544922
2019-04-15,107.15841674804688
2019-04-16,108.86726379394531
2019-04-17,109.45594787597656
2019-04-18,108.89996337890625
2019-04-22,109.4723129272461
2019-04-23,109.72578430175781
2019-04-24,109.70124053955078
2019-04-25,109.75847625732422
2019-04-26,111.27108001708984
2019-04-29,112.02328491210938
2019-04-30,111.9579086303711
2019-05-01,110.55158996582031
2019-05-02,111.14845275878906
2019-05-03,112.09690856933594
2019-05-06,111.41826629638672
2019-05-07,108.7037353515625
2019-05-08,107.91880798339844
2019-05-09,107.87793731689453
2019-05-10,108.28675842285156
2019-05-13,105.0244140625
2019-05-14,106.09549713134766
2019-05-15,105.21246337890625
2019-05-16,107.19114685058594
2019-05-17,106.47161865234375
2019-05-20,107.38735961914062
2019-05-21,107.99243927001953
2019-05-22,107.94334411621094
2019-05-23,106.26722717285156
2019-05-24,107.9024658203125
2019-05-28,105.99738311767578
2019-05-29,106.31627655029297
2019-05-30,105.15522003173828
2019-05-31,104.05142211914062
2019-06-03,105.4495620727539
2019-06-04,109.0716781616211
2019-06-05,109.76667022705078
2019-06-06,109.35784149169922
2019-06-07,108.64649963378906
2019-06-10,109.87296295166016
2019-06-11,110.52703857421875
2019-06-12,109.64400482177734
2019-06-13,109.34149169921875
2019-06-14,110.55158996582031
2019-06-17,108.36849975585938
2019-06-18,109.913818359375
2019-06-19,108.94902038574219
2019-06-20,108.66285705566406
2019-06-21,108.88360595703125
2019-06-24,109.29242706298828
2019-06-25,109.03898620605469
2019-06-26,109.26791381835938
2019-06-27,110.10189056396484
