,RCL
2020-05-22,43.0394172668457
2020-05-26,49.44445037841797
2020-05-27,54.163421630859375
2020-05-28,51.57946014404297
2020-05-29,51.749061584472656
2020-06-01,55.51027297973633
2020-06-02,55.86943435668945
2020-06-03,57.97451400756836
2020-06-04,57.55549240112305
2020-06-05,69.2780990600586
2020-06-08,74.94485473632812
2020-06-09,69.74700164794922
2020-06-10,63.44173812866211
2020-06-11,54.382904052734375
2020-06-12,61.037357330322266
2020-06-15,60.688175201416016
2020-06-16,62.354278564453125
2020-06-17,57.89469909667969
2020-06-18,59.21162033081055
2020-06-19,55.141136169433594
2020-06-22,51.73908615112305
2020-06-23,54.23325729370117
2020-06-24,48.12752914428711
2020-06-25,48.46673583984375
2020-06-26,46.30179214477539
2020-06-29,50.18272018432617
2020-06-30,50.18272018432617
2020-07-01,50.711490631103516
2020-07-02,49.394561767578125
2020-07-06,49.903377532958984
2020-07-07,47.44911193847656
2020-07-08,49.9532585144043
2020-07-09,47.010135650634766
2020-07-10,51.649295806884766
2020-07-13,49.424495697021484
2020-07-14,48.03773880004883
2020-07-15,58.22393035888672
2020-07-16,53.81423568725586
2020-07-17,53.0161018371582
2020-07-20,52.277828216552734
2020-07-21,52.6768913269043
2020-07-22,51.33004379272461
2020-07-23,50.332374572753906
2020-07-24,50.711490631103516
2020-07-27,49.185054779052734
