,CME
2019-02-25,144.49200439453125
2019-02-26,144.99668884277344
2019-02-27,146.42135620117188
2019-02-28,148.09022521972656
2019-03-01,148.64381408691406
2019-03-04,146.77952575683594
2019-03-05,143.2708740234375
2019-03-06,141.85435485839844
2019-03-07,141.0367431640625
2019-03-08,140.2518768310547
2019-03-11,139.6631622314453
2019-03-12,139.2952117919922
2019-03-13,138.73924255371094
2019-03-14,137.70912170410156
2019-03-15,139.107177734375
2019-03-18,138.90277099609375
2019-03-19,137.95436096191406
2019-03-20,134.7330322265625
2019-03-21,134.35690307617188
2019-03-22,133.5311279296875
2019-03-25,134.22607421875
2019-03-26,134.209716796875
2019-03-27,132.92608642578125
2019-03-28,133.07325744628906
2019-03-29,134.56129455566406
2019-04-01,136.1719970703125
2019-04-02,137.41473388671875
2019-04-03,137.71725463867188
2019-04-04,138.46946716308594
2019-04-05,139.0663299560547
2019-04-08,140.94679260253906
2019-04-09,139.61407470703125
2019-04-10,139.04177856445312
2019-04-11,139.4342498779297
2019-04-12,141.38011169433594
2019-04-15,141.7725372314453
2019-04-16,142.1976776123047
2019-04-17,144.65057373046875
2019-04-18,144.1926727294922
2019-04-22,142.90087890625
2019-04-23,142.90907287597656
2019-04-24,144.07003784179688
2019-04-25,145.54176330566406
2019-04-26,146.35934448242188
2019-04-29,145.14932250976562
2019-04-30,146.26939392089844
2019-05-01,143.3260498046875
2019-05-02,141.28201293945312
2019-05-03,142.18954467773438
2019-05-06,145.6562042236328
2019-05-07,145.62350463867188
2019-05-08,145.71340942382812
2019-05-09,147.17694091796875
2019-05-10,149.572509765625
2019-05-13,149.04930114746094
2019-05-14,149.85867309570312
2019-05-15,148.6649932861328
2019-05-16,149.44989013671875
2019-05-17,150.31655883789062
2019-05-20,151.7800750732422
2019-05-21,152.5404510498047
2019-05-22,151.92721557617188
2019-05-23,152.72848510742188
2019-05-24,153.6442108154297
2019-05-28,153.1045684814453
2019-05-29,155.7699432373047
2019-05-30,157.2743377685547
2019-05-31,157.078125
2019-06-03,157.79762268066406
2019-06-04,159.40013122558594
2019-06-05,163.4227294921875
2019-06-06,164.2484893798828
2019-06-07,165.865234375
2019-06-10,166.74337768554688
2019-06-11,163.1077880859375
2019-06-12,163.21446228027344
2019-06-13,161.45826721191406
2019-06-14,161.75367736816406
2019-06-17,159.84153747558594
2019-06-18,160.70326232910156
2019-06-19,161.9342498779297
2019-06-20,163.16525268554688
2019-06-21,162.04916381835938
2019-06-24,162.8369598388672
2019-06-25,162.75489807128906
2019-06-26,157.59292602539062
2019-06-27,159.1275177001953
2019-06-28,159.29986572265625
2019-07-01,161.3351593017578
2019-07-02,163.9448699951172
2019-07-03,165.50413513183594
2019-07-05,166.43972778320312
2019-07-08,165.76678466796875
2019-07-09,165.76678466796875
2019-07-10,166.7351531982422
2019-07-11,169.39414978027344
2019-07-12,170.26402282714844
2019-07-15,169.0740203857422
2019-07-16,166.98953247070312
2019-07-17,167.49017333984375
2019-07-18,169.27102661132812
2019-07-19,168.11390686035156
2019-07-22,169.1725311279297
2019-07-23,168.5242156982422
2019-07-24,165.4795379638672
2019-07-25,165.49598693847656
2019-07-26,165.01171875
2019-07-29,163.8381805419922
2019-07-30,161.92604064941406
2019-07-31,159.5543212890625
2019-08-01,164.6260528564453
2019-08-02,168.36825561523438
2019-08-05,165.676513671875
2019-08-06,171.0108184814453
2019-08-07,171.4293670654297
2019-08-08,173.24302673339844
2019-08-09,177.03453063964844
2019-08-12,174.1868133544922
2019-08-13,175.0485076904297
2019-08-14,170.97799682617188
2019-08-15,174.56436157226562
2019-08-16,175.27825927734375
2019-08-19,177.83877563476562
2019-08-20,175.49989318847656
2019-08-21,175.2044219970703
2019-08-22,174.99928283691406
2019-08-23,173.34152221679688
2019-08-26,176.14820861816406
2019-08-27,177.44482421875
2019-08-28,177.0673370361328
2019-08-29,177.00990295410156
2019-08-30,178.32296752929688
2019-09-03,178.70864868164062
2019-09-04,181.41690063476562
2019-09-05,181.51536560058594
2019-09-06,183.06643676757812
2019-09-09,177.51646423339844
2019-09-10,169.1585693359375
2019-09-11,166.81182861328125
2019-09-12,169.117431640625
2019-09-13,169.4632568359375
2019-09-16,170.451416015625
2019-09-17,176.81658935546875
2019-09-18,178.0023193359375
2019-09-19,174.52740478515625
2019-09-20,173.86862182617188
2019-09-23,174.79916381835938
2019-09-24,175.31793212890625
2019-09-25,175.62255859375
2019-09-26,177.85406494140625
2019-09-27,176.12489318847656
2019-09-30,174.02511596679688
2019-10-01,173.5145721435547
2019-10-02,171.1431121826172
2019-10-03,172.4523468017578
2019-10-04,177.87879943847656
2019-10-07,175.6637420654297
2019-10-08,174.68385314941406
2019-10-09,177.14593505859375
2019-10-10,177.7717742919922
2019-10-11,175.2520294189453
2019-10-14,174.85678100585938
2019-10-15,175.0379180908203
2019-10-16,174.57681274414062
2019-10-17,175.4002227783203
2019-10-18,175.5320281982422
2019-10-21,169.68556213378906
2019-10-22,166.3507080078125
2019-10-23,166.52362060546875
2019-10-24,167.363525390625
2019-10-25,165.0661163330078
2019-10-28,165.23081970214844
2019-10-29,165.51077270507812
2019-10-30,168.7798309326172
2019-10-31,169.422119140625
2019-11-01,165.9307098388672
2019-11-04,162.23350524902344
2019-11-05,162.1758575439453
2019-11-06,163.52626037597656
2019-11-07,163.86390686035156
2019-11-08,163.180419921875
2019-11-11,163.5757293701172
2019-11-12,165.91427612304688
2019-11-13,168.4916534423828
2019-11-14,169.6691131591797
2019-11-15,168.145751953125
2019-11-18,169.0762481689453
2019-11-19,169.7761688232422
2019-11-20,170.15493774414062
2019-11-21,169.20803833007812
2019-11-22,170.36903381347656
2019-11-25,170.2866973876953
2019-11-26,169.5209197998047
2019-11-27,165.49427795410156
2019-11-29,166.93533325195312
2019-12-02,167.42117309570312
2019-12-03,168.07989501953125
2019-12-04,168.62335205078125
2019-12-05,170.80545043945312
2019-12-06,169.5950164794922
2019-12-09,169.4132080078125
2019-12-10,169.5041046142578
