,WY
2023-10-10,29.056995391845703
2023-10-11,29.57811164855957
2023-10-12,28.99909210205078
2023-10-13,28.892942428588867
2023-10-16,29.028045654296875
2023-10-17,28.98944664001465
2023-10-18,28.661334991455078
2023-10-19,28.304275512695312
2023-10-20,28.22707176208496
2023-10-23,27.83141326904297
2023-10-24,27.92791175842285
2023-10-25,27.609455108642578
2023-10-26,27.995466232299805
2023-10-27,27.61910629272461
2023-10-30,27.55155372619629
2023-10-31,27.686656951904297
2023-11-01,27.74456024169922
2023-11-02,29.105249404907227
2023-11-03,30.002727508544922
2023-11-06,29.780771255493164
2023-11-07,29.375455856323242
2023-11-08,29.182451248168945
2023-11-09,28.7095890045166
2023-11-10,29.095598220825195
2023-11-13,28.786788940429688
2023-11-14,30.523841857910156
2023-11-15,30.610692977905273
2023-11-16,30.62999153137207
2023-11-17,30.80369758605957
2023-11-20,31.102855682373047
2023-11-21,30.66859245300293
2023-11-22,30.871248245239258
2023-11-24,30.822999954223633
2023-11-27,30.514190673828125
2023-11-28,30.436988830566406
2023-11-29,30.591392517089844
2023-11-30,30.43605613708496
2023-12-01,30.814685821533203
2023-12-04,30.65934944152832
2023-12-05,30.377805709838867
2023-12-06,30.329259872436523
2023-12-07,29.989463806152344
2023-12-08,29.970050811767578
2023-12-11,30.173927307128906
2023-12-12,29.766172409057617
2023-12-13,31.067106246948242
2023-12-14,32.9505500793457
2023-12-15,32.368038177490234
2023-12-18,32.57191848754883
2023-12-19,33.445682525634766
2023-12-20,33.10588073730469
2023-12-21,33.11559295654297
2023-12-22,33.358306884765625
2023-12-26,33.62042999267578
2023-12-27,33.74664306640625
2023-12-28,34.07673263549805
2023-12-29,33.756351470947266
2024-01-02,33.7757682800293
2024-01-03,33.06705093383789
2024-01-04,32.61075210571289
2024-01-05,32.69812774658203
2024-01-08,33.05733871459961
2024-01-09,32.75638198852539
2024-01-10,32.8437614440918
2024-01-11,32.8631706237793
2024-01-12,32.64958572387695
2024-01-16,32.10591506958008
2024-01-17,31.523405075073242
2024-01-18,31.63990592956543
2024-01-19,31.8923282623291
2024-01-22,32.46512222290039
2024-01-23,32.31949996948242
2024-01-24,32.16416549682617
2024-01-25,32.348628997802734
2024-01-26,32.14474868774414
2024-01-29,32.02824401855469
2024-01-30,32.12532424926758
2024-01-31,31.814659118652344
2024-02-01,32.474830627441406
2024-02-02,31.94087028503418
2024-02-05,31.426319122314453
2024-02-06,31.853492736816406
2024-02-07,31.90203285217285
2024-02-08,32.04766082763672
2024-02-09,32.30978775024414
2024-02-12,32.5525016784668
2024-02-13,31.882619857788086
2024-02-14,32.067073822021484
2024-02-15,32.58382034301758
2024-02-16,32.164573669433594
2024-02-20,32.232826232910156
2024-02-21,32.330322265625
2024-02-22,32.84706115722656
2024-02-23,32.54481506347656
2024-02-26,31.959829330444336
2024-02-27,32.07682800292969
2024-02-28,33.37355041503906
2024-02-29,33.519798278808594
2024-03-01,34.03653335571289
2024-03-04,34.47528076171875
2024-03-05,33.57829284667969
2024-03-06,33.69529342651367
2024-03-07,33.705101013183594
2024-03-08,34.16600799560547
2024-03-11,34.39155960083008
2024-03-12,33.803165435791016
