,AON
2017-08-14,130.73837280273438
2017-08-15,130.38259887695312
2017-08-16,130.4200897216797
2017-08-17,127.96746063232422
2017-08-18,127.7989501953125
2017-08-21,129.34353637695312
2017-08-22,130.6541290283203
2017-08-23,129.39036560058594
2017-08-24,128.97848510742188
2017-08-25,129.23121643066406
2017-08-28,129.54014587402344
2017-08-29,129.09078979492188
2017-08-30,129.3248291015625
2017-08-31,130.27029418945312
2017-09-01,129.9894561767578
2017-09-05,131.38430786132812
2017-09-06,131.27200317382812
2017-09-07,129.75550842285156
2017-09-08,133.5279998779297
2017-09-11,133.54672241210938
2017-09-12,133.7620391845703
2017-09-13,133.85562133789062
2017-09-14,133.0599822998047
2017-09-15,134.1551971435547
2017-09-18,134.84791564941406
2017-09-19,135.21302795410156
2017-09-20,136.65464782714844
2017-09-21,135.6810760498047
2017-09-22,136.69212341308594
2017-09-25,135.9432373046875
2017-09-26,136.93545532226562
2017-09-27,137.07591247558594
2017-09-28,137.5626983642578
2017-09-29,136.7670135498047
2017-10-02,137.88096618652344
2017-10-03,137.8997039794922
2017-10-04,137.28184509277344
2017-10-05,137.2724609375
2017-10-06,137.4596710205078
2017-10-09,137.93716430664062
2017-10-10,138.19924926757812
2017-10-11,138.33033752441406
2017-10-12,139.7064208984375
2017-10-13,139.8374786376953
2017-10-16,140.37107849121094
2017-10-17,139.66897583007812
2017-10-18,140.04339599609375
2017-10-19,141.18545532226562
2017-10-20,141.85948181152344
2017-10-23,142.23394775390625
2017-10-24,142.64578247070312
2017-10-25,141.9624481201172
2017-10-26,141.55056762695312
2017-10-27,136.84185791015625
2017-10-30,134.28631591796875
2017-10-31,134.6053466796875
2017-11-01,134.05169677734375
2017-11-02,130.41038513183594
2017-11-03,130.11007690429688
2017-11-06,131.55531311035156
2017-11-07,131.58346557617188
2017-11-08,132.20286560058594
2017-11-09,134.6334991455078
2017-11-10,134.4364471435547
2017-11-13,133.1601104736328
2017-11-14,134.70852661132812
2017-11-15,134.04225158691406
2017-11-16,132.58766174316406
2017-11-17,132.4937744140625
2017-11-20,133.3102264404297
2017-11-21,132.73779296875
2017-11-22,130.67315673828125
2017-11-24,130.1006622314453
2017-11-27,129.6220703125
2017-11-28,131.33001708984375
2017-11-29,131.8274688720703
2017-11-30,131.5928192138672
2017-12-01,133.48858642578125
2017-12-04,131.07667541503906
2017-12-05,130.67315673828125
2017-12-06,130.55116271972656
2017-12-07,129.94113159179688
2017-12-08,129.96929931640625
2017-12-11,129.7909698486328
2017-12-12,129.9786834716797
2017-12-13,128.15802001953125
2017-12-14,128.1768035888672
2017-12-15,129.87548828125
2017-12-18,128.74928283691406
2017-12-19,128.44894409179688
2017-12-20,127.99848175048828
2017-12-21,127.0130844116211
2017-12-22,125.14554595947266
2017-12-26,125.09858703613281
2017-12-27,125.68045806884766
2017-12-28,126.24356842041016
2017-12-29,125.75554656982422
2018-01-02,123.39997863769531
2018-01-03,125.37076568603516
2018-01-04,127.08814239501953
2018-01-05,128.16741943359375
2018-01-08,128.1768035888672
2018-01-09,128.49583435058594
2018-01-10,128.25189208984375
2018-01-11,126.9473648071289
2018-01-12,128.14866638183594
2018-01-16,126.26229095458984
2018-01-17,128.1017608642578
2018-01-18,126.7690658569336
2018-01-19,126.86296081542969
2018-01-22,127.61372375488281
2018-01-23,128.96510314941406
2018-01-24,130.2884063720703
2018-01-25,130.96405029296875
2018-01-26,134.6428680419922
2018-01-29,133.5824432373047
2018-01-30,133.02871704101562
2018-01-31,133.7625732421875
2018-02-01,135.9359588623047
2018-02-02,135.0985870361328
2018-02-05,132.04080200195312
2018-02-06,131.64569091796875
2018-02-07,132.2384033203125
2018-02-08,128.00450134277344
2018-02-09,129.7545166015625
2018-02-12,131.68325805664062
2018-02-13,130.9964141845703
2018-02-14,131.69271850585938
2018-02-15,132.5582733154297
2018-02-16,132.53004455566406
2018-02-20,132.39834594726562
2018-02-21,131.12815856933594
2018-02-22,130.89297485351562
2018-02-23,133.51800537109375
2018-02-26,134.8258056640625
2018-02-27,134.03543090820312
2018-02-28,132.02200317382812
2018-03-01,129.3217010498047
2018-03-02,130.3002166748047
2018-03-05,133.01931762695312
2018-03-06,133.7625732421875
2018-03-07,134.0636749267578
2018-03-08,135.70077514648438
2018-03-09,139.2760467529297
2018-03-12,137.6577606201172
2018-03-13,137.32846069335938
2018-03-14,135.6913604736328
2018-03-15,136.39703369140625
2018-03-16,137.33792114257812
2018-03-19,136.4252471923828
2018-03-20,136.6886749267578
2018-03-21,134.92922973632812
2018-03-22,131.0717315673828
2018-03-23,129.05828857421875
2018-03-26,132.4736328125
2018-03-27,130.61070251464844
2018-03-28,131.21286010742188
2018-03-29,132.0314178466797
2018-04-02,130.01792907714844
2018-04-03,130.53538513183594
2018-04-04,131.84323120117188
2018-04-05,131.880859375
2018-04-06,130.02740478515625
2018-04-09,130.7894287109375
2018-04-10,131.8714141845703
2018-04-11,131.75852966308594
2018-04-12,133.226318359375
2018-04-13,133.6214599609375
2018-04-16,135.27732849121094
2018-04-17,135.55966186523438
2018-04-18,135.6725311279297
2018-04-19,136.255859375
2018-04-20,135.52198791503906
2018-04-23,135.27732849121094
2018-04-24,133.9131317138672
2018-04-25,133.57437133789062
2018-04-26,135.013916015625
2018-04-27,135.70077514648438
2018-04-30,134.41763305664062
2018-05-01,134.78558349609375
2018-05-02,131.8891143798828
2018-05-03,132.0872344970703
2018-05-04,131.60609436035156
2018-05-07,132.43629455566406
2018-05-08,132.94583129882812
