,NSC
2022-08-09,236.4311065673828
2022-08-10,244.2349853515625
2022-08-11,246.7383270263672
2022-08-12,248.28395080566406
2022-08-15,243.7514190673828
2022-08-16,244.27291870117188
2022-08-17,244.45309448242188
2022-08-18,245.21168518066406
2022-08-19,242.5092315673828
2022-08-22,243.6091766357422
2022-08-23,244.92721557617188
2022-08-24,246.3685302734375
2022-08-25,249.37437438964844
2022-08-26,239.89212036132812
2022-08-29,238.81112670898438
2022-08-30,232.09771728515625
2022-08-31,230.54258728027344
2022-09-01,228.64617919921875
2022-09-02,226.8729705810547
2022-09-06,227.4893341064453
2022-09-07,230.62794494628906
2022-09-08,233.19764709472656
2022-09-09,236.91470336914062
2022-09-12,237.60691833496094
2022-09-13,230.7038116455078
2022-09-14,225.7161407470703
2022-09-15,226.49368286132812
2022-09-16,221.86631774902344
2022-09-19,223.86708068847656
2022-09-20,217.70361328125
2022-09-21,216.09161376953125
2022-09-22,213.0762481689453
2022-09-23,206.38174438476562
2022-09-26,203.64137268066406
2022-09-27,202.76901245117188
2022-09-28,205.49990844726562
2022-09-29,203.44224548339844
2022-09-30,198.7959442138672
2022-10-03,205.57577514648438
2022-10-04,211.61598205566406
2022-10-05,209.57730102539062
2022-10-06,207.59547424316406
2022-10-07,203.46124267578125
2022-10-10,201.25186157226562
2022-10-11,201.77337646484375
2022-10-12,200.37950134277344
2022-10-13,204.44737243652344
2022-10-14,202.43711853027344
2022-10-17,207.7567138671875
2022-10-18,210.82894897460938
2022-10-19,206.35330200195312
2022-10-20,194.26341247558594
2022-10-21,197.26927185058594
2022-10-24,202.1905975341797
2022-10-25,204.5990753173828
2022-10-26,210.62034606933594
2022-10-27,212.01425170898438
2022-10-28,217.2769012451172
2022-10-31,216.26231384277344
2022-11-01,218.0828857421875
2022-11-02,213.73052978515625
2022-11-03,216.6386260986328
2022-11-04,222.9219970703125
2022-11-07,224.66685485839844
2022-11-08,225.3247528076172
2022-11-09,219.81365966796875
2022-11-10,231.67489624023438
2022-11-11,239.23593139648438
2022-11-14,239.97010803222656
2022-11-15,236.59483337402344
2022-11-16,238.101318359375
2022-11-17,234.1348419189453
2022-11-18,235.27902221679688
2022-11-21,237.66268920898438
2022-11-22,239.41709899902344
2022-11-23,239.4266357421875
2022-11-25,240.58033752441406
2022-11-28,236.98573303222656
2022-11-29,241.5719451904297
2022-11-30,244.5658416748047
2022-12-01,244.43235778808594
2022-12-02,242.2489013671875
2022-12-05,235.80343627929688
2022-12-06,231.26490783691406
2022-12-07,230.31141662597656
