,TGT
2021-09-10,224.5176544189453
2021-09-13,223.19552612304688
2021-09-14,222.40594482421875
2021-09-15,224.15040588378906
2021-09-16,226.73028564453125
2021-09-17,226.47323608398438
2021-09-20,222.31414794921875
2021-09-21,221.55209350585938
2021-09-22,221.9744415283203
2021-09-23,222.80075073242188
2021-09-24,221.67144775390625
2021-09-27,219.04559326171875
2021-09-28,214.32647705078125
2021-09-29,216.53915405273438
2021-09-30,210.03880310058594
2021-10-01,209.71751403808594
2021-10-04,207.3946533203125
2021-10-05,208.9279022216797
2021-10-06,208.2576904296875
2021-10-07,211.00291442871094
2021-10-08,210.15817260742188
2021-10-11,209.99290466308594
2021-10-12,211.38845825195312
2021-10-13,217.36546325683594
2021-10-14,222.2682342529297
2021-10-15,225.59185791015625
2021-10-18,232.8817138671875
2021-10-19,231.54127502441406
2021-10-20,231.21072387695312
2021-10-21,233.3958740234375
2021-10-22,234.97503662109375
2021-10-25,239.03314208984375
2021-10-26,237.5457763671875
2021-10-27,235.5351104736328
2021-10-28,237.07754516601562
2021-10-29,238.36289978027344
2021-11-01,236.80213928222656
2021-11-02,238.95050048828125
2021-11-03,239.08824157714844
2021-11-04,239.1157684326172
2021-11-05,233.4509735107422
2021-11-08,232.5879364013672
2021-11-09,234.26808166503906
2021-11-10,233.24899291992188
2021-11-11,235.04849243164062
2021-11-12,238.73013305664062
2021-11-15,242.68724060058594
2021-11-16,245.41424560546875
2021-11-17,233.81556701660156
2021-11-18,232.20333862304688
2021-11-19,230.9596405029297
2021-11-22,225.31234741210938
2021-11-23,229.55931091308594
2021-11-24,229.17237854003906
2021-11-26,227.15487670898438
2021-11-29,229.54092407226562
2021-11-30,224.63978576660156
2021-12-01,221.4614715576172
2021-12-02,226.16908264160156
2021-12-03,228.07611083984375
2021-12-06,223.8383331298828
2021-12-07,226.28887939453125
2021-12-08,220.73365783691406
2021-12-09,218.85430908203125
2021-12-10,219.42547607421875
2021-12-13,215.73121643066406
2021-12-14,216.75381469726562
2021-12-15,218.01597595214844
2021-12-16,207.08059692382812
2021-12-17,205.72634887695312
2021-12-20,201.9307403564453
2021-12-21,202.74151611328125
2021-12-22,200.5949249267578
2021-12-23,203.60745239257812
2021-12-27,206.45416259765625
2021-12-28,207.2003936767578
2021-12-29,209.9733428955078
2021-12-30,213.64918518066406
2021-12-31,213.2162322998047
2022-01-03,213.68601989746094
2022-01-04,215.73121643066406
2022-01-05,210.83934020996094
2022-01-06,213.13330078125
2022-01-07,212.60816955566406
2022-01-10,209.5127410888672
2022-01-11,209.63250732421875
2022-01-12,206.79501342773438
2022-01-13,208.0478973388672
2022-01-14,203.9667510986328
2022-01-18,202.68618774414062
2022-01-19,206.214599609375
2022-01-20,204.2615509033203
2022-01-21,200.14353942871094
2022-01-24,203.21131896972656
2022-01-25,197.77589416503906
2022-01-26,195.03976440429688
2022-01-27,195.47274780273438
2022-01-28,200.53048706054688
2022-01-31,203.0731201171875
2022-02-01,201.96762084960938
2022-02-02,200.47520446777344
2022-02-03,196.4308624267578
2022-02-04,197.186279296875
2022-02-07,194.65280151367188
2022-02-08,196.18211364746094
2022-02-09,199.58152770996094
2022-02-10,197.00201416015625
2022-02-11,194.90158081054688
2022-02-14,192.1470184326172
2022-02-15,191.69361877441406
2022-02-16,192.27651977539062
2022-02-17,188.75132751464844
2022-02-18,189.11219787597656
2022-02-22,181.6731719970703
2022-02-23,175.70529174804688
2022-02-24,177.23196411132812
2022-02-25,184.32861328125
2022-02-28,184.8374786376953
2022-03-01,203.02793884277344
2022-03-02,208.0890655517578
2022-03-03,207.10830688476562
2022-03-04,207.34889221191406
2022-03-07,195.26507568359375
2022-03-08,193.20176696777344
2022-03-09,199.85433959960938
2022-03-10,198.7255401611328
2022-03-11,191.49932861328125
2022-03-14,193.15550231933594
2022-03-15,199.25296020507812
2022-03-16,199.47500610351562
2022-03-17,204.13827514648438
2022-03-18,209.1531219482422
2022-03-21,206.33108520507812
2022-03-22,206.11827087402344
2022-03-23,200.52052307128906
2022-03-24,200.81655883789062
2022-03-25,202.2692413330078
2022-03-28,203.11122131347656
2022-03-29,206.266357421875
2022-03-30,205.3688507080078
2022-03-31,196.35691833496094
2022-04-01,194.80245971679688
2022-04-04,198.38319396972656
2022-04-05,198.7347869873047
2022-04-06,199.79879760742188
2022-04-07,211.13316345214844
2022-04-08,215.89820861816406
2022-04-11,212.16940307617188
2022-04-12,214.04769897460938
2022-04-13,216.34234619140625
2022-04-14,219.4696502685547
2022-04-18,221.4959716796875
2022-04-19,227.65814208984375
2022-04-20,230.68373107910156
2022-04-21,229.6196746826172
2022-04-22,223.61477661132812
2022-04-25,223.5963134765625
2022-04-26,218.82199096679688
2022-04-27,213.70535278320312
2022-04-28,218.72019958496094
2022-04-29,211.55877685546875
2022-05-02,212.60430908203125
2022-05-03,215.1580047607422
2022-05-04,219.6824951171875
2022-05-05,213.5110626220703
2022-05-06,208.37591552734375
2022-05-09,207.44140625
2022-05-10,202.7318878173828
2022-05-11,197.53196716308594
2022-05-12,201.02943420410156
2022-05-13,203.30551147460938
2022-05-16,202.86141967773438
2022-05-17,200.00918579101562
2022-05-18,150.14625549316406
2022-05-19,142.54649353027344
2022-05-20,144.33958435058594
2022-05-23,142.98313903808594
2022-05-24,139.31336975097656
2022-05-25,145.3244171142578
2022-05-26,151.6234588623047
2022-05-27,155.28396606445312
2022-05-31,150.3970947265625
2022-06-01,145.4172821044922
2022-06-02,149.4958953857422
2022-06-03,149.6166534423828
2022-06-06,148.34384155273438
2022-06-07,144.9156036376953
2022-06-08,145.58450317382812
2022-06-09,143.58705139160156
2022-06-10,139.05319213867188
2022-06-13,134.53794860839844
2022-06-14,132.57760620117188
2022-06-15,136.98141479492188
2022-06-16,132.75413513183594
2022-06-17,129.41880798339844
2022-06-21,134.4357452392578
2022-06-22,130.8216552734375
2022-06-23,136.3960723876953
2022-06-24,139.75
2022-06-27,138.99746704101562
2022-06-28,134.26853942871094
2022-06-29,131.83438110351562
2022-06-30,131.21188354492188
2022-07-01,132.28030395507812
2022-07-05,135.37411499023438
2022-07-06,134.53794860839844
2022-07-07,139.32264709472656
2022-07-08,137.4923858642578
2022-07-11,136.005859375
2022-07-12,134.30569458007812
2022-07-13,135.1232452392578
2022-07-14,135.9129638671875
2022-07-15,136.26600646972656
2022-07-18,138.7651824951172
2022-07-19,142.48143005371094
2022-07-20,145.3987274169922
2022-07-21,147.40548706054688
2022-07-22,146.55078125
2022-07-25,146.31849670410156
2022-07-26,141.04141235351562
2022-07-27,143.63348388671875
2022-07-28,148.1116180419922
2022-07-29,151.79071044921875
2022-08-01,153.80673217773438
2022-08-02,151.8836212158203
