,IRM
2020-01-10,23.57953453063965
2020-01-13,23.717966079711914
2020-01-14,23.533390045166016
2020-01-15,23.679513931274414
2020-01-16,23.933305740356445
2020-01-17,24.13326072692871
2020-01-21,24.34859848022461
2020-01-22,24.425498962402344
2020-01-23,24.540863037109375
2020-01-24,24.264001846313477
2020-01-27,24.32552719116211
2020-01-28,24.579315185546875
2020-01-29,24.379364013671875
2020-01-30,24.525480270385742
2020-01-31,24.310142517089844
2020-02-03,24.494718551635742
2020-02-04,24.802349090576172
2020-02-05,24.571626663208008
2020-02-06,24.55624771118164
2020-02-07,24.479341506958008
2020-02-10,24.58700942993164
2020-02-11,24.448577880859375
2020-02-12,24.448577880859375
2020-02-13,25.65601348876953
2020-02-14,25.486814498901367
2020-02-18,26.19435691833496
2020-02-19,25.994396209716797
2020-02-20,26.402002334594727
2020-02-21,26.494287490844727
2020-02-24,25.80213165283203
2020-02-25,25.34838104248047
2020-02-26,25.417600631713867
2020-02-27,23.994829177856445
2020-02-28,23.38726806640625
2020-03-02,24.379364013671875
2020-03-03,24.15633773803711
2020-03-04,25.15612030029297
2020-03-05,24.702367782592773
2020-03-06,24.433198928833008
2020-03-09,22.725875854492188
2020-03-10,23.571847915649414
2020-03-11,23.03349494934082
2020-03-12,20.48020362854004
2020-03-13,22.82576560974121
2020-03-16,19.392841339111328
2020-03-17,21.156553268432617
2020-03-18,20.47154426574707
2020-03-19,19.794403076171875
2020-03-20,17.881103515625
2020-03-23,17.63701629638672
2020-03-24,18.896800994873047
2020-03-25,19.723539352416992
2020-03-26,20.05423355102539
2020-03-27,19.18813133239746
2020-03-30,19.566064834594727
2020-03-31,18.739330291748047
2020-04-01,17.495290756225586
2020-04-02,16.94413948059082
2020-04-03,17.36931800842285
2020-04-06,18.353525161743164
2020-04-07,19.416467666625977
2020-04-08,20.432170867919922
2020-04-09,21.345516204833984
2020-04-13,20.660507202148438
2020-04-14,20.99907875061035
2020-04-15,19.377103805541992
2020-04-16,19.093647003173828
2020-04-17,19.676298141479492
2020-04-20,19.424339294433594
2020-04-21,19.44796371459961
2020-04-22,19.29048728942871
2020-04-23,19.235376358032227
2020-04-24,18.526742935180664
2020-04-27,19.235376358032227
2020-04-28,19.518827438354492
2020-04-29,19.64480209350586
2020-04-30,19.038532257080078
2020-05-01,18.581859588623047
2020-05-04,18.046449661254883
2020-05-05,17.74724769592285
2020-05-06,17.259082794189453
2020-05-07,19.32985496520996
2020-05-08,19.345603942871094
2020-05-11,18.928308486938477
2020-05-12,18.188175201416016
2020-05-13,17.967714309692383
2020-05-14,17.825984954833984
2020-05-15,17.652769088745117
2020-05-18,18.636972427368164
2020-05-19,18.471630096435547
2020-05-20,18.802318572998047
2020-05-21,18.841691970825195
2020-05-22,19.030662536621094
2020-05-26,19.566064834594727
2020-05-27,20.046363830566406
2020-05-28,20.23533058166504
2020-05-29,20.282567977905273
2020-06-01,20.794361114501953
2020-06-02,21.03057289123535
2020-06-03,22.361225128173828
2020-06-04,22.880878448486328
2020-06-05,23.392675399780273
2020-06-08,24.061931610107422
2020-06-09,23.72336196899414
2020-06-10,23.101343154907227
2020-06-11,21.73920249938965
2020-06-12,22.406896591186523
2020-06-15,22.56797981262207
2020-06-16,22.68879508972168
2020-06-17,22.431060791015625
2020-06-18,21.730337142944336
2020-06-19,21.214868545532227
2020-06-22,20.739667892456055
2020-06-23,21.021568298339844
2020-06-24,20.159765243530273
2020-06-25,19.84564781188965
2020-06-26,19.869810104370117
2020-06-29,20.69939613342285
2020-06-30,21.021568298339844
2020-07-01,21.14238166809082
2020-07-02,21.069896697998047
2020-07-06,21.27930450439453
2020-07-07,20.97324562072754
2020-07-08,21.069896697998047
2020-07-09,21.086000442504883
2020-07-10,21.537036895751953
2020-07-13,21.633691787719727
2020-07-14,21.996131896972656
