,CVS
2017-02-17,63.143741607666016
2017-02-21,63.199188232421875
2017-02-22,63.51615524291992
2017-02-23,64.07083129882812
2017-02-24,64.56208038330078
2017-02-27,64.50662231445312
2017-02-28,63.84895324707031
2017-03-01,63.94401931762695
2017-03-02,64.45907592773438
2017-03-03,64.19758605957031
2017-03-06,64.0628890991211
2017-03-07,64.03118896484375
2017-03-08,64.21342468261719
2017-03-09,63.94401931762695
2017-03-10,63.706329345703125
2017-03-13,63.738033294677734
2017-03-14,63.302223205566406
2017-03-15,63.17543029785156
2017-03-16,63.04072952270508
2017-03-17,62.501922607421875
2017-03-20,62.45439147949219
2017-03-21,62.287994384765625
2017-03-22,62.16912078857422
2017-03-23,62.042354583740234
2017-03-24,62.19288635253906
2017-03-27,62.208744049072266
2017-03-28,62.287994384765625
2017-03-29,62.40684509277344
2017-03-30,62.47814178466797
2017-03-31,62.200836181640625
2017-04-03,61.84427261352539
2017-04-04,61.701637268066406
2017-04-05,61.03603744506836
2017-04-06,61.020206451416016
2017-04-07,61.0756721496582
2017-04-10,61.65409469604492
2017-04-11,61.9393424987793
2017-04-12,61.77294158935547
2017-04-13,61.77294158935547
2017-04-17,62.383079528808594
2017-04-18,62.00273132324219
2017-04-19,62.0665283203125
2017-04-20,63.34247970581055
2017-04-21,63.22285079956055
2017-04-24,63.83689880371094
2017-04-25,65.52754211425781
2017-04-26,65.39195251464844
2017-04-27,66.02196502685547
2017-04-28,65.74284362792969
2017-05-01,65.36004638671875
2017-05-02,62.99955749511719
2017-05-03,63.557769775390625
2017-05-04,64.69815063476562
2017-05-05,64.6423110961914
2017-05-08,64.63436889648438
2017-05-09,64.67422485351562
2017-05-10,64.5466537475586
2017-05-11,65.61522674560547
2017-05-12,63.96449661254883
2017-05-15,64.17182922363281
2017-05-16,63.09526062011719
2017-05-17,60.870338439941406
2017-05-18,61.101600646972656
2017-05-19,60.86238479614258
2017-05-22,60.87831497192383
2017-05-23,61.61996078491211
2017-05-24,60.942100524902344
2017-05-25,60.56730651855469
2017-05-26,61.11756134033203
2017-05-30,61.22120666503906
2017-05-31,61.2690544128418
2017-06-01,62.43335723876953
2017-06-02,63.039432525634766
2017-06-05,62.83209991455078
2017-06-06,62.122352600097656
2017-06-07,62.32969665527344
2017-06-08,62.54500961303711
2017-06-09,63.565757751464844
2017-06-12,63.541831970214844
2017-06-13,63.677391052246094
2017-06-14,64.43498992919922
2017-06-15,63.86879348754883
2017-06-16,61.45247268676758
2017-06-19,62.281864166259766
2017-06-20,62.026649475097656
2017-06-21,62.32969665527344
2017-06-22,61.5800666809082
2017-06-23,61.73160934448242
2017-06-26,63.892738342285156
2017-06-27,64.18778228759766
2017-06-28,64.79385375976562
2017-06-29,64.01232147216797
2017-06-30,64.16385650634766
2017-07-03,64.29144287109375
2017-07-05,63.525901794433594
2017-07-06,62.7682991027832
2017-07-07,62.71247482299805
2017-07-10,62.313743591308594
2017-07-11,61.9150276184082
2017-07-12,61.76346969604492
2017-07-13,62.13829803466797
2017-07-14,62.146270751953125
2017-07-17,62.441341400146484
2017-07-18,62.20207595825195
2017-07-19,61.71564865112305
2017-07-20,61.9323616027832
2017-07-21,61.82802200317383
2017-07-24,61.88419723510742
2017-07-25,63.337005615234375
2017-07-26,62.839351654052734
2017-07-27,63.34502410888672
2017-07-28,64.01121520996094
2017-07-31,64.15570068359375
2017-08-01,63.9710807800293
2017-08-02,64.01121520996094
2017-08-03,63.08816909790039
2017-08-04,62.58251953125
2017-08-07,63.50555419921875
2017-08-08,63.06410217285156
2017-08-09,63.75438690185547
2017-08-10,63.52159881591797
2017-08-11,63.73832321166992
2017-08-14,63.6500358581543
2017-08-15,63.49750900268555
2017-08-16,63.60989761352539
2017-08-17,63.32094955444336
2017-08-18,62.33367919921875
2017-08-21,62.31763458251953
2017-08-22,62.41396713256836
2017-08-23,62.293548583984375
2017-08-24,60.51167297363281
2017-08-25,60.479549407958984
2017-08-28,60.56785202026367
2017-08-29,61.073509216308594
2017-08-30,61.306304931640625
2017-08-31,62.07682800292969
2017-09-01,62.54237365722656
