,SHW
2022-07-29,236.8484344482422
2022-08-01,237.9742431640625
2022-08-02,238.4832763671875
2022-08-03,234.28359985351562
2022-08-04,237.9742431640625
2022-08-05,232.09071350097656
2022-08-08,235.42893981933594
2022-08-09,227.47006225585938
2022-08-10,238.6105499267578
2022-08-11,238.8553009033203
2022-08-12,246.31495666503906
2022-08-15,251.9243621826172
2022-08-16,250.87684631347656
2022-08-17,246.1779022216797
2022-08-18,244.3134307861328
2022-08-19,240.0055389404297
2022-08-22,236.92425537109375
2022-08-23,233.6271209716797
2022-08-24,235.04998779296875
2022-08-25,239.9564666748047
2022-08-26,231.29161071777344
2022-08-29,229.6332244873047
2022-08-30,230.60470581054688
2022-08-31,227.7589569091797
