,AOS
2022-12-29,55.71757888793945
2022-12-30,55.31172561645508
2023-01-03,56.93512725830078
2023-01-04,58.616512298583984
2023-01-05,57.379634857177734
2023-01-06,59.370235443115234
2023-01-09,59.41855239868164
2023-01-10,57.84346008300781
2023-01-11,60.471832275390625
2023-01-12,59.33158493041992
2023-01-13,60.03699493408203
2023-01-17,58.00773620605469
2023-01-18,58.1140251159668
2023-01-19,55.84319305419922
2023-01-20,57.15738296508789
2023-01-23,58.181671142578125
2023-01-24,58.62616729736328
2023-01-25,58.481224060058594
2023-01-26,56.867488861083984
2023-01-27,58.32661437988281
2023-01-30,57.84104919433594
2023-01-31,65.7461166381836
2023-02-01,67.9408950805664
2023-02-02,68.36820220947266
2023-02-03,67.05716705322266
2023-02-06,65.54218292236328
2023-02-07,64.7070083618164
2023-02-08,64.29912567138672
2023-02-09,63.91066360473633
2023-02-10,64.20201110839844
2023-02-13,66.06660461425781
2023-02-14,65.532470703125
2023-02-15,66.06660461425781
2023-02-16,65.76554107666016
2023-02-17,65.29938507080078
2023-02-21,63.77470779418945
2023-02-22,63.58048629760742
2023-02-23,63.91066360473633
2023-02-24,63.02692794799805
2023-02-27,63.434814453125
2023-02-28,63.7358512878418
2023-03-01,64.84295654296875
2023-03-02,65.68785095214844
2023-03-03,66.1637191772461
2023-03-06,64.9692153930664
2023-03-07,64.47393035888672
2023-03-08,65.07603454589844
2023-03-09,65.48391723632812
2023-03-10,64.19229888916016
2023-03-13,63.881534576416016
2023-03-14,65.532470703125
2023-03-15,64.74584197998047
2023-03-16,65.42564392089844
2023-03-17,63.58048629760742
2023-03-20,64.53219604492188
2023-03-21,64.9886245727539
2023-03-22,64.571044921875
2023-03-23,64.37681579589844
2023-03-24,64.81383514404297
2023-03-27,65.64899444580078
2023-03-28,66.18313598632812
2023-03-29,66.930908203125
2023-03-30,65.94035339355469
2023-03-31,67.1542739868164
2023-04-03,66.8629150390625
2023-04-04,63.930091857910156
2023-04-05,62.74530029296875
2023-04-06,62.73558807373047
2023-04-10,63.58048629760742
2023-04-11,63.66788101196289
2023-04-12,64.1146011352539
2023-04-13,64.43507385253906
2023-04-14,65.18286895751953
2023-04-17,65.61988067626953
2023-04-18,66.5618667602539
2023-04-19,65.9209213256836
2023-04-20,66.78523254394531
2023-04-21,66.7949447631836
2023-04-24,66.930908203125
2023-04-25,66.59101867675781
2023-04-26,65.5519027709961
2023-04-27,66.87853240966797
2023-04-28,66.61516571044922
2023-05-01,68.41978454589844
2023-05-02,68.06861877441406
2023-05-03,67.7564697265625
2023-05-04,67.49309539794922
2023-05-05,68.65390014648438
2023-05-08,68.58561706542969
2023-05-09,67.6198959350586
2023-05-10,67.52235412597656
2023-05-11,66.72245788574219
2023-05-12,65.59090423583984
2023-05-15,66.5273666381836
2023-05-16,65.56163787841797
2023-05-17,66.60540008544922
2023-05-18,67.44432067871094
2023-05-19,66.7419662475586
2023-05-22,66.51761627197266
2023-05-23,65.09342193603516
2023-05-24,64.72274017333984
2023-05-25,64.85930633544922
2023-05-26,65.0348892211914
2023-05-30,65.05439758300781
2023-05-31,62.37184524536133
2023-06-01,62.996150970458984
2023-06-02,66.73222351074219
2023-06-05,66.77123260498047
2023-06-06,66.9565658569336
2023-06-07,68.36125183105469
2023-06-08,68.02959442138672
2023-06-09,67.1028823852539
2023-06-12,66.88829803466797
2023-06-13,68.01008605957031
2023-06-14,67.92229461669922
2023-06-15,68.78071594238281
2023-06-16,69.25870513916016
2023-06-20,68.37100982666016
2023-06-21,68.13689422607422
2023-06-22,67.34676361083984
2023-06-23,67.78572082519531
2023-06-26,69.20991516113281
2023-06-27,70.49754333496094
2023-06-28,70.3609848022461
2023-06-29,70.60484313964844
2023-06-30,70.99504089355469
2023-07-03,70.5950927734375
2023-07-05,69.30746459960938
2023-07-06,68.8685073852539
2023-07-07,68.90752410888672
2023-07-10,70.41950225830078
2023-07-11,71.40473175048828
2023-07-12,71.6876220703125
2023-07-13,71.29743194580078
2023-07-14,72.5850601196289
2023-07-17,73.16059112548828
2023-07-18,74.63355255126953
2023-07-19,74.76036834716797
2023-07-20,74.48723602294922
2023-07-21,74.12630462646484
2023-07-24,73.5702896118164
2023-07-25,73.32642364501953
2023-07-26,73.2288818359375
2023-07-27,71.87296295166016
2023-07-28,70.7073974609375
2023-07-31,71.13835906982422
2023-08-01,71.09918975830078
2023-08-02,71.09918975830078
2023-08-03,70.81514739990234
2023-08-04,71.14815521240234
2023-08-07,72.32352447509766
2023-08-08,71.73583984375
2023-08-09,71.29508972167969
2023-08-10,70.51152038574219
2023-08-11,69.89445495605469
2023-08-14,69.81609344482422
2023-08-15,69.36553955078125
2023-08-16,68.84642791748047
2023-08-17,68.29793548583984
2023-08-18,67.50456237792969
2023-08-21,67.44578552246094
2023-08-22,67.99429321289062
2023-08-23,68.54280090332031
2023-08-24,67.38703155517578
2023-08-25,68.31751251220703
2023-08-28,69.25779724121094
2023-08-29,70.3841781616211
2023-08-30,70.81514739990234
2023-08-31,71.01103973388672
2023-09-01,72.05906677246094
2023-09-05,70.46253204345703
2023-09-06,70.37438201904297
2023-09-07,70.24705505371094
2023-09-08,68.74848937988281
2023-09-11,69.0619125366211
2023-09-12,66.86790466308594
2023-09-13,65.74153137207031
2023-09-14,66.34879302978516
2023-09-15,65.39871215820312
2023-09-18,65.78070831298828
2023-09-19,65.6337890625
2023-09-20,64.98734283447266
2023-09-21,63.83157730102539
2023-09-22,63.18513488769531
2023-09-25,63.145957946777344
2023-09-26,64.12542724609375
2023-09-27,64.10581970214844
2023-09-28,65.11466979980469
2023-09-29,64.77185821533203
2023-10-02,64.69351196289062
2023-10-03,64.02747344970703
2023-10-04,64.87959289550781
2023-10-05,64.71309661865234
2023-10-06,65.90803527832031
2023-10-09,67.22051239013672
2023-10-10,67.83759307861328
2023-10-11,69.62999725341797
2023-10-12,68.49382019042969
2023-10-13,68.8170394897461
2023-10-16,70.42337036132812
2023-10-17,70.35481262207031
2023-10-18,67.06380462646484
2023-10-19,65.6337890625
2023-10-20,65.29097747802734
2023-10-23,65.02651977539062
2023-10-24,65.27139282226562
2023-10-25,63.851165771484375
2023-10-26,67.70045471191406
2023-10-27,66.41735076904297
2023-10-30,68.38556671142578
2023-10-31,68.65128326416016
2023-11-01,69.6845932006836
2023-11-02,70.21601104736328
2023-11-03,70.42267608642578
2023-11-06,69.96014404296875
2023-11-07,69.52713775634766
