,MET
2022-11-30,71.91961669921875
2022-12-01,71.87273406982422
2022-12-02,72.11653900146484
2022-12-05,70.70064544677734
2022-12-06,70.5881118774414
2022-12-07,69.94112396240234
2022-12-08,69.022216796875
2022-12-09,67.69070434570312
2022-12-12,68.6190185546875
2022-12-13,68.6658935546875
2022-12-14,68.3001937866211
2022-12-15,67.23124694824219
2022-12-16,67.01559448242188
2022-12-19,66.72491455078125
2022-12-20,67.3156509399414
2022-12-21,68.3001937866211
2022-12-22,67.32501983642578
2022-12-23,67.7657241821289
2022-12-27,67.81260681152344
2022-12-28,67.33438873291016
2022-12-29,68.13141632080078
2022-12-30,67.85950469970703
2023-01-03,67.65320587158203
2023-01-04,68.62837982177734
2023-01-05,68.07515716552734
2023-01-06,68.99407958984375
2023-01-09,66.8936767578125
2023-01-10,67.10934448242188
2023-01-11,67.10934448242188
2023-01-12,66.94056701660156
2023-01-13,67.43754577636719
2023-01-17,67.10934448242188
2023-01-18,65.78723907470703
2023-01-19,65.10272979736328
2023-01-20,65.81536865234375
2023-01-23,66.2842025756836
2023-01-24,66.5467529296875
2023-01-25,67.09996795654297
2023-01-26,67.71884155273438
2023-01-27,67.550048828125
2023-01-30,67.66258239746094
2023-01-31,68.46898651123047
2023-02-01,68.1501693725586
2023-02-02,65.36527252197266
2023-02-03,65.44027709960938
2023-02-06,66.19584655761719
2023-02-07,67.30084228515625
2023-02-08,67.28195190429688
2023-02-09,66.85694885253906
2023-02-10,67.43306732177734
2023-02-13,68.3680648803711
2023-02-14,68.04695129394531
2023-02-15,68.415283203125
2023-02-16,68.44361877441406
2023-02-17,68.50973510742188
2023-02-21,67.10250854492188
2023-02-22,66.9230728149414
2023-02-23,66.65862274169922
2023-02-24,67.8486099243164
2023-02-27,67.79194641113281
2023-02-28,67.7447280883789
2023-03-01,67.31028747558594
2023-03-02,65.53474426269531
2023-03-03,66.4225082397461
2023-03-06,65.81807708740234
2023-03-07,65.38363647460938
2023-03-08,63.7497444152832
2023-03-09,61.07698059082031
2023-03-10,58.91420364379883
2023-03-13,55.6842155456543
2023-03-14,55.78810501098633
2023-03-15,53.17201232910156
2023-03-16,54.484779357910156
2023-03-17,51.82146072387695
2023-03-20,53.81422424316406
2023-03-21,55.27811050415039
2023-03-22,52.9925651550293
2023-03-23,51.283119201660156
2023-03-24,51.330345153808594
2023-03-27,52.747005462646484
2023-03-28,52.350341796875
2023-03-29,53.35145568847656
2023-03-30,53.88033676147461
2023-03-31,54.720890045166016
2023-04-03,54.74922180175781
2023-04-04,54.24867630004883
2023-04-05,55.4008903503418
2023-04-06,55.78810501098633
2023-04-10,56.175331115722656
2023-04-11,56.7797737121582
2023-04-12,56.675880432128906
2023-04-13,56.458656311035156
2023-04-14,57.251991271972656
2023-04-17,58.12087631225586
2023-04-18,57.90365219116211
2023-04-19,58.37588119506836
2023-04-20,57.43143844604492
