,INTC
2016-05-13,24.05233383178711
2016-05-16,24.43832778930664
2016-05-17,24.108631134033203
2016-05-18,24.116666793823242
2016-05-19,23.827173233032227
2016-05-20,24.245336532592773
2016-05-23,24.30966567993164
2016-05-24,24.977115631103516
2016-05-25,25.24248504638672
2016-05-26,25.322904586791992
2016-05-27,25.387239456176758
2016-05-31,25.403318405151367
2016-06-01,25.45960807800293
2016-06-02,25.540027618408203
2016-06-03,25.427444458007812
2016-06-06,25.47569465637207
2016-06-07,25.636524200439453
2016-06-08,25.644567489624023
2016-06-09,25.684770584106445
2016-06-10,25.765188217163086
2016-06-13,25.869731903076172
2016-06-14,25.845609664916992
2016-06-15,25.419404983520508
2016-06-16,25.483736038208008
2016-06-17,25.540027618408203
2016-06-20,25.869731903076172
2016-06-21,25.990352630615234
2016-06-22,25.96622657775879
2016-06-23,26.529142379760742
2016-06-24,25.37114906311035
2016-06-27,24.703702926635742
2016-06-28,25.081653594970703
2016-06-29,25.67673110961914
2016-06-30,26.3763484954834
2016-07-01,26.33614158630371
2016-07-05,26.27985191345215
2016-07-06,26.513051986694336
2016-07-07,26.698013305664062
2016-07-08,27.341333389282227
2016-07-11,27.646913528442383
2016-07-12,28.097248077392578
2016-07-13,28.153533935546875
2016-07-14,28.306325912475586
2016-07-15,28.2017879486084
2016-07-18,28.185705184936523
2016-07-19,28.266111373901367
2016-07-20,28.700353622436523
2016-07-21,27.558456420898438
2016-07-22,27.872085571289062
2016-07-25,27.896207809448242
2016-07-26,28.217876434326172
2016-07-27,28.008790969848633
2016-07-28,27.960533142089844
2016-07-29,28.032909393310547
2016-08-01,28.024864196777344
2016-08-02,27.791664123535156
2016-08-03,27.751150131225586
2016-08-04,28.018531799316406
2016-08-05,28.342636108398438
2016-08-08,28.391246795654297
2016-08-09,28.294023513793945
2016-08-10,27.978023529052734
2016-08-11,28.09956169128418
2016-08-12,28.010435104370117
2016-08-15,28.28591537475586
2016-08-16,28.528989791870117
2016-08-17,28.37504768371582
2016-08-18,28.334529876708984
2016-08-19,28.55330467224121
2016-08-22,28.650535583496094
2016-08-23,28.682939529418945
2016-08-24,28.480379104614258
2016-08-25,28.43177032470703
2016-08-26,28.569515228271484
2016-08-29,28.804473876953125
2016-08-30,28.92601776123047
2016-08-31,29.0799617767334
2016-09-01,29.1852970123291
2016-09-02,29.233917236328125
2016-09-06,29.630939483642578
2016-09-07,29.541807174682617
2016-09-08,29.525606155395508
2016-09-09,28.715351104736328
2016-09-12,29.233917236328125
2016-09-13,28.853092193603516
2016-09-14,28.86119842529297
2016-09-15,29.622846603393555
2016-09-16,30.522220611572266
2016-09-19,30.108985900878906
2016-09-20,30.0927734375
2016-09-21,30.34395980834961
2016-09-22,30.424989700317383
2016-09-23,30.13329315185547
2016-09-26,29.695755004882812
2016-09-27,30.125186920166016
2016-09-28,30.335851669311523
2016-09-29,30.23862075805664
2016-09-30,30.587038040161133
2016-10-03,30.51411247253418
2016-10-04,30.416879653930664
2016-10-05,30.7814998626709
2016-10-06,30.8463134765625
2016-10-07,30.870622634887695
2016-10-10,30.805795669555664
2016-10-11,30.198116302490234
2016-10-12,30.08467674255371
2016-10-13,29.95503807067871
2016-10-14,30.34395980834961
2016-10-17,30.21431541442871
2016-10-18,30.587038040161133
2016-10-19,28.772064208984375
2016-10-20,28.707250595092773
2016-10-21,28.480379104614258
2016-10-24,28.569515228271484
2016-10-25,28.439863204956055
2016-10-26,28.294023513793945
2016-10-27,28.204893112182617
2016-10-28,28.148178100585938
2016-10-31,28.253501892089844
2016-11-01,27.969921112060547
2016-11-02,28.034738540649414
2016-11-03,27.70001983642578
2016-11-04,27.43878173828125
2016-11-07,28.32048225402832
2016-11-08,28.361295700073242
2016-11-09,28.369457244873047
2016-11-10,28.165363311767578
2016-11-11,28.25516128540039
2016-11-14,28.14903450012207
2016-11-15,28.500076293945312
2016-11-16,28.442928314208984
2016-11-17,28.589885711669922
2016-11-18,28.532747268676758
2016-11-21,28.55722999572754
2016-11-22,28.96541976928711
2016-11-23,28.736833572387695
2016-11-25,28.932767868041992
2016-11-28,28.989904403686523
2016-11-29,28.82663345336914
2016-11-30,28.32863998413086
2016-12-01,27.56123924255371
2016-12-02,27.887794494628906
2016-12-05,28.075563430786133
2016-12-06,28.344974517822266
2016-12-07,28.981748580932617
2016-12-08,29.1450252532959
2016-12-09,29.194007873535156
2016-12-12,29.365447998046875
2016-12-13,30.043048858642578
2016-12-14,29.838953018188477
2016-12-15,30.034887313842773
2016-12-16,29.643024444580078
2016-12-19,30.11652946472168
2016-12-20,30.377771377563477
2016-12-21,30.19000244140625
2016-12-22,30.149188995361328
2016-12-23,30.181842803955078
2016-12-27,30.263473510742188
2016-12-28,29.904268264770508
2016-12-29,29.928770065307617
2016-12-30,29.610366821289062
2017-01-03,29.879770278930664
2017-01-04,29.724655151367188
2017-01-05,29.67566680908203
