,ES
2018-01-30,50.20542907714844
2018-01-31,50.630760192871094
2018-02-01,48.279388427734375
2018-02-02,47.62934875488281
2018-02-05,46.810787200927734
2018-02-06,46.17680740356445
2018-02-07,45.6551513671875
2018-02-08,45.02919006347656
2018-02-09,45.759490966796875
2018-02-12,46.16876983642578
2018-02-13,46.24100112915039
2018-02-14,46.208900451660156
2018-02-15,47.00338363647461
2018-02-16,47.44477462768555
2018-02-20,46.682373046875
2018-02-21,46.032344818115234
2018-02-22,46.128639221191406
2018-02-23,47.725650787353516
2018-02-26,47.20402145385742
2018-02-27,46.056419372558594
2018-02-28,45.74344253540039
2018-03-01,45.382293701171875
2018-03-02,45.82368850708008
2018-03-05,46.73457336425781
2018-03-06,45.892513275146484
2018-03-07,45.57673645019531
2018-03-08,46.046348571777344
2018-03-09,46.345924377441406
2018-03-12,46.200191497802734
2018-03-13,45.892513275146484
2018-03-14,46.30543899536133
2018-03-15,46.62123107910156
2018-03-16,47.17179489135742
2018-03-19,46.99367904663086
2018-03-20,46.694087982177734
2018-03-21,46.52405548095703
2018-03-22,46.56454086303711
2018-03-23,45.98157501220703
2018-03-26,46.58074188232422
2018-03-27,47.43898391723633
2018-03-28,47.341835021972656
2018-03-29,47.706180572509766
2018-04-02,47.50376892089844
2018-04-03,48.013858795166016
2018-04-04,48.20009231567383
2018-04-05,48.58873748779297
2018-04-06,48.29724884033203
2018-04-09,48.3458366394043
2018-04-10,48.0219612121582
2018-04-11,48.10293197631836
2018-04-12,47.47947311401367
2018-04-13,47.795257568359375
2018-04-16,48.32154083251953
2018-04-17,48.774959564208984
2018-04-18,48.499671936035156
2018-04-19,48.46728515625
2018-04-20,47.94908905029297
2018-04-23,47.94099044799805
2018-04-24,48.12721252441406
2018-04-25,48.0705451965332
2018-04-26,48.59683609008789
2018-04-27,49.0826416015625
2018-04-30,48.78305435180664
2018-05-01,48.37821578979492
2018-05-02,48.32964324951172
2018-05-03,47.66569519042969
2018-05-04,47.803348541259766
2018-05-07,47.552337646484375
2018-05-08,46.41069793701172
2018-05-09,46.151615142822266
2018-05-10,46.920806884765625
2018-05-11,46.99367904663086
2018-05-14,46.58074188232422
2018-05-15,46.467384338378906
2018-05-16,46.50786209106445
2018-05-17,46.23257827758789
2018-05-18,46.41069793701172
2018-05-21,46.53215789794922
2018-05-22,46.78315353393555
2018-05-23,46.182796478271484
2018-05-24,46.256317138671875
2018-05-25,45.95408630371094
2018-05-29,46.4033317565918
2018-05-30,46.672874450683594
2018-05-31,46.62388229370117
2018-06-01,45.578346252441406
2018-06-04,45.33330154418945
2018-06-05,44.91672897338867
2018-06-06,43.814029693603516
2018-06-07,43.78135681152344
2018-06-08,43.74868392944336
2018-06-11,43.18507766723633
2018-06-12,43.846702575683594
2018-06-13,43.64249801635742
2018-06-14,44.09992599487305
2018-06-15,44.622676849365234
2018-06-18,44.99840545654297
2018-06-19,45.545677185058594
2018-06-20,45.58652114868164
2018-06-21,45.49666976928711
2018-06-22,45.76622009277344
2018-06-25,46.82808303833008
2018-06-26,47.00777816772461
2018-06-27,47.367183685302734
2018-06-28,47.60404586791992
2018-06-29,47.87360763549805
2018-07-02,48.2085075378418
2018-07-03,48.61691665649414
2018-07-05,48.7802619934082
2018-07-06,49.2621955871582
2018-07-09,47.7510871887207
2018-07-10,47.96345138549805
2018-07-11,48.396366119384766
2018-07-12,48.3065185546875
2018-07-13,48.3065185546875
2018-07-16,48.22483825683594
2018-07-17,48.08597183227539
2018-07-18,47.800086975097656
2018-07-19,48.32285690307617
2018-07-20,47.98795700073242
2018-07-23,47.7510871887207
2018-07-24,48.04513931274414
2018-07-25,48.46988296508789
2018-07-26,49.303035736083984
2018-07-27,49.07432556152344
2018-07-30,48.81294250488281
2018-07-31,49.59709167480469
2018-08-01,48.796607971191406
2018-08-02,49.008975982666016
2018-08-03,49.768619537353516
2018-08-06,49.89931869506836
2018-08-07,49.817623138427734
2018-08-08,49.784950256347656
2018-08-09,49.94015884399414
2018-08-10,50.11167526245117
2018-08-13,50.438411712646484
2018-08-14,50.479248046875
2018-08-15,50.920326232910156
2018-08-16,51.45125961303711
2018-08-17,51.65546417236328
2018-08-20,51.55744552612305
2018-08-21,51.304237365722656
2018-08-22,50.93666076660156
2018-08-23,50.99384689331055
2018-08-24,51.26338577270508
