,RJF
2021-08-12,88.4186019897461
2021-08-13,88.27881622314453
2021-08-16,87.55448150634766
2021-08-17,86.474365234375
2021-08-18,85.73733520507812
2021-08-19,84.60636138916016
2021-08-20,86.30280303955078
2021-08-23,86.98265075683594
2021-08-24,87.31940460205078
2021-08-25,89.05398559570312
2021-08-26,88.69180297851562
2021-08-27,90.85208129882812
2021-08-30,89.20645904541016
2021-08-31,88.8887710571289
2021-09-01,88.98407745361328
2021-09-02,89.0221939086914
2021-09-03,88.34235382080078
2021-09-07,88.01831817626953
2021-09-08,87.15420532226562
2021-09-09,87.59896087646484
2021-09-10,86.24562072753906
2021-09-13,86.68402862548828
2021-09-14,85.26078796386719
2021-09-15,86.31550598144531
2021-09-16,85.42597198486328
2021-09-17,84.955810546875
2021-09-20,83.1449966430664
2021-09-21,81.8678970336914
2021-09-22,82.84002685546875
2021-09-23,87.30035400390625
2021-09-24,88.7585220336914
2021-09-27,90.03563690185547
2021-09-28,88.79664611816406
2021-09-29,89.18738555908203
2021-09-30,88.19346618652344
2021-10-01,90.48716735839844
2021-10-04,89.24474334716797
2021-10-05,90.3533706665039
2021-10-06,90.2864761352539
2021-10-07,91.61492156982422
2021-10-08,92.09278106689453
2021-10-11,92.24569702148438
2021-10-12,92.75222778320312
2021-10-13,92.20745086669922
2021-10-14,93.77483367919922
2021-10-15,95.77227020263672
2021-10-18,95.9251937866211
2021-10-19,95.9251937866211
2021-10-20,97.1676254272461
2021-10-21,97.22496032714844
2021-10-22,97.98954772949219
2021-10-25,97.48301696777344
2021-10-26,97.81751251220703
2021-10-27,95.44734191894531
2021-10-28,95.17018127441406
2021-10-29,94.22402954101562
2021-11-01,95.19886016845703
2021-11-02,96.4508285522461
2021-11-03,97.5499038696289
2021-11-04,96.020751953125
2021-11-05,95.57157897949219
2021-11-08,95.9920883178711
2021-11-09,95.47599792480469
2021-11-10,95.13195037841797
2021-11-11,96.28837585449219
2021-11-12,95.55245971679688
2021-11-15,94.94081115722656
2021-11-16,95.17018127441406
2021-11-17,94.17623901367188
2021-11-18,93.55501556396484
2021-11-19,93.7939453125
2021-11-22,94.27181243896484
2021-11-23,96.2501449584961
2021-11-24,97.96087646484375
2021-11-26,94.17623901367188
2021-11-29,96.1163330078125
2021-11-30,93.93731689453125
2021-12-01,90.70697784423828
2021-12-02,93.72705078125
2021-12-03,91.47156524658203
2021-12-06,93.50723266601562
2021-12-07,94.52029418945312
2021-12-08,94.43428039550781
2021-12-09,93.6028060913086
2021-12-10,93.2778549194336
2021-12-13,92.0641098022461
2021-12-14,92.1310043334961
2021-12-15,93.3638687133789
2021-12-16,94.5489501953125
2021-12-17,93.06759643554688
2021-12-20,90.63052368164062
2021-12-21,92.69486999511719
2021-12-22,93.65058898925781
2021-12-23,94.9981460571289
2021-12-27,96.5464096069336
2021-12-28,97.70281982421875
2021-12-29,97.6263656616211
2021-12-30,96.5464096069336
2021-12-31,95.95386505126953
2022-01-03,98.63896179199219
2022-01-04,103.0789566040039
2022-01-05,100.71990203857422
2022-01-06,102.14875793457031
2022-01-07,104.59412384033203
2022-01-10,103.270751953125
2022-01-11,104.3831558227539
2022-01-12,105.07359313964844
2022-01-13,103.9228515625
