,KO
2021-02-01,42.94023895263672
2021-02-02,43.36539077758789
2021-02-03,43.19709777832031
2021-02-04,43.40967559814453
2021-02-05,43.97654342651367
2021-02-08,44.215702056884766
2021-02-09,44.02082824707031
2021-02-10,43.93226623535156
2021-02-11,44.55226516723633
2021-02-12,44.897705078125
2021-02-16,44.52570724487305
2021-02-17,44.40169906616211
2021-02-18,44.96856689453125
2021-02-19,44.38398361206055
2021-02-22,44.84455490112305
2021-02-23,44.76484680175781
2021-02-24,44.9154167175293
2021-02-25,44.4371223449707
2021-02-26,43.391971588134766
2021-03-01,44.1979866027832
2021-03-02,44.375118255615234
2021-03-03,44.26884078979492
2021-03-04,44.23340606689453
2021-03-05,44.98627853393555
2021-03-08,45.7391471862793
2021-03-09,45.04827880859375
2021-03-10,45.562007904052734
2021-03-11,45.06599807739258
2021-03-12,44.97669219970703
2021-03-15,45.5750617980957
2021-03-16,45.74475860595703
2021-03-17,45.76262283325195
2021-03-18,45.16423797607422
2021-03-19,45.378578186035156
2021-03-22,45.54826354980469
2021-03-23,45.896575927734375
2021-03-24,46.0126838684082
2021-03-25,46.459228515625
2021-03-26,47.37019729614258
2021-03-29,48.0936164855957
2021-03-30,47.46844482421875
2021-03-31,47.075477600097656
2021-04-01,46.8968505859375
2021-04-05,47.164791107177734
2021-04-06,47.5041618347168
2021-04-07,47.58454895019531
2021-04-08,47.441654205322266
2021-04-09,47.49523162841797
2021-04-12,47.647071838378906
2021-04-13,47.41485595703125
2021-04-14,47.405921936035156
2021-04-15,47.62919998168945
2021-04-16,47.94178771972656
2021-04-19,48.227577209472656
2021-04-20,48.37940979003906
2021-04-21,48.772377014160156
2021-04-22,48.620540618896484
2021-04-23,48.647335052490234
2021-04-26,47.92392349243164
2021-04-27,47.85247802734375
2021-04-28,47.86140823364258
2021-04-29,48.45978546142578
2021-04-30,48.209720611572266
2021-05-03,48.65626525878906
2021-05-04,48.35261917114258
2021-05-05,48.227577209472656
2021-05-06,48.70985794067383
2021-05-07,48.68305587768555
2021-05-10,49.04030227661133
2021-05-11,48.51337814331055
2021-05-12,48.263309478759766
2021-05-13,48.68305587768555
2021-05-14,48.879547119140625
2021-05-17,48.79916763305664
2021-05-18,48.53123092651367
2021-05-19,48.37940979003906
2021-05-20,48.808101654052734
2021-05-21,48.78129959106445
2021-05-24,48.94206237792969
2021-05-25,48.933143615722656
2021-05-26,49.14748001098633
2021-05-27,49.55830764770508
2021-05-28,49.37968063354492
2021-06-01,49.370758056640625
2021-06-02,49.56724166870117
2021-06-03,49.6922721862793
2021-06-04,50.22813415527344
2021-06-07,50.04951095581055
2021-06-08,49.70119857788086
2021-06-09,49.54936599731445
2021-06-10,49.93340301513672
2021-06-11,50.156681060791016
2021-06-14,49.9857177734375
2021-06-15,49.8597412109375
2021-06-16,49.19386291503906
2021-06-17,49.44581604003906
2021-06-18,48.38401794433594
2021-06-21,48.914920806884766
2021-06-22,49.094879150390625
2021-06-23,48.69895935058594
2021-06-24,48.94190979003906
2021-06-25,48.87892532348633
2021-06-28,48.82493209838867
2021-06-29,48.464996337890625
2021-06-30,48.6899528503418
2021-07-01,48.55498123168945
2021-07-02,48.75294876098633
2021-07-06,48.483001708984375
2021-07-07,48.87892532348633
2021-07-08,48.70795440673828
2021-07-09,49.00489807128906
2021-07-12,49.022891998291016
2021-07-13,49.5088005065918
2021-07-14,50.62459182739258
2021-07-15,50.78657150268555
2021-07-16,50.75057601928711
2021-07-19,50.14768600463867
2021-07-20,50.237674713134766
2021-07-21,50.88554763793945
2021-07-22,50.81356430053711
2021-07-23,51.29947280883789
2021-07-26,51.34447479248047
2021-07-27,51.52443313598633
2021-07-28,51.0565185546875
2021-07-29,51.33546447753906
2021-07-30,51.317466735839844
2021-08-02,51.18250274658203
2021-08-03,51.21848678588867
2021-08-04,50.480621337890625
2021-08-05,50.84056091308594
2021-08-06,50.9665412902832
2021-08-09,50.97554016113281
2021-08-10,51.110511779785156
