,BMY
2019-09-27,41.74386215209961
2019-09-30,42.15115737915039
2019-10-01,42.10129165649414
2019-10-02,40.90432357788086
2019-10-03,41.532989501953125
2019-10-04,42.5388298034668
2019-10-07,42.64779281616211
2019-10-08,42.21192169189453
2019-10-09,42.605892181396484
2019-10-10,42.56397247314453
2019-10-11,43.259681701660156
2019-10-14,43.21778106689453
2019-10-15,43.444095611572266
2019-10-16,43.17586135864258
2019-10-17,43.938621520996094
2019-10-18,44.44993209838867
2019-10-21,44.59242630004883
2019-10-22,45.61502456665039
2019-10-23,45.908409118652344
2019-10-24,45.57312774658203
2019-10-25,46.08442687988281
2019-10-28,46.59573745727539
2019-10-29,46.746612548828125
2019-10-30,47.66862869262695
2019-10-31,48.087730407714844
2019-11-01,47.91170883178711
2019-11-04,47.47584915161133
2019-11-05,47.26629638671875
2019-11-06,47.74406814575195
2019-11-07,48.263755798339844
2019-11-08,48.632568359375
2019-11-11,48.74154281616211
2019-11-12,48.942691802978516
2019-11-13,49.277984619140625
2019-11-14,49.04328155517578
2019-11-15,49.11034393310547
2019-11-18,48.32243728637695
2019-11-19,47.341732025146484
2019-11-20,47.2830696105957
2019-11-21,47.6518669128418
2019-11-22,47.316593170166016
2019-11-25,47.081886291503906
2019-11-26,47.55128860473633
2019-11-27,48.28052520751953
2019-11-29,47.72730255126953
2019-12-02,48.12126922607422
2019-12-03,48.406246185302734
2019-12-04,49.37018966674805
2019-12-05,49.85633850097656
2019-12-06,50.250301361083984
2019-12-09,51.3651008605957
2019-12-10,52.0440559387207
2019-12-11,52.312286376953125
2019-12-12,53.594730377197266
2019-12-13,53.49414825439453
2019-12-16,53.225921630859375
2019-12-17,53.73722457885742
2019-12-18,52.932552337646484
2019-12-19,52.681095123291016
2019-12-20,53.23430633544922
2019-12-23,52.98283767700195
2019-12-24,52.94092559814453
2019-12-26,53.611488342285156
2019-12-27,53.76237487792969
2019-12-30,53.41870880126953
2019-12-31,53.804283142089844
2020-01-02,53.46662521362305
2020-01-03,52.993927001953125
2020-01-06,53.16275405883789
2020-01-07,53.96466827392578
2020-01-08,53.90557098388672
2020-01-09,55.24772262573242
2020-01-10,55.0620231628418
2020-01-13,55.838623046875
2020-01-14,56.08340835571289
2020-01-15,56.20158767700195
2020-01-16,56.370418548583984
2020-01-17,56.31976318359375
2020-01-21,56.91909408569336
2020-01-22,56.91909408569336
2020-01-23,56.446380615234375
2020-01-24,54.15880584716797
2020-01-27,53.77052688598633
2020-01-28,54.707489013671875
2020-01-29,54.14193344116211
2020-01-30,53.86337661743164
2020-01-31,53.13743209838867
2020-02-03,53.669227600097656
2020-02-04,54.2685546875
2020-02-05,55.36590576171875
2020-02-06,56.64052200317383
2020-02-07,55.92302703857422
2020-02-10,56.48015213012695
2020-02-11,56.547672271728516
2020-02-12,56.556129455566406
2020-02-13,55.77952575683594
2020-02-14,56.03276062011719
2020-02-18,55.771087646484375
2020-02-19,55.467201232910156
2020-02-20,55.01137161254883
2020-02-21,55.3996696472168
2020-02-24,53.9984245300293
2020-02-25,52.45368576049805
2020-02-26,52.36928176879883
2020-02-27,50.29274368286133
2020-02-28,49.85380172729492
2020-03-02,50.93427276611328
2020-03-03,49.97197723388672
2020-03-04,51.896568298339844
2020-03-05,51.069332122802734
2020-03-06,50.90895462036133
2020-03-09,48.67202377319336
2020-03-10,48.89994430541992
2020-03-11,47.70128631591797
2020-03-12,44.52739334106445
2020-03-13,46.4182243347168
2020-03-16,43.14303207397461
2020-03-17,45.65850830078125
2020-03-18,42.408653259277344
2020-03-19,41.18467712402344
2020-03-20,40.85546875
2020-03-23,39.1672248840332
2020-03-24,41.56452560424805
2020-03-25,41.65737533569336
2020-03-26,44.1053352355957
2020-03-27,44.56116485595703
2020-03-30,45.91175079345703
2020-03-31,47.05131149291992
2020-04-01,46.274723052978516
2020-04-02,46.98965072631836
2020-04-03,47.26200485229492
2020-04-06,49.25360107421875
2020-04-07,48.42803192138672
2020-04-08,49.57701873779297
2020-04-09,50.138755798339844
2020-04-13,50.14726257324219
2020-04-14,51.10050582885742
2020-04-15,50.60685729980469
2020-04-16,50.69197463989258
2020-04-17,51.57712936401367
2020-04-20,52.49632263183594
2020-04-21,51.5686149597168
2020-04-22,51.85799026489258
2020-04-23,51.87501525878906
2020-04-24,52.98145294189453
2020-04-27,53.24530029296875
2020-04-28,52.8878288269043
2020-04-29,52.453765869140625
2020-04-30,51.755855560302734
2020-05-01,51.287750244140625
2020-05-04,51.21113967895508
2020-05-05,52.223968505859375
2020-05-06,52.02821350097656
2020-05-07,51.95161056518555
2020-05-08,51.96011734008789
2020-05-11,53.330406188964844
2020-05-12,53.91766357421875
2020-05-13,53.84958267211914
2020-05-14,54.27513122558594
2020-05-15,54.547481536865234
2020-05-18,54.13044738769531
2020-05-19,53.372962951660156
2020-05-20,52.49632263183594
2020-05-21,52.03672790527344
2020-05-22,51.738834381103516
2020-05-26,51.33881378173828
2020-05-27,51.40690231323242
2020-05-28,50.904754638671875
2020-05-29,50.828147888183594
2020-06-01,51.31327819824219
2020-06-02,51.61967468261719
2020-06-03,51.24518585205078
2020-06-04,51.823936462402344
2020-06-05,52.19843673706055
2020-06-08,52.283546447753906
2020-06-09,51.85799026489258
2020-06-10,51.202640533447266
2020-06-11,48.26631164550781
2020-06-12,47.80671691894531
2020-06-15,46.89603042602539
2020-06-16,48.564212799072266
2020-06-17,48.4705810546875
2020-06-18,47.636497497558594
2020-06-19,48.010986328125
2020-06-22,48.989749908447266
2020-06-23,49.68766784667969
2020-06-24,49.15998077392578
2020-06-25,49.51744079589844
2020-06-26,48.97272872924805
2020-06-29,49.194026947021484
2020-06-30,50.04513168334961
2020-07-01,50.58133316040039
2020-07-02,50.71854019165039
2020-07-06,51.619014739990234
2020-07-07,51.70478057861328
2020-07-08,51.0787353515625
2020-07-09,49.8352165222168
2020-07-10,49.25205612182617
2020-07-13,49.5264778137207
2020-07-14,49.64653396606445
2020-07-15,50.83003234863281
2020-07-16,50.87291717529297
2020-07-17,51.7905387878418
2020-07-20,50.99297332763672
2020-07-21,51.28456497192383
2020-07-22,51.32744216918945
2020-07-23,51.34458923339844
2020-07-24,49.61223602294922
2020-07-27,49.78376007080078
2020-07-28,50.967254638671875
2020-07-29,50.727115631103516
2020-07-30,50.48698806762695
2020-07-31,50.3068962097168
2020-08-03,50.684242248535156
2020-08-04,51.001548767089844
2020-08-05,51.190223693847656
2020-08-06,52.59669876098633
2020-08-07,52.330833435058594
2020-08-10,53.016910552978516
2020-08-11,54.1403694152832
2020-08-12,54.5777473449707
2020-08-13,54.234710693359375
2020-08-14,54.16609573364258
2020-08-17,54.56059646606445
2020-08-18,54.05460739135742
2020-08-19,54.1060676574707
2020-08-20,53.35995864868164
2020-08-21,53.334228515625
2020-08-24,53.52290725708008
2020-08-25,53.78017807006836
2020-08-26,53.41141128540039
2020-08-27,53.60865020751953
2020-08-28,53.48859405517578
2020-08-31,53.342811584472656
2020-09-01,52.2879524230957
2020-09-02,52.8282470703125
2020-09-03,51.49896240234375
2020-09-04,51.4131965637207
2020-09-08,50.19540786743164
2020-09-09,50.667091369628906
2020-09-10,49.98958206176758
2020-09-11,50.589900970458984
2020-09-14,51.19880676269531
2020-09-15,51.05300521850586
2020-09-16,50.98440170288086
2020-09-17,50.941524505615234
2020-09-18,50.83003234863281
2020-09-21,49.54362869262695
2020-09-22,50.39265060424805
2020-09-23,50.589900970458984
2020-09-24,49.95527648925781
2020-09-25,51.01869583129883
2020-09-28,51.207374572753906
2020-09-29,51.370330810546875
2020-09-30,51.70478057861328
2020-10-01,51.687503814697266
2020-10-02,50.7370491027832
2020-10-05,51.151798248291016
2020-10-06,49.89027786254883
2020-10-07,52.2059326171875
2020-10-08,53.242794036865234
2020-10-09,53.41559982299805
2020-10-12,53.42424392700195
2020-10-13,52.81940841674805
2020-10-14,52.70708084106445
2020-10-15,52.2059326171875
2020-10-16,52.914459228515625
2020-10-19,52.50834655761719
2020-10-20,52.396026611328125
2020-10-21,51.86895751953125
2020-10-22,52.49971008300781
2020-10-23,51.95536422729492
2020-10-26,51.55789566040039
2020-10-27,50.754337310791016
2020-10-28,49.90755844116211
2020-10-29,50.04581069946289
2020-10-30,50.50374984741211
2020-11-02,51.402366638183594
2020-11-03,52.914459228515625
2020-11-04,56.53483200073242
2020-11-05,55.08323287963867
2020-11-06,55.12642288208008
2020-11-09,55.36836242675781
2020-11-10,55.748538970947266
2020-11-11,54.79808807373047
2020-11-12,54.21916580200195
2020-11-13,54.97089385986328
2020-11-16,55.73126220703125
2020-11-17,55.57572937011719
2020-11-18,53.57977294921875
2020-11-19,53.64890670776367
2020-11-20,53.234153747558594
2020-11-23,53.502010345458984
2020-11-24,54.62527847290039
2020-11-25,54.296939849853516
2020-11-27,54.4783821105957
2020-11-30,53.916751861572266
2020-12-01,53.9254035949707
2020-12-02,53.72666549682617
2020-12-03,53.381046295166016
2020-12-04,53.8389892578125
2020-12-07,52.8798942565918
2020-12-08,52.81077194213867
2020-12-09,52.63795852661133
2020-12-10,52.01584243774414
2020-12-11,52.46515655517578
2020-12-14,51.817115783691406
2020-12-15,54.06364059448242
2020-12-16,53.86491012573242
2020-12-17,54.037723541259766
2020-12-18,54.53887176513672
2020-12-21,53.57977294921875
2020-12-22,53.07863235473633
2020-12-23,52.70708084106445
2020-12-24,52.83669662475586
2020-12-28,52.81077194213867
2020-12-29,53.069984436035156
2020-12-30,53.502010345458984
2020-12-31,54.024574279785156
2021-01-04,53.458465576171875
2021-01-05,53.60652160644531
2021-01-06,53.73716354370117
2021-01-07,54.31198501586914
2021-01-08,54.42521286010742
2021-01-11,56.585147857666016
2021-01-12,56.985774993896484
2021-01-13,56.376121520996094
2021-01-14,57.4996337890625
2021-01-15,57.95252227783203
2021-01-19,58.1267204284668
2021-01-20,57.699954986572266
2021-01-21,55.897098541259766
2021-01-22,56.228050231933594
2021-01-25,56.463218688964844
2021-01-26,56.12355422973633
2021-01-27,54.01586151123047
2021-01-28,54.25101852416992
2021-01-29,53.50201416015625
2021-02-01,54.181339263916016
2021-02-02,54.81713104248047
2021-02-03,54.024574279785156
2021-02-04,53.615238189697266
2021-02-05,53.057830810546875
