,DIS
2021-06-29,171.80755615234375
2021-06-30,173.6251220703125
2021-07-01,175.096923828125
2021-07-02,174.94874572753906
2021-07-06,171.5704803466797
2021-07-07,170.7111053466797
2021-07-08,170.69134521484375
2021-07-09,174.87957763671875
2021-07-12,182.13003540039062
2021-07-13,181.40892028808594
2021-07-14,181.18174743652344
2021-07-15,181.90283203125
2021-07-16,177.12188720703125
2021-07-19,170.83950805664062
2021-07-20,174.5931396484375
2021-07-21,174.73143005371094
2021-07-22,172.992919921875
2021-07-23,173.99058532714844
2021-07-26,176.55886840820312
2021-07-27,177.30958557128906
2021-07-28,176.9144744873047
2021-07-29,176.1736297607422
2021-07-30,173.87205505371094
2021-08-02,173.40777587890625
2021-08-03,170.8790283203125
2021-08-04,170.47402954101562
2021-08-05,174.5536346435547
2021-08-06,174.96849060058594
2021-08-09,174.56350708007812
2021-08-10,174.90924072265625
2021-08-11,175.9167938232422
2021-08-12,177.10214233398438
2021-08-13,178.87030029296875
2021-08-16,176.9045867919922
2021-08-17,173.6843719482422
2021-08-18,172.607666015625
2021-08-19,171.13584899902344
2021-08-20,172.98301696777344
2021-08-23,175.49203491210938
2021-08-24,176.29214477539062
2021-08-25,176.13409423828125
2021-08-26,174.40545654296875
2021-08-27,177.94175720214844
2021-08-30,177.78370666503906
2021-08-31,179.08761596679688
2021-09-01,181.24099731445312
2021-09-02,179.6407928466797
2021-09-03,178.79127502441406
2021-09-07,182.09051513671875
2021-09-08,182.890625
2021-09-09,183.641357421875
2021-09-10,181.87319946289062
2021-09-13,182.72271728515625
2021-09-14,180.17417907714844
2021-09-15,182.15966796875
2021-09-16,181.10272216796875
2021-09-17,181.23114013671875
2021-09-20,176.43043518066406
2021-09-21,169.0812225341797
2021-09-22,171.5309600830078
2021-09-23,174.0992431640625
2021-09-24,173.852294921875
2021-09-27,176.084716796875
