,VTRS
2016-12-07,29.633586883544922
2016-12-08,30.97353744506836
2016-12-09,31.36006736755371
2016-12-12,31.892606735229492
2016-12-13,32.8975715637207
2016-12-14,32.373619079589844
2016-12-15,32.43373107910156
2016-12-16,32.48527908325195
2016-12-19,32.20183181762695
2016-12-20,32.0300407409668
2016-12-21,32.22760009765625
2016-12-22,32.047218322753906
2016-12-23,32.210418701171875
2016-12-27,32.27914047241211
2016-12-28,31.961326599121094
2016-12-29,32.10735321044922
2016-12-30,32.76873779296875
2017-01-03,33.593318939208984
2017-01-04,34.039974212646484
2017-01-05,33.63626480102539
2017-01-06,33.069366455078125
2017-01-09,33.45588302612305
2017-01-10,33.45588302612305
2017-01-11,32.02145004272461
2017-01-12,31.583385467529297
2017-01-13,31.54903793334961
2017-01-17,31.841075897216797
2017-01-18,31.944141387939453
2017-01-19,31.738006591796875
2017-01-20,31.841075897216797
2017-01-23,30.94777488708496
2017-01-24,30.75880241394043
2017-01-25,31.33428955078125
2017-01-26,31.00789451599121
2017-01-27,31.48890495300293
2017-01-30,31.214052200317383
2017-01-31,32.68283462524414
2017-02-01,33.20679473876953
2017-02-02,33.49884033203125
2017-02-03,33.67921829223633
2017-02-06,34.34061050415039
2017-02-07,33.83382797241211
2017-02-08,33.66204071044922
2017-02-09,33.75652313232422
2017-02-10,33.76511001586914
2017-02-13,34.1688117980957
2017-02-14,35.001991271972656
2017-02-15,36.45360565185547
2017-02-16,36.07566452026367
2017-02-17,36.118614196777344
2017-02-21,36.33335494995117
2017-02-22,36.07566452026367
2017-02-23,36.3591194152832
2017-02-24,36.21310043334961
2017-02-27,36.45360565185547
2017-02-28,35.94682693481445
2017-03-01,38.54084396362305
2017-03-02,38.89300537109375
2017-03-03,38.80711364746094
2017-03-06,37.827919006347656
2017-03-07,37.21807861328125
2017-03-08,37.338321685791016
2017-03-09,37.132179260253906
2017-03-10,37.27819061279297
2017-03-13,36.91743469238281
2017-03-14,36.737060546875
2017-03-15,36.788597106933594
2017-03-16,36.49655532836914
2017-03-17,36.1014404296875
2017-03-20,36.221683502197266
2017-03-21,35.79221725463867
2017-03-22,35.8179931640625
2017-03-23,35.740692138671875
2017-03-24,35.1823616027832
2017-03-27,35.826576232910156
2017-03-28,35.83517074584961
2017-03-29,34.658409118652344
2017-03-30,34.005619049072266
2017-03-31,33.49025344848633
2017-04-03,33.507423400878906
2017-04-04,33.24115753173828
2017-04-05,33.3442268371582
2017-04-06,33.464473724365234
2017-04-07,34.014198303222656
2017-04-10,33.71358108520508
2017-04-11,33.026424407958984
2017-04-12,32.67425537109375
2017-04-13,32.35643768310547
2017-04-17,32.253360748291016
2017-04-18,31.80670738220215
2017-04-19,31.746591567993164
2017-04-20,31.849660873413086
2017-04-21,31.634923934936523
2017-04-24,32.18465042114258
2017-04-25,31.652103424072266
2017-04-26,32.15887451171875
2017-04-27,32.39938735961914
2017-04-28,32.08157730102539
2017-05-01,32.1245231628418
2017-05-02,32.78590774536133
2017-05-03,31.944141387939453
2017-05-04,32.64847946166992
