,FITB
2020-07-01,15.648820877075195
2020-07-02,15.767693519592285
2020-07-06,16.013925552368164
2020-07-07,15.334651947021484
2020-07-08,15.402579307556152
2020-07-09,14.765756607055664
2020-07-10,15.614855766296387
2020-07-13,15.87807559967041
2020-07-14,15.411072731018066
2020-07-15,16.27714729309082
2020-07-16,16.268657684326172
2020-07-17,15.929017066955566
2020-07-20,15.665801048278809
2020-07-21,16.438472747802734
2020-07-22,16.489421844482422
2020-07-23,16.48093032836914
2020-07-24,16.591312408447266
2020-07-27,16.489421844482422
2020-07-28,16.362056732177734
2020-07-29,16.98189353942871
2020-07-30,16.718677520751953
2020-07-31,16.86302947998047
2020-08-03,16.676225662231445
2020-08-04,16.548856735229492
2020-08-05,16.87151527404785
2020-08-06,16.786602020263672
2020-08-07,17.363988876342773
2020-08-10,17.856460571289062
2020-08-11,18.238555908203125
2020-08-12,18.085723876953125
2020-08-13,17.6102237701416
2020-08-14,17.797029495239258
2020-08-17,17.593244552612305
2020-08-18,17.04982566833496
2020-08-19,17.117752075195312
2020-08-20,16.795095443725586
2020-08-21,16.608293533325195
2020-08-24,17.40643882751465
2020-08-25,17.584753036499023
2020-08-26,17.245115280151367
2020-08-27,17.780046463012695
2020-08-28,17.924394607543945
2020-08-31,17.54229736328125
2020-09-01,17.703624725341797
2020-09-02,18.077232360839844
2020-09-03,17.924394607543945
2020-09-04,18.36591911315918
2020-09-08,17.830991744995117
2020-09-09,17.93288230895996
2020-09-10,17.516826629638672
2020-09-11,17.873443603515625
2020-09-14,18.900850296020508
2020-09-15,18.569704055786133
2020-09-16,18.722537994384766
2020-09-17,18.569704055786133
2020-09-18,18.459320068359375
2020-09-21,17.712116241455078
2020-09-22,17.075292587280273
2020-09-23,16.608293533325195
2020-09-24,16.650745391845703
2020-09-25,17.380970001220703
2020-09-28,18.11968231201172
2020-09-29,17.82249641418457
2020-09-30,18.102703094482422
2020-10-01,18.085500717163086
2020-10-02,18.82508659362793
2020-10-05,19.56467628479004
2020-10-06,19.36687660217285
2020-10-07,20.063465118408203
2020-10-08,20.390260696411133
2020-10-09,20.106468200683594
2020-10-12,20.226865768432617
2020-10-13,19.882871627807617
2020-10-14,19.547475814819336
2020-10-15,20.123666763305664
2020-10-16,20.00326919555664
2020-10-19,19.822668075561523
2020-10-20,20.42466163635254
2020-10-21,20.20966339111328
2020-10-22,20.61385726928711
2020-10-23,21.000852584838867
2020-10-26,20.166664123535156
2020-10-27,19.7022762298584
2020-10-28,19.298080444335938
2020-10-29,19.865671157836914
2020-10-30,19.968870162963867
2020-11-02,20.734254837036133
2020-11-03,21.078250885009766
2020-11-04,19.865671157836914
2020-11-05,20.6396541595459
2020-11-06,19.960269927978516
2020-11-09,22.841222763061523
2020-11-10,22.652027130126953
2020-11-11,22.118831634521484
2020-11-12,21.379249572753906
2020-11-13,21.835039138793945
