,ZTS
2017-09-28,60.1545524597168
2017-09-29,60.572547912597656
2017-10-02,60.563053131103516
2017-10-03,60.41105270385742
2017-10-04,60.39204025268555
2017-10-05,60.563053131103516
2017-10-06,60.563053131103516
2017-10-09,60.54404830932617
2017-10-10,60.791046142578125
2017-10-11,61.066558837890625
2017-10-12,61.66505813598633
2017-10-13,62.168548583984375
2017-10-16,62.42505645751953
2017-10-17,62.520076751708984
2017-10-18,62.282562255859375
2017-10-19,62.30157470703125
2017-10-20,62.64356994628906
2017-10-23,62.01656723022461
2017-10-24,61.73157501220703
2017-10-25,61.16155242919922
2017-10-26,60.55353546142578
2017-10-27,60.84805679321289
2017-10-30,60.07854080200195
2017-10-31,60.62955093383789
2017-11-01,61.285057067871094
2017-11-02,63.94506072998047
2017-11-03,65.25609588623047
2017-11-06,66.22511291503906
2017-11-07,65.028076171875
2017-11-08,66.13656616210938
2017-11-09,65.93673706054688
2017-11-10,65.77498626708984
2017-11-13,65.53712463378906
2017-11-14,66.50763702392578
2017-11-15,66.24122619628906
2017-11-16,66.99288177490234
2017-11-17,67.35442352294922
2017-11-20,67.50665283203125
2017-11-21,67.89676666259766
2017-11-22,67.62084197998047
2017-11-24,67.83016204833984
2017-11-27,68.06806182861328
2017-11-28,67.9253158569336
2017-11-29,68.13462829589844
2017-11-30,68.78162384033203
2017-12-01,68.7911376953125
2017-12-04,67.5732421875
2017-12-05,67.41153717041016
2017-12-06,67.52568817138672
2017-12-07,68.1631851196289
2017-12-08,68.39151763916016
2017-12-11,68.2868881225586
2017-12-12,68.72454833984375
2017-12-13,68.86725616455078
2017-12-14,68.27737426757812
2017-12-15,68.46764373779297
2017-12-18,69.10513305664062
2017-12-19,69.2668685913086
2017-12-20,69.18126678466797
2017-12-21,68.77213287353516
2017-12-22,68.49620056152344
2017-12-26,68.82920837402344
2017-12-27,68.93386840820312
2017-12-28,68.87677764892578
2017-12-29,68.54376220703125
2018-01-02,68.2868881225586
2018-01-03,68.60086822509766
2018-01-04,69.00997924804688
2018-01-05,69.79972076416016
2018-01-08,70.63700103759766
2018-01-09,71.46475219726562
2018-01-10,70.32301330566406
2018-01-11,70.97002410888672
2018-01-12,71.73118591308594
2018-01-16,71.87388610839844
2018-01-17,73.04421997070312
2018-01-18,72.74495697021484
2018-01-19,73.0213394165039
2018-01-22,73.84095001220703
2018-01-23,73.94577026367188
2018-01-24,74.6510009765625
2018-01-25,75.52781677246094
2018-01-26,76.328369140625
2018-01-29,75.46112060546875
2018-01-30,74.67009735107422
2018-01-31,73.12617492675781
2018-02-01,74.16497802734375
2018-02-02,73.17379760742188
2018-02-05,70.36237335205078
2018-02-06,69.82868957519531
2018-02-07,70.39096069335938
2018-02-08,68.15135192871094
2018-02-09,68.9518814086914
2018-02-12,69.75243377685547
2018-02-13,69.80010986328125
2018-02-14,70.96278381347656
2018-02-15,74.81305694580078
2018-02-16,75.98527526855469
2018-02-20,76.57614135742188
2018-02-21,76.71910095214844
2018-02-22,76.96691131591797
2018-02-23,78.90154266357422
2018-02-26,79.38760375976562
2018-02-27,77.83415985107422
2018-02-28,77.06218719482422
2018-03-01,76.66191101074219
2018-03-02,77.46248626708984
2018-03-05,78.04380798339844
2018-03-06,77.68167114257812
2018-03-07,77.91992950439453
2018-03-08,78.66329193115234
2018-03-09,80.55028533935547
2018-03-12,80.44546508789062
2018-03-13,80.61701202392578
2018-03-14,80.38825988769531
2018-03-15,80.7123031616211
2018-03-16,80.6265640258789
2018-03-19,79.24462127685547
2018-03-20,80.68370819091797
2018-03-21,80.1500015258789
2018-03-22,78.20584106445312
2018-03-23,76.81440734863281
2018-03-26,79.79739379882812
2018-03-27,78.01522827148438
2018-03-28,77.19562530517578
2018-03-29,79.58773040771484
2018-04-02,77.39574432373047
2018-04-03,78.977783203125
2018-04-04,78.95872497558594
2018-04-05,79.5972671508789
2018-04-06,77.16703033447266
2018-04-09,78.0247573852539
2018-04-10,79.18746185302734
2018-04-11,79.16840362548828
2018-04-12,80.01657104492188
2018-04-13,79.64491271972656
2018-04-16,80.43592834472656
2018-04-17,81.64629364013672
2018-04-18,81.93218994140625
2018-04-19,81.51798248291016
2018-04-20,81.55614471435547
2018-04-23,81.41297912597656
2018-04-24,80.50625610351562
2018-04-25,80.71624755859375
2018-04-26,80.86896514892578
