,WST
2021-10-01,416.8319091796875
2021-10-04,406.9903259277344
2021-10-05,410.62506103515625
2021-10-06,410.4363708496094
2021-10-07,414.8357238769531
2021-10-08,404.3288879394531
2021-10-11,400.7835388183594
2021-10-12,400.41607666015625
2021-10-13,399.47259521484375
2021-10-14,404.6167907714844
2021-10-15,402.014892578125
2021-10-18,405.89788818359375
2021-10-19,414.6867980957031
2021-10-20,411.7373352050781
2021-10-21,419.3145751953125
2021-10-22,418.2818298339844
2021-10-25,414.54779052734375
2021-10-26,417.39788818359375
2021-10-27,418.4307556152344
2021-10-28,418.2222595214844
2021-10-29,426.9118347167969
2021-11-01,423.79351806640625
2021-11-02,435.00555419921875
2021-11-03,435.18426513671875
2021-11-04,430.07977294921875
2021-11-05,400.9920654296875
2021-11-08,410.41644287109375
2021-11-09,411.4298400878906
2021-11-10,406.8298645019531
2021-11-11,414.18194580078125
2021-11-12,416.496826171875
2021-11-15,419.725830078125
2021-11-16,439.3678894042969
2021-11-17,441.78216552734375
2021-11-18,446.45172119140625
2021-11-19,445.547607421875
2021-11-22,434.8473205566406
2021-11-23,427.90252685546875
2021-11-24,430.91290283203125
2021-11-26,436.03955078125
2021-11-29,444.4845886230469
2021-11-30,439.7951354980469
2021-12-01,432.5920715332031
2021-12-02,434.5592346191406
2021-12-03,431.3203430175781
2021-12-06,420.83856201171875
2021-12-07,427.187255859375
2021-12-08,432.69140625
2021-12-09,426.4122619628906
2021-12-10,428.7768859863281
2021-12-13,438.0564880371094
2021-12-14,425.91552734375
2021-12-15,440.6495361328125
2021-12-16,441.941162109375
2021-12-17,446.8988342285156
2021-12-20,436.1885986328125
2021-12-21,441.6430358886719
2021-12-22,450.67425537109375
2021-12-23,456.8638916015625
2021-12-27,462.8747863769531
2021-12-28,461.8613586425781
2021-12-29,464.961181640625
2021-12-30,468.2894592285156
2021-12-31,465.9745788574219
2022-01-03,443.0340270996094
2022-01-04,426.2235107421875
2022-01-05,401.3554992675781
2022-01-06,405.1011047363281
2022-01-07,387.9428405761719
2022-01-10,390.0293273925781
2022-01-11,396.9045104980469
2022-01-12,398.6729736328125
2022-01-13,378.31561279296875
2022-01-14,377.3220520019531
2022-01-18,369.9267578125
2022-01-19,373.1969909667969
2022-01-20,371.34814453125
2022-01-21,365.59283447265625
2022-01-24,381.2184753417969
2022-01-25,376.08953857421875
2022-01-26,376.29827880859375
2022-01-27,381.5565185546875
2022-01-28,390.6715087890625
2022-01-31,390.8603210449219
2022-02-01,394.856201171875
2022-02-02,406.2772521972656
2022-02-03,399.73675537109375
2022-02-04,398.3451232910156
2022-02-07,398.3153381347656
2022-02-08,398.2854919433594
2022-02-09,406.3269958496094
2022-02-10,397.1523132324219
2022-02-11,388.85247802734375
2022-02-14,381.3775939941406
2022-02-15,383.0574951171875
2022-02-16,377.0437927246094
2022-02-17,384.9758605957031
2022-02-18,367.2727355957031
2022-02-22,366.91485595703125
2022-02-23,355.3447265625
2022-02-24,376.1093444824219
2022-02-25,384.15081787109375
2022-02-28,384.7571716308594
2022-03-01,379.2901916503906
2022-03-02,382.37158203125
2022-03-03,388.8922119140625
2022-03-04,384.8665466308594
2022-03-07,370.64239501953125
2022-03-08,356.4977722167969
2022-03-09,370.1653137207031
2022-03-10,369.2408447265625
2022-03-11,361.0304260253906
2022-03-14,367.799560546875
2022-03-15,383.11712646484375
2022-03-16,394.3791198730469
2022-03-17,402.8081970214844
2022-03-18,412.20147705078125
2022-03-21,410.1737060546875
2022-03-22,410.98883056640625
2022-03-23,400.7208557128906
2022-03-24,405.99896240234375
2022-03-25,402.8081970214844
2022-03-28,404.2096862792969
2022-03-29,411.6348876953125
2022-03-30,415.5015869140625
2022-03-31,408.2453918457031
2022-04-01,414.5274353027344
2022-04-04,406.57550048828125
2022-04-05,406.1878356933594
2022-04-06,406.99298095703125
2022-04-07,417.9269104003906
2022-04-08,411.0981750488281
2022-04-11,396.108642578125
2022-04-12,382.2423400878906
2022-04-13,384.6975402832031
2022-04-14,378.9322814941406
2022-04-18,370.18511962890625
2022-04-19,368.95196533203125
2022-04-20,369.6978454589844
2022-04-21,363.1243591308594
2022-04-22,347.83917236328125
2022-04-25,347.0237121582031
2022-04-26,330.5551452636719
2022-04-27,330.5252990722656
2022-04-28,323.5639343261719
