,EVRG
2018-10-24,45.247222900390625
2018-10-25,44.80509567260742
2018-10-26,44.30768966674805
2018-10-29,44.6629753112793
2018-10-30,44.434017181396484
2018-10-31,44.20505905151367
2018-11-01,44.2997932434082
2018-11-02,44.0787239074707
2018-11-05,44.48138427734375
2018-11-06,45.01826477050781
2018-11-07,45.144569396972656
2018-11-08,45.113006591796875
2018-11-09,46.068321228027344
2018-11-12,46.82625198364258
2018-11-13,47.15784454345703
2018-11-14,47.32365798950195
2018-11-15,47.44207000732422
2018-11-16,47.46576690673828
2018-11-19,47.25260543823242
2018-11-20,47.13416290283203
2018-11-21,46.305171966552734
2018-11-23,46.36833190917969
2018-11-26,46.999942779541016
2018-11-27,47.355224609375
2018-11-28,47.056800842285156
2018-11-29,46.810096740722656
2018-11-30,47.2477912902832
2018-12-03,47.518367767333984
2018-12-04,47.78098678588867
2018-12-06,48.3619384765625
2018-12-07,47.99585723876953
2018-12-10,48.155029296875
2018-12-11,48.25052261352539
2018-12-12,47.613868713378906
2018-12-13,47.93218994140625
2018-12-14,48.17890930175781
2018-12-17,46.43606185913086
2018-12-18,46.35646438598633
2018-12-19,46.22119903564453
2018-12-20,46.16547393798828
2018-12-21,46.38034439086914
2018-12-24,44.494258880615234
2018-12-26,45.02745819091797
2018-12-27,45.14683532714844
2018-12-28,44.987667083740234
2018-12-31,45.178653717041016
2019-01-02,44.47039031982422
2019-01-03,44.30327224731445
2019-01-04,44.47834014892578
2019-01-07,44.52609634399414
2019-01-08,45.051334381103516
2019-01-09,44.61363220214844
2019-01-10,45.25028610229492
2019-01-11,44.93992614746094
2019-01-14,44.597713470458984
2019-01-15,44.84442138671875
2019-01-16,44.796669006347656
2019-01-17,45.043373107910156
2019-01-18,45.09111785888672
